,Text,Label
0,analysis design information system paper_describes use analysis design development management system material command support activity analysis consists set procedure computer_program specifically aid process application software design computer selection problem statement language problem statement generator alternative design performance statement requirement ad accurately system problem statement ad ad problem definition additional information order complete problem definition problem statement form necessary use system optimization design algorithm program generation alternative specification program logical database structure,cacm
1,case present study interested method way method type literature far begin single monograph subject method citation analysis reference work determine core literature way example core literature scientific field index research monograph scientific subject minimal,cisi
2,description diagnostic criterion syndrome reaction organic state term best available classification,med
3,chronic described onset varied birth family case pathological finding hepatitis possibility described hepatitis picture several cause finding patient possible cause hepatitis error metabolism,med
4,comparative librarianship first_part deal comparative librarianship comparative method comparative librarianship student number way first chapter outline comparative librarianship theoretical basis methodology wider background comparative science scientific method chapter practical explain various step last chapter guide main source librarianship world bibliography comparative librarianship student course project work various world collection reference number year,cisi
5,information system chapter organizational problem author part separate set activity former planning development new information system structure modification structure latter assessment operational system system component however design formulation goal objective system also provision evaluation evaluation applies design concept preliminary implementation purpose initial design well operating_system stage system yield data indicate need system modification require assessment thus portion closely review respect application methodology increasingly designer dependence sound current literature research process well product,cisi
6,integral,cacm
7,study inviscid_flow air high supersonic_speed study inviscid_flow air high supersonic_speed steady_flow airfoil high supersonic_speed assumption air found predict flow airfoil extremely high_mach number flow deflection angle close result applies determination surface pressure_distribution also determination whole flow_field airfoil verification observation aid method characteristic extensive calculation pressure_gradient shockwave curvature edge calculation pressure_distribution airfoil angle_attack approximation high_mach number also found yield pressure error mach_number flow deflection angle method form thus engineering purpose effect imperfection air flow_field high_mach number reduction heat long ratio decrease include effect imperfection substantially accurate flow observation aid method characteristic form applicable local air temperature method employ average value heat particular flow_field method essentially accuracy flow flow approximate flow analysis extremely high_mach number heat approach close case found considerable error however method limit infinite freestream_mach number ratio reasonable accuracy,cran
8,standard mean descriptive practice put operation library_congress user require reference librarian experience immediate demand explanation new user large public research library system require modification computer_program yet library_congress even standard association professional information industry organization,cisi
9,experimental_study vibration circular_cylindrical shell experimental_study vibration circular_cylindrical shell apparatus described permit circular_cylindrical shell quite easily measurement cylinder actual value representative number result system illustrate relationship pattern frequency cylinder well effect internal_pressure frequency finally comparison result theory appropriate shell theory,cran
10,length string sort detailed statistic length maximal string result form first internal sort phase sort tape string method ie produce string tend long method produce string statement previously literature algorithm therefore,cacm
11,real argument algorithm,cacm
