,0
0,ab
1,ability
2,able
3,absolutely
4,abstract
5,acceleration
6,accept
7,acceptable
8,accepted
9,access
10,accident
11,account
12,accurate
13,act
14,action
15,active
16,activity
17,actual
18,actually
19,ad
20,addition
21,additional
22,address
23,adl
24,administration
25,admit
26,advance
27,advanced
28,advantage
29,advertising
30,advice
31,aerospace
32,affair
33,afraid
34,agdam
35,age
36,agency
37,agent
38,ago
39,agree
40,agreement
41,ahead
42,aid
43,air
44,aircraft
45,al
46,algorithm
47,alive
48,allen
49,allows
50,almost
51,alomar
52,alone
53,already
54,also
55,also_available
56,alternative
57,altitude
58,always
59,america
60,american
61,amiga
62,amount
63,analysis
64,ancient
65,andor
66,angle
67,animal
68,animation
69,ankara
70,announcement
71,annual
72,anonymous_ftp
73,answer
74,answer_question
75,antenna
76,anybody
77,anyone
78,anyone_else
79,anything
80,anyway
81,anywhere
82,apart
83,apartment
84,apollo
85,apparently
86,appeal
87,application
88,appreciate
89,approach
90,appropriate
91,approximately
92,april
93,ar
94,arab
95,arbitrary
96,archie
97,archive
98,area
99,argument
100,arithmetic
101,arm
102,armenia
103,armenian
104,armenian_genocide
105,armenian_government
106,army
107,array
108,arrest
109,art
110,article
111,aside
112,ask
113,aspect
114,assistance
115,association
116,asteroid
117,astronaut
118,astronomer
119,astronomical
120,astronomy
121,atlanta
122,atmosphere
123,atmospheric
124,atrocity
125,attack
126,attempt
127,attention
128,attitude
129,august
130,australia
131,author
132,authority
133,automatically
134,available
135,available_anonymous
136,average
137,avoid
138,aware
139,away
140,awful
141,axis
142,azerbaijan
143,azerbaijani
144,azeri
145,ba
146,baby
147,back
148,background
149,bad
150,baerga
151,bag
152,baku
153,balcony
154,ball
155,balloon
156,baltimore
157,band
158,bank
159,bar
160,base
161,baseball
162,basic
163,basically
164,basis
165,bat
166,batter
167,battery
168,batting
169,battle
170,bayonet
171,bb
172,bear
173,beat
174,beating
175,become
176,becomes
177,bed
178,begin
179,behavior
180,bell
181,benefit
182,best
