,Text,Label
0,analysis design information system paper_describes use analysis design development financial management system material command support activity analysis consists set procedure computer program specifically aid process application software design computer selection performance evaluation major component problem statement language problem statement analyzer generator alternative design performance statement requirement ad accurately system problem statement analyzer ad ad problem definition additional information order create complete problem definition problem statement form necessary use system optimization design algorithm program generation alternative specification program module logical database structure,cacm
1,case present study interested method nonstandard way method type literature far begin single monograph subject method citation analysis reference work determine core literature way example core literature scientific field journal article science citation index research monograph non scientific subject minimal,cisi
2,childhood psychosis description diagnostic criterion put forward associate schizophrenic syndrome childhood psychotic reaction childhood grouped childhood schizophrenia organic state psychosis mental psychosis sensory deprivation psychosis generic term psychosis best available classification,med
3,neonatal hepatitis familial neonatal obstructive jaundice sibling boy chronic obstructive jaundice described onset jaundice varied day week birth boy girl family healthy case pathological finding neonatal hepatitis giant cell hepatitis possibility described hitherto giant cell hepatitis morphological picture several cause finding patient possible cause giant cell hepatitis error metabolism,med
4,handbook comparative librarianship first part deal comparative librarianship comparative method teacher comparative librarianship student number way first chapter outline comparative librarianship theoretical basis methodology wider background comparative science scientific method chapter purely practical explain various step comparative study last chapter teacher second part mr bibliographical guide main source librarianship world draw bibliography comparative librarianship student course project work reply questionnaire sent various library association world mr collection reference number year,cisi
5,design evaluation information system design evaluation chapter organizational problem author part design evaluation separate set activity former planning development new information system structure modification structure latter appraisal assessment operational system system component however design formulation goal objective system also provision evaluation accordance expectation evaluation applies design concept preliminary implementation purpose initial design well appraisal operating_system appraisal stage system yield data indicate need system modification require assessment thus portion design evaluation closely review design evaluation respect outcome application methodology increasingly designer dependence outcome sound procedural current literature research process design evaluation well product,cisi
6,fourier cosine integral d1 algorithm,cacm
7,study inviscid flow air high supersonic_speed study inviscid flow air high supersonic_speed steady flow airfoil high supersonic_speed assumption air behaves diatomic gas found shockexpansion method predict flow airfoil extremely high mach_number flow deflection angle close shock detachment result applies determination surface pressure_distribution also determination whole flow field airfoil verification observation aid method characteristic extensive calculation pressure_gradient shockwave curvature edge calculation pressure_distribution airfoil angle_attack approximation shockexpansion method thin airfoil high mach_number also found yield pressure error less percent mach_number flow deflection angle method relatively simple form thus prove useful engineering purpose effect imperfection air manifest disturbed flow field high mach_number particular attention reduction ratio specific heat long ratio decrease appreciably include effect imperfection substantially accurate flow observation aid shockexpansion method method characteristic form applicable local air temperature method employ average value ratio specific heat particular flow field method essentially accuracy flow counterpart flow approximate flow analysis extremely high mach_number ratio specific heat approach close case found shockexpansion method considerable error however method limit infinite freestream_mach number ratio reasonable accuracy,cran
8,isbd standard secret controversial isbd mean radical change descriptive practice put operation library congress user lc catalog card require reference librarian experience immediate demand explanation new catalog card user large public research library system require costly modification computer program yet isbd international standard bibliographic description library congress ala even standard association professional information industry organization,cisi
9,experimental study vibration circular cylindrical_shell experimental study vibration circular cylindrical_shell apparatus described permit mode shape circular cylindrical_shell quite easily measurement cylinder actual value representative number result system illustrate relationship nodal pattern frequency cylinder well effect internal pressure frequency finally comparison result theory appropriate shell theory,cran
10,length string merge sort detailed statistic length maximal string result form first internal sort phase merge sort tape string method ie produce string tend long method produce string contrary statement previously literature slight modification polyphase merge algorithm therefore,cacm
11,legendre function first kind real imaginary argument algorithm,cacm
12,thermal effect transpiration hemisphere thermal effect transpiration hemisphere approximate method injection distribution exist isothermal hemisphere supersonic stream distribution air helium injection independent blowing level model distribution supersonic laboratory wind_tunnel mach_number design technique reasonably accurate data nose theory air helium injection agreement case reduction heattransfer coefficient good value wall_temperature nose helium injection percent local stagnation temperature largely independent injection rate phenomenon thermal diffusion helium boundary_layer air injection cause slight reduction wall_temperature injection air helium hemisphere nose considerably reduces heat flux surface additional reduction heat flux helium injection air injection theory largely absent,cran
13,pressure measurement supersonic_speed conical wing unit aspect_ratio pressure measurement supersonic_speed conical wing unit aspect_ratio pressure measurement mach_number range incidence simple model thick conical wing sharp edge test form part investigation effect thickness camber slender wing aspect_ratio model unity case spanwise cross section pressure_distribution overall lift drag skin_friction base drag integration,cran
14,transformation transonic flow transformation transonic flow author study problem shape symmetrical nozzle velocity axis velocity streamline increase steadily singularity sonic velocity axis nozzle first physical plane power series plane characteristic differential_equation passing sonic point line branch point region line region stream function region also singularity sonic point point condition exit nozzle author proposes construct plane exit velocity finite sum regular r square velocity hypergeometric function approximation velocity_distribution axis solution convergent region sonic point nozzle region author solution power series convergent region interest type solution author nozzle infinitely long supersonic part,cran
15,nucleic acid metabolism lens iii effect previous communication vivo incorporation p32 albuminoid rna fraction rat lens hour animal r present study vitro uptake p32 albuminoid soluble rna fraction normal x rat lens rna fraction sodium sulfate cent nacl specific rna fraction also paper activity individual nucleotide well specific rna fraction experiment also capsule hour incubation period activity nucleic acid capsule rna fraction lens matter result experiment indicate incorporation p32 albuminoid rna markedly hour r whole body radiation significant effect soluble fraction effect heating albuminoid rna much less albuminoid rna control animal,med
16,use simulation information storage_retrieval system previous application simulation information storage_retrieval system restrictive scope environment system operate paper considers subsystem large system user retrieval_system component form information feedback system user response influence funding operation attempt satisfy user need finite budget allocation theory basis user behavior industrial dynamic model developed simulate behavior university departmental library component result analysis produce,cisi
17,library report deal complementary theme public public_library service way information nature public present reporting people public_library member also belong never closest relative british subject therefore mass observation reading society young publisher survey book london comprehensive scope detailed analysis survey depth issue necessarily played small part book london,cisi
18,generation random normal variable g5 algorithm,cacm
