,0
0,7th
1,a4
2,a7
3,a86
4,a86_a86
5,aa
6,aaa
7,aaron
8,ab
9,ab4z_virginiaedu
10,abc
11,ability
12,able
13,abortion
14,absence
15,absolute
16,absolutely
17,abstract
18,absurd
19,abuse
20,ac
21,acad3alaskaedu
22,academic
23,acceleration
24,accelerator
25,accept
26,acceptable
27,acceptance
28,accepted
29,access
30,access_online
31,access_unix
32,accessdigexcom
33,accessdigexnet
34,accident
35,accidental
36,accomplish
37,accord
38,account
39,accuracy
40,accurate
41,accusation
42,achieve
43,acid
44,aclu
45,acsubuffaloedu
46,act
47,action
48,active
49,actively
50,activity
51,actual
52,actually
53,ad
54,adam
55,adam_shostack
56,adaptec
57,adapter
58,addition
59,additional
60,address
61,adequate
62,adjust
63,adjustment
64,adl
65,administration
66,administrator
67,admit
68,adobe
69,adobecom
70,adult
71,advance
72,advanced
73,advantage
74,adventure
75,advertising
76,advice
77,advocate
78,aerospace
79,affair
80,affect
81,affected
82,afford
83,afraid
84,african
85,afternoon
86,ag
87,age
88,agency
89,agenda
90,agent
91,agnostic
92,ago
93,agree
94,agreement
95,ah
96,ahead
97,ahf
98,ahl
99,ai
100,ai_nt
101,aid
102,aim
103,air
104,aircraft
105,aix
106,aka
107,al
108,ala
109,alan
110,alarm
111,alaska
112,albert
113,alberta
114,alcohol
115,alex
116,alexander
117,algorithm
118,alien
119,alive
120,allen
121,allergic
122,allergy
123,allocation
124,allows
125,ally
126,almost
127,alomar
128,alone
129,alot
130,alpha
131,already
132,also
133,altatheism
134,alternative
135,altitude
136,aluminum
137,always
138,ama
139,amanda_walker
140,amateur
141,amateur_radio
142,amendment
143,america
144,american
145,ames_ia
146,amiga
147,ammunition
148,amongst
149,amount
150,amp
151,amplifier
152,analog
153,analogy
154,analysis
155,anatolia
156,ancient
157,anderson
158,andi_beyer
159,andor
160,andre_beck
161,andrew
162,andrewcmuedu
163,andrewcmuedu_subject
164,andy
165,angel
166,anger
167,angle
168,angry
169,animal
170,animation
171,ankara
172,ann_arbor
173,announce
174,announcement
175,annual
176,anonymity
177,anonymous
178,anonymous_ftp
179,ansi
180,answer
181,answer_question
182,antenna
183,anthony
184,antibiotic
185,anybody
186,anymore
187,anyone
188,anyone_else
189,anyone_know
190,anything
191,anything_else
192,anyway
193,anywhere
194,ap
195,apart
196,apartment
197,apollo
198,apollohpcom
199,apology
200,apostle
201,app
202,apparent
203,apparently
204,appeal
205,appearance
206,apple
207,apple_computer
208,applecom
209,application
210,applies
211,appreciate
212,appressian_soviet
213,approach
214,appropriate
215,approval
216,approximately
217,apps
218,apr
219,apr_gmt
220,april
221,ar
222,arab
223,arbitrary
224,arc
225,archie
226,architecture
227,archive
228,archivename
229,area
230,arena
231,argic_distribution
232,args
233,argue
234,argument
235,arithmetic
236,arizona
237,arm
238,armenia
239,armenia_today
240,armenian
241,armored
242,army
243,array
244,arrest
245,arrogance
246,arrogant
247,art
248,arthur
249,article
250,articleid
251,artificial_intelligence
252,as
253,ascii
254,aside
255,ask
256,ask_question
257,asks
258,aspect
259,assault
260,assembly
261,assert
262,assertion
263,asshole
264,assist
265,assistance
266,assistant
267,associate
268,association
269,assumes
270,assumption
271,asteroid
272,astronaut
273,astronomer
274,astronomical
275,astronomy
276,atari
277,atf
278,atheism
279,atheist
280,athena
281,athenacsugaedu
282,athenamitedu
283,athens
284,athosrutgersedu
285,ati
286,atlanta
287,atlantic
288,atlas
289,atmosphere
290,atmospheric
291,atom
292,atomic
293,atrocity
294,attack
295,attempt
296,attention
297,attitude
298,attorney
299,attorney_general
300,attribute
301,au
302,audience
303,audio
304,august
305,austin
306,austin_tx
307,austinibmcom
308,australia
309,australia_line
310,austria
311,author
312,authority
313,auto
314,automatic
315,automatically
316,automobile
317,automotive
318,av
319,availability
320,available
321,available_anonymous
322,available_ftp
323,ave
324,avenue
325,average
326,avoid
327,aw
328,award
329,aware
330,away
331,awful
332,ax
333,ax_ax
334,ax_max
335,axe
336,az
337,azerbaijan
338,azerbaijani
339,azeri
340,b6
341,b8
342,b8e3
343,b8f
344,b8f_b8f
345,b9r
346,ba
347,baalke_kelvinjplnasagov
348,baby
349,back
350,background
351,backing
352,backup
353,bacteria
354,bad
355,baden
356,badly
357,baerga
358,bag
359,baker
360,baku
361,balance
362,balcony
363,ball
364,balloon
365,baltimore
366,ban
367,band
368,bandwidth
369,bank
370,baptism
371,baptist
372,bar
373,barbara
374,barrel
375,barry
376,base
377,baseball
378,baseball_game
379,baseball_player
380,basic
381,basically
382,basis
383,bastard
384,bat
385,batch
386,batf
387,batmanbmdtrwcom
388,batter
389,battery
390,batting
391,battle
392,baud
393,bay
394,bay_area
395,bb
396,bc
397,bd
398,beach
399,beam
400,bear
401,bearing
402,beast
403,beat
404,beaten
405,beating
406,beautiful
407,become
408,becomes
409,bed
410,beep
411,beer
412,begin
413,behanna_sylnjneccom
414,behavior
415,behaviour
416,beleive
417,belief
418,believer
419,bell
420,bellnorthern_research
421,belong
422,belongs
423,belt
424,ben
425,benchmark
426,benefit
427,berkeley
428,best
429,best_offer
430,bet
431,beta
432,beth
433,bh
434,bias
435,bible
436,biblical
437,big
438,big_deal
439,big_enough
440,bigotry
441,bike
442,biker
443,bill
444,bill_clinton
445,bill_conner
446,billboard
447,binary
448,binding
449,biological
450,biology
451,bios
452,bird
453,birth
454,bishop
455,bit
456,bitmap
457,bitnet
458,bj
459,black
460,black_hole
461,black_white
462,blame
463,blank
464,blast
465,blew
466,blind
467,block
468,blood
469,bloody
470,bloom
471,blow
472,blown
473,blue
474,blue_jay
475,bm
476,bmp
477,bmw
478,bnr
479,bnrca
480,board
481,bob
482,bobbe_viceicotekcom
483,bobby
484,body
485,bolt
486,bomb
487,bombing
488,bond
489,bone
490,book
491,boomer
492,boost
493,boot
494,border
495,boring
496,borland
497,born
498,bos
499,bosnia
500,bosnian
501,bosnian_muslim
502,boston
503,bother
504,bottle
505,bottom
506,bought
507,boulder
508,bound
509,boundary
510,bowman
511,box
512,boy
513,boyle
514,bps
515,br
516,brad
517,bradley
518,brain
519,brake
520,branch
521,branch_davidians
522,brand
523,brand_new
524,brave
525,break
526,breaker
527,breast
528,brent
529,brett
530,brian
531,brian_kendig
532,bridge
533,brief
534,briefing
535,bright
536,bring
537,brings
538,britain
539,british
540,british_columbia
541,broad
542,broadcast
543,broke
544,broken
545,brook
546,brother
547,brought
548,brown
549,bruce
550,bruin
551,bryan
552,btw
553,bubblejet
554,buck
555,budget
556,buedu
557,buf
558,buffalo
559,buffer
560,bug
561,build
562,building
563,built
564,builtin
565,bull
566,bullet
567,bulletin_board
568,bullock
569,bullshit
570,bunch
571,bureau
572,burn
573,burn_dividian
574,burning
575,burst
576,bus
577,bush
578,business
579,busy
580,butt
581,button
582,buyer
583,buying
584,byte
585,c650
586,c_dept
587,c_tavares
588,cable
589,cache
590,cage
591,cal
592,calculation
593,calgary
594,california
595,call
596,callback
597,callison
598,calm
599,cambridge
600,camera
601,camp
602,campaign
603,campbell
604,campus
605,canada
606,canada_line
607,canadian
608,canadiens
609,cancer
