,0
0,1970s
1,aa
2,ab
3,abandon
4,abbett
5,abdul
6,abe
7,abide
8,ability
9,able
10,abolish
11,abolition
12,abroad
13,absence
14,absolute
15,absolutely
16,absorb
17,abu
18,accelerate
19,acceleration
20,accept
21,acceptable
22,acceptance
23,accepted
24,access
25,accident
26,accord
27,accordance
28,accordingly
29,account
30,accounting
31,accrual
32,accu
33,accurate
34,achieve
35,acid
36,acquires
37,acquisition
38,acre
39,acreage
40,acreage_previously
41,act
42,action
43,active
44,actively
45,activity
46,actual
47,actually
48,ad
49,adam
50,addition
51,additional
52,address
53,adequate
54,adhere
55,adherence
56,adhesive
57,adjust
58,adjustment
59,adm
60,administration
61,administrative
62,administrator
63,adopt
64,adoption
65,adsteam
66,advance
67,advanced
68,advantage
69,adverse
70,adversely
71,advertisement
72,advertising
73,advice
74,advise
75,adviser
76,advisor
77,advisory
78,advocate
79,aegean
80,aegon
81,aerospace
82,affair
83,affandi
84,affect
85,affected
86,affiliate
87,afford
88,afg
89,africa
90,african
91,afternoon
92,ag
93,aga
94,agency
95,agency_japanese
96,agenda
97,agent
98,aggregate
99,aggressive
100,aggressively
101,agip
102,ago
103,agree
104,agreement
105,agricultural
106,agriculture
107,agrio
108,ahead
109,aid
110,aide
111,aim
112,air
113,airbus
114,aircraft
115,aire
116,airline
117,airod
118,airport
119,airway
120,akron
121,akzo
122,al
123,alabama
124,alan
125,alaska
126,alaskan
127,albert
128,alberta
129,alcan
130,alcoa
131,alcohol
132,alert
133,algeria
134,algerian
135,ali
136,allan
137,allegation
138,alleges
139,alleghany
140,allegheny
141,allegis
142,allen
143,alleviate
144,alliance
145,allied
146,allis
147,allocate
148,allocation
149,allowance
150,allows
151,alloy
152,ally
153,almost
154,alone
155,already
156,also
157,alter
158,alternative
159,alumina
160,aluminium
161,aluminum
162,alusuisse
163,alvite
164,always
165,ambassador
166,amc
167,amend
168,amendment
169,america
170,american
171,american_money
172,ameritrust
173,ami
174,amoco
175,amount
176,amp
177,ample
178,amr
179,amsterdam
180,amstutz
181,amusement
182,anacomp
183,analysis
184,analyst
185,anchor
186,anderson
187,andrew
188,andriessen
189,angeles
190,anger
191,angered
192,anglo
193,angra
194,animal
195,annesley
196,anniversary
197,announce
198,announcement
199,annual
200,annually
201,anonymity
202,answer
203,anthony
204,anti
205,anticipate
206,anticipates
207,anticipation
208,antitrust
209,antonio
210,antwerp
211,anxious
212,anyone
213,anything
214,anz
215,apart
216,api
217,apollo
218,apparel
219,apparent
220,apparently
221,appeal
222,appliance
223,application
224,applies
225,appointment
226,appraisal
227,appreciate
228,appreciation
229,approach
230,appropriate
231,appropriation
232,approval
233,approval_energy
234,approximately
235,apr
236,april
237,aqazadeh
238,aquino
239,arab
240,arabia
241,arabian
242,aramco
243,arango
244,arbitrage
245,arbitrager
246,arbitrageur
247,arbitration
248,arc
249,archer
250,arco
251,arctic
252,area
253,argentina
254,argentine
255,argosystems
256,argue
257,argument
258,ariadne
259,arisen
260,arizona
261,arm
262,army
263,arrange
264,arrangement
265,arrival
266,arrive
267,arsenal
268,arthur
269,article
270,artificially
271,arturo
272,asa
273,ascs
274,asea
275,asean
276,asher
277,asia
278,asian
279,aside
280,ask
281,aspect
282,ass
283,assay
284,assembly
285,assessment
286,asset
287,assist
288,assistance
289,assistant
290,associate
291,association
292,assumes
293,assumption
294,assurance
295,assure
296,astra
297,athens
298,atlanta
299,atlantic
300,atlas
301,atmosphere
302,atpc
303,att
304,attack
305,attain
306,attempt
307,attend
308,attention
309,attitude
310,attorney
311,attract
312,attractive
313,attributable
314,auction
315,audi
316,audio
317,audit
318,auditor
319,aug
320,august
321,auspex
322,austerity
323,australia
324,australian
325,austria
326,austrian
327,authority
328,authorization
329,auto
330,automatic
331,automatically
332,automation
333,automobile
334,automotive
335,autumn
336,availability
337,available
338,avana
339,average
340,avert
341,avery
342,avg
343,avia
344,aviation
345,avoid
346,award
347,aware
348,away
349,awb
350,ay
351,aziz
352,azpurua
353,bache
354,back
355,background
356,backing
357,backlog
358,bad
359,badly
360,bae
361,bag
362,baghdad
363,bahia
364,bahrain
365,baht
366,baird
367,baker
368,balance
369,balao
370,baldrige
371,bale
372,ball
373,balladur
374,bally
375,baltic
376,ban
377,banco
378,bancorp
379,bancroft
380,bancshares
381,band
382,band_option
383,bangemann
384,bangladesh
385,bank
386,bank_sale
387,bankamerica
388,banker
389,banking
390,bankruptcy
391,banner
392,banque
393,bar
394,barber
395,barclays
396,barely
397,bargain
398,bargaining
399,barge
400,barley
401,barney
402,barrel
403,barrier
404,barter
405,barwon
406,base
407,base_l
408,basf
409,basic
410,basically
411,basin
412,basis
413,basket
414,bass
415,bat
416,battery
417,battle
418,bauxite
419,bay
420,bayer
421,bayou
422,bbl
423,beach
424,bean
425,bear
426,bearing
427,bearish
428,become
429,becomes
430,becor
431,beef
432,beer
433,beet
434,beghin
435,begin
436,behalf
437,belgian
438,belgium
439,belief
440,bell
441,belly
442,belt
443,benchmark
444,beneficial
445,beneficiary
446,benefit
447,bennett
448,benson
449,bentsen
450,berisford
451,berlin
452,best
453,bethlehem
454,beverage
455,bfg
456,bhd
457,bhp
458,bi
459,bid
460,bidder
461,bidding
462,biffex
463,big
464,bil
465,bilateral
466,bill
467,billiton
468,bilzerian
469,binding
470,biotechnology
471,bird
472,bit
473,black
474,blair
475,blame
476,bloc
477,block
478,blood
479,blow
480,blue
481,board
482,boat
483,bob
484,body
485,boliden
486,bolivar
487,bolivia
488,bolster
489,bombay
490,bond
491,bonn
492,bonus
493,book
494,boom
495,boost
496,borden
497,border
498,borg
499,borrow
500,borrower
501,borrowing
502,boston
503,bottom
504,bound
505,bourse
506,bow
507,box
508,boycott
509,bp
510,bpd
511,bpi
512,br
513,bra
514,brace
515,bracket
516,bradley
517,branch
518,brand
519,brasil
520,brazil
521,brazilian
522,breach
523,bread
524,break
525,breakdown
526,breakup
527,breakwater
528,brennan
529,brent
530,brewery
531,brewing
532,brian
533,bridge
534,brief
535,briefing
536,briefly
537,brierley
538,bring
539,brings
540,bristol
541,britain
542,british
543,british_rate
544,broad
545,broadcast
546,broadcasting
547,broaden
548,broader
549,broadly
550,broke
551,broken
552,broker
553,brokerage
554,brook
555,brooklyn
556,bros
557,brother
558,brought
559,brown
560,bruce
561,brunswick
562,brusca
563,brussels
564,bu
565,bubble
566,budget
567,budgetary
568,buenos
569,buffer
570,build
571,builder
572,building
573,built
574,bulk
575,bull
576,bulletin
577,bullion
578,bullish
579,bundesbank
580,buoyant
581,burden
582,bureau
583,burlington
584,burnham
585,bus
586,bushel
587,business
588,businessman
589,businessmen
590,butane
591,butter
592,buy
593,buyback
594,buyer
595,buying
596,buyout
597,bv
598,cabinet
599,cable
600,cacex
601,caesar
602,caisse
603,cake
604,calculate
605,calculation
606,calendar
607,calgary
608,calif
609,california
610,call
611,call_national
612,callable
613,calm
614,calmat
615,calny
616,campaign
617,campeau
618,canada
619,canadian
620,canal
621,cancel
622,candidate
623,cane
624,cannon
625,canyon
626,cap
627,capability
628,capable
629,capacity
630,capel
631,capital
632,capitalisation
633,capitol
634,caput
635,car
636,caracas
637,carbide
638,carbon
639,card
640,cardenas
641,cardis
642,care
643,careful
644,carefully
645,cargill
646,cargo
647,caribbean
648,carl
649,carlos
650,carney
651,carolina
652,carrier
653,carry
654,carryforward
655,carryforwards
656,carson
657,cartel
658,carter
659,case
660,cash
661,casino
662,caspar
663,cast
664,casualty
665,catalog
666,catch
667,category
668,caterpillar
669,cathay
670,cathode
671,cattle
672,cattleman
673,caught
674,cause
675,caution
676,cautious
677,cautiously
678,cawl
679,cbi
680,cbs
681,cbt
682,ccc
683,cci
684,cd
685,cease
686,ceiling
687,celanese
688,cellular
689,cement
690,cenergy
691,census
692,cent
693,center
694,central
695,centre
696,century
697,cereal
698,ceremony
699,cert
700,certain
701,certainly
702,certificate
703,cetus
704,cfc
705,cftc
706,cgct
707,chain
708,chairman
709,chalabi
710,challenge
711,challenged
712,chalmers
713,chamber
714,champion
715,champlin
716,chance
717,chancellor
718,chang
719,change
720,channel
721,channon
722,chapter
723,charge
724,charles
725,chart
726,charter
727,chase
728,cheap
729,cheaper
730,check
731,chemical
732,chemlawn
733,cherry
734,chesebrough
735,chevron
736,chi
737,chicago
738,chicken
739,chief
740,child
741,chile
742,china
743,chinese
744,chip
745,chipmakers
746,chirac
747,chocolate
748,choice
749,choke
750,choose
751,chosen
752,chris
753,christi
754,christian
755,chrysler
756,chung
757,chv
758,ciba
759,cie
760,cif
761,cincinnati
762,circle
763,circuit
764,circulation
765,circumstance
766,citgo
767,citibank
768,citicorp
769,citizen
770,citrus
771,city
772,civil
