,0
0,aaai
1,aaron
2,abc
3,abdelsalam
4,abduct
5,abelson
6,abil
7,abiteboul
8,abraham
9,abram
10,abridg
11,abroad
12,absenc
13,absolut
14,abstract
15,abus
16,ac
17,academ
18,academi
19,academia
20,acap
21,acceler
22,accent
23,accept
24,access
25,accid
26,accompani
27,accomplish
28,account
29,accur
30,accuraci
31,achiev
32,acklei
33,acknowledg
34,acl
35,acm
36,acm_symposium
37,acm_transact
38,acoust
39,acpub
40,acquaint
41,acquir
42,acquisit
43,acrobat
44,acronym
45,act
46,acta
47,action
48,activ
49,actor
50,actual
51,actuat
52,acycl
53,ad
54,ada
55,adam
56,adapt
57,addendum
58,addison_weslei
59,addit
60,addition
61,address
62,adept
63,adequ
64,adjunct
65,adjust
66,adm
67,admin
68,administ
69,administr
70,administrivia
71,admiss
72,admit
73,adob
74,adopt
75,adt
76,adult
77,adv
78,advanc
79,advantag
80,adventur
81,adversari
82,advertis
83,advic
84,advis
85,advise
86,advisor
87,advisori
88,advoc
89,aeronaut
90,aerospac
91,aesthet
92,affair
93,affect
94,affili
95,affin
96,afford
97,afosr
98,afraid
99,afternoon
100,ag
101,agarw
102,agenc
103,agenda
104,agent
105,aggreg
106,agil
107,ago
108,agraw
109,agre
110,agreement
111,ahead
112,ahm
113,aho
114,aiaa
115,aid
116,aid_design
117,aiken
118,aim
119,air
120,aircraft
121,airlin
122,airplan
123,airport
124,aix
125,ajai
126,aka
127,alabama
128,alain
129,alamo
130,alan
131,alarm
132,albert
133,alberta
134,alberto
135,album
136,albuquerqu
137,alex
138,alexand
139,alexandria
140,alfr
141,algebra
142,algorithm
143,ali
144,alia
145,alias
146,alien
147,align
148,alistair
149,allan
150,allen
151,allianc
152,alloc
153,alma
154,almaden
155,alpha
156,alphabet
157,alt
158,alta
159,altavista
160,altern
161,alto
162,alumnus
163,alvin
164,amateur
165,amaz
166,ambigu
167,amend
168,amer
169,america
170,american
171,amherst
172,ami
173,amir
174,amit
175,amo
176,amort
177,amount
178,amr
179,amsterdam
180,amus
181,analog
182,analys
183,analysi
184,analyst
185,analyt
186,analyz
187,anand
188,ancient
189,andersen
190,anderson
191,andi
192,andrea
193,andrew
194,angel
195,anil
196,anim
197,ann
198,anna
199,annal
200,anneal
201,annex
202,anni
203,anniversari
204,annot
205,announc
206,annual
207,anonym
208,ansi
209,answer
210,anthoni
211,anti
212,anticip
213,anton
214,antonio
215,anytim
216,apach
