,Text,Label
0,catalog case present study interested apply method nonstandard way method type literature address far propose begin single monograph subject catalog apply method citation analysis reference work determine whether core literature catalog could discover way example core literature scientific field obtain journal article science citation index research via monograph non scientific subject minimal,cisi
1,childhood psychosis description give diagnostic criterion put forward associate call schizophrenic syndrome childhood psychotic reaction childhood childhood schizophrenia organic state psychosis mental psychosis sensory deprivation psychosis suggest generic term psychosis best available classification present discuss,med
2,neonatal hepatitis familial neonatal obstructive jaundice four sibling boy chronic obstructive jaundice described onset jaundice varied day week birth two boy girl family healthy although one case pathological finding neonatal hepatitis giant cell hepatitis possibility could exclude described giant cell hepatitis appear morphological picture must several cause conclude finding patient one possible cause socalled giant cell hepatitis error metabolism,med
3,handbook comparative librarianship first part write deal comparative librarianship comparative method intend teacher comparative librarianship student approach number way first three chapter outline comparative librarianship theoretical basis methodology wider background comparative science scientific method three chapter follow purely practical explain various step write comparative study last chapter intend teacher second part compile mr bibliographical guide main source librarianship throughout world draw bibliography collect comparative librarianship student course project work reply questionnaire sent various library association world mr collection reference gather number year,cisi
4,design evaluation information system design evaluation call chapter pose organizational problem author part design evaluation two separate set activity former pertain planning development test new information system structure modification exist structure latter appraisal assessment operational system system component however design include formulation goal objective system also provision evaluation accordance expectation evaluation applies test design concept try preliminary implementation purpose improve initial design well appraisal operating system appraisal stage system may yield data indicate need system modification require assessment thus portion design evaluation closely interrelate demonstrate review design evaluation may examine respect outcome application methodology increasingly designer dependence outcome sound current literature research process design evaluation well product,cisi
5,study inviscid flow air high supersonic_speed study inviscid flow air high supersonic_speed steady flow curve airfoil high supersonic_speed investigate assumption air behaves diatomic gas found shockexpansion method may use predict flow curve airfoil extremely high mach_number provide flow deflection angle close correspond shock detachment result applies determination surface pressure_distribution also determination whole flow field airfoil verification observation obtain aid method characteristic extensive calculation pressure_gradient shockwave curvature lead_edge calculation pressure_distribution airfoil angle_attack approximation shockexpansion method thin airfoil high mach_number also investigate found yield pressure error less percent mach_number three flow deflection angle method relatively simple form thus may prove useful engineering purpose effect imperfection air manifest disturbed flow field high mach_number investigate particular attention give reduction ratio specific heat long ratio decrease appreciably include effect imperfection substantially accurate idealgas flow observation aid generalize shockexpansion method generalize method characteristic employ form applicable local air temperature method modify employ average value ratio specific heat particular flow field simplify method essentially accuracy flow counterpart idealgas flow approximate flow analysis make extremely high mach_number indicate ratio specific heat may approach close case found shockexpansion method may considerable error however method limit infinite freestream_mach number ratio appear apply reasonable accuracy,cran
6,isbd standard controversial isbd mean radical change descriptive catalog practice put operation plan library congress user lc catalog card require reference librarian experience immediate continue demand explanation new catalog card user large public research library computerbased system require modification computer program yet isbd international standard bibliographic description implement library congress ala without even consider recognize standard association say professional information industry organization,cisi
7,experimental study vibration circular cylindrical_shell experimental study vibration circular cylindrical_shell apparatus described permit mode shape vibrate circular cylindrical_shell obtain quite easily measurement make without contact cylinder convert actual value representative number result obtain system show illustrate relationship nodal pattern frequency cylinder well effect internal pressure frequency finally comparison make result theory appropriate shell theory,cran
8,thermal effect transpiration cool hemisphere thermal effect transpiration cool hemisphere approximate method use obtain injection distribution would exist isothermal hemisphere supersonic stream distribution air helium injection independent blowing level model distribution test supersonic laboratory wind_tunnel mach_number conclude design technique reasonably accurate data take near nose compare theory air helium injection agreement case reduction heattransfer coefficient good value insulate wall_temperature obtain near nose helium injection percent local stagnation temperature largely independent injection rate believe phenomenon may attribute thermal diffusion helium within boundary_layer air injection cause slight reduction insulate wall_temperature show injection either air helium hemisphere nose considerably reduces heat flux surface additional reduction heat flux result helium injection oppose air injection predict exist theory largely absent,cran
9,pressure measurement supersonic_speed three conical wing unit aspect_ratio pressure measurement supersonic_speed three conical wing unit aspect_ratio pressure measurement make mach_number range incidence three simple model represent thick conical wing sharp lead_edge test form part investigation effect thickness camber slender wing aspect_ratio model unity case spanwise cross section bound measure pressure_distribution present along overall lift drag exclude skin_friction base drag obtain integration,cran
