,0
0,10degree
1,11inch
2,2n
3,3rd
4,45degree
5,5fluorouracil
6,99m
7,a1
8,ab
9,abbreviate
10,abbreviation
11,abdominal
12,aberrant
13,ability
14,ablation
15,able
16,abnormal
17,abnormality
18,abolish
19,absence
20,absent
21,absolute
22,absorbed
23,absorption
24,abstract
25,abstraction
26,ac
27,academic
28,accelerate
29,acceleration
30,accept
31,acceptable
32,acceptance
33,accepted
34,accepts
35,access
36,accessibility
37,accessible
38,accommodate
39,accommodation
40,accompany
41,accomplish
42,accomplishment
43,accord
44,accordance
45,accordingly
46,account
47,accounting
48,accumulate
49,accumulation
50,accumulator
51,accuracy
52,accurate
53,accurately
54,acetate
55,achieve
56,achievement
57,acid
58,acm
59,acoustic
60,acquire
61,acquisition
62,across
63,acrystallin
64,act
65,acth
66,actinomycin
67,action
68,activation
69,active
70,actively
71,activity
72,actual
73,actually
74,acute
75,ad
76,adapt
77,adaptation
78,adaptive
79,add
80,addendum
81,addition
82,additional
83,address
84,adenocarcinoma
85,adenoma
86,adenovirus
87,adequacy
88,adequate
89,adequately
90,adiabatic
91,adipose
92,adjacent
93,adjunct
94,adjust
95,adjustment
96,adjuvant
97,administer
98,administration
99,administrative
100,administrator
101,admission
102,admit
103,adopt
104,adoption
105,adrenal
106,adrenalectomy
107,adult
108,advance
109,advanced
110,advancement
111,advantage
112,advantageous
113,advent
114,adverse
115,advisory
116,advocate
117,aerodynamic
118,aerodynamically
119,aerodynamics
120,aeroelastic
121,aerofoil
122,aeronautical
123,aeronautics
124,aerothermoelastic
125,affect
126,affected
127,affection
128,afford
129,aft
130,afterbodies
131,afterbody
132,agar
133,age
134,agency
135,agent
136,aggregate
137,aggregation
138,aggression
139,agnosia
140,ago
141,agree
142,agreement
143,agrees
144,ahead
145,ahf
146,aid
147,aileron
148,aim
149,air
150,aircraft
151,airflow
152,airfoil
153,airplane
154,airstream
155,al
156,ala
157,albumin
158,albuminoid
159,alert
160,algebra
161,algebraic
162,algol
163,algorithm
164,algorithmic
165,alkaline
166,alleviate
167,allocate
168,allocation
169,allow
170,allowable
171,allows
172,alloxan
173,alloy
174,almost
175,alone
176,along
177,alphabet
178,alphabetic
179,alphabetical
180,alphanumeric
181,already
182,also
183,alter
184,alteration
185,alternate
186,alternative
187,although
188,altitude
189,aluminium
190,aluminum
191,aluminumalloy
192,alveolar
193,alveolus
194,always
195,ambient
196,ambiguity
197,ambiguous
198,amd
199,amenable
200,america
201,american
202,amino
203,amnion
204,among
205,amount
206,amplify
207,amplitude
208,amputation
209,amyloid
210,amyloidosis
211,analog
212,analogous
213,analogue
214,analogy
215,analyse
216,analysis
217,analyst
218,analytic
219,analytical
220,analytically
221,analyze
222,analyzer
223,analyzes
224,anatomic
225,andor
226,androsterone
227,anemia
228,anemometer
229,anesthesia
230,aneurysm
231,angiocardiography
232,angle
233,angle_attack
234,angleofattack
235,angloamerican
236,angular
237,ani
238,animal
239,announce
240,annual
241,annular
242,annulus
243,anomalous
244,anomaly
245,another
246,answer
247,answerproviding
248,anterior
249,anti
250,antibiotic
251,antibody
252,anticipate
253,antidiuresis
254,antidiuretic
255,antigen
256,antigenic
257,antiserum
258,anxiety
259,anxious
260,anyone
261,anything
262,aorta
263,aortic
264,aortography
265,ap
266,apart
267,apex
268,aphasia
269,apparatus
270,apparent
271,apparently
272,appear
273,appearance
274,appendix
275,applicability
276,applicable
277,application
278,applies
279,apply
280,appointment
281,appraisal
282,appreciable
283,appreciably
284,appreciate
285,appreciation
286,approach
287,appropriate
288,approval
289,approx
290,approximate
291,approximate_solution
292,approximately
293,approximation
294,april
295,apt
296,aqueous
297,arbitrarily
298,arbitrary
299,arc
300,architecture
301,archive
302,area
303,arginine
304,argon
305,argue
306,argument
307,arise
308,arises
309,arithmetic
310,army
311,arose
312,around
313,arrange
314,arrangement
315,array
316,arrest
317,arrival
318,arrive
319,art
320,arterial
321,arteriosus
322,artery
323,arthritis
324,arthropathy
325,article
326,articulate
327,articulation
328,artificial
329,asa
330,asca
331,ascend
332,ascertain
333,ask
334,aslib
335,aspect
336,aspect_ratio
337,ass
338,assay
339,assemble
340,assembly
341,assertion
342,assess
343,assessment
344,assign
345,assignment
346,assigns
347,assist
348,assistance
349,associate
350,association
351,associative
352,assume
353,assumes
354,assumption
355,asymmetric
356,asymmetry
357,asymptomatic
358,asymptotic
359,asymptotically
360,atlas
361,atm
362,atmosphere
363,atmospheric
364,atom
365,atomic
366,atresia
367,atrial
368,atrium
369,atrophy
370,attach
371,attachment
