,0
0,0d
1,0d_0d
2,0g
3,0i
4,0t
5,0t_0t
6,1024x768
7,16bit
8,1d
9,1d9
10,1d9_1d9
11,1d9l
12,1eq
13,1st
14,1t
15,24bit
16,24e
17,256k
18,2b
19,2d
20,2nd
21,32bit
22,3b
23,3d
24,3rd
25,3t
26,3t_3t
27,4t
28,4th
29,5u
30,6p
31,6t
32,6um
33,7ex
34,7ey
35,7ez
36,7kn
37,7th
38,7u
39,8bit
40,9f
41,a4
42,a7
43,a86
44,a86_a86
45,aa
46,aaron
47,ab
48,abandon
49,abc
50,ability
51,able
52,abortion
53,absence
54,absolute
55,absolutely
56,abstract
57,absurd
58,abuse
59,ac
60,acad3alaskaedu
61,academic
62,accelerate
63,acceleration
64,accelerator
65,accept
66,acceptable
67,acceptance
68,accepted
69,access
70,access_online
71,access_unix
72,accessdigexcom
73,accessdigexnet
74,accident
75,accidental
76,accompany
77,accomplish
78,accord
79,account
80,accuracy
81,accurate
82,accuse
83,achieve
84,acid
85,acknowledge
86,acquire
87,across
88,acsubuffaloedu
89,act
90,action
91,active
92,activity
93,actual
94,actually
95,ad
96,adam
97,adam_shostack
98,adaptec
99,adapter
100,add
101,addition
102,additional
103,address
104,adequate
105,adjust
106,adl
107,administration
108,administrator
109,admit
110,adobe
111,adobecom
112,adopt
113,adult
114,advance
115,advanced
116,advantage
117,advertising
118,advice
119,advise
120,advocate
121,aerospace
122,affair
123,affect
124,affected
125,afford
126,afraid
127,african
128,afternoon
129,age
130,agency
131,agenda
132,agent
133,ago
134,agree
135,agreement
136,ah
137,ahead
138,ahl
139,ai
140,ai_nt
141,aid
142,aim
143,air
144,aircraft
145,aka
146,al
147,ala
148,alan
149,alarm
150,alaska
151,albert
152,alberta
153,alcohol
154,alex
155,alexander
156,algorithm
157,alien
158,alive
159,allege
160,allen
161,allergic
162,allergy
163,allocation
164,allow
165,allows
166,ally
167,almost
168,alomar
169,alone
170,along
171,alot
172,alpha
173,already
174,also
175,altatheism
176,alter
177,alternative
178,although
179,altitude
180,always
181,ama
182,amanda_walker
183,amateur
184,amateur_radio
185,amaze
186,amendment
187,america
188,american
189,ames_ia
190,amiga
191,ammunition
192,among
193,amount
194,amp
195,amplifier
196,amuse
197,analog
198,analogy
199,analysis
200,analyze
201,ancient
202,anderson
203,andi_beyer
204,andor
205,andre_beck
206,andrew
207,andrewcmuedu
208,andrewcmuedu_subject
209,andy
210,angel
211,anger
212,angle
213,angry
214,animal
215,animation
216,ankara
217,ann_arbor
218,announce
219,announcement
220,annoy
221,annual
222,anonymity
223,anonymous
224,anonymous_ftp
225,another
226,ansi
227,answer
228,answer_question
229,antenna
230,anthony
231,antibiotic
232,anybody
233,anybody_know
234,anymore
235,anyone
236,anyone_else
237,anyone_know
238,anything
239,anything_else
240,anyway
241,anywhere
242,ap
243,apart
244,apartment
245,apollo
246,apollohpcom
247,apologize
248,apology
249,apostle
250,app
251,apparent
252,apparently
253,appeal
254,appear
255,appearance
256,apple
257,applecom
258,application
259,applies
260,apply
261,appreciate
262,appreciate_thanks
263,approach
264,appropriate
265,approval
266,approve
267,approximately
268,apps
269,apr
270,apr_gmt
271,april
272,ar
273,arab
274,arbitrary
275,arc
276,archie
277,architecture
278,archive
279,archivename
280,area
281,arena
282,argic_distribution
283,args
284,argue
285,argument
286,arithmetic
287,arizona
288,arm
289,armenia
290,armenian
291,army
292,around
293,arrange
294,array
295,arrest
296,arrive
297,arrogance
298,arrogant
299,art
300,arthur
301,article
302,articleid
303,artificial_intelligence
304,as
305,ascii
306,aside
307,ask
308,ask_question
309,asks
310,aspect
311,assault
312,assemble
313,assembly
314,assert
315,assertion
316,asshole
317,assign
318,assist
319,assistance
320,assistant
321,associate
322,association
323,assume
324,assumes
325,assumption
326,assure
327,astronaut
328,astronomer
329,astronomical
330,astronomy
331,atari
332,atf
333,atheism
334,atheist
335,athenacsugaedu
336,athenamitedu
337,athens
338,athosrutgersedu
339,ati
340,atlanta
341,atlantic
342,atmosphere
343,atmospheric
344,atom
345,atomic
346,atrocity
347,attach
348,attack
349,attempt
350,attend
351,attention
352,attitude
353,attorney
354,attorney_general
355,attribute
356,au
357,audience
358,audio
359,august
360,austin
361,austin_tx
362,austinibmcom
363,australia
364,australia_line
365,author
366,authority
367,authorize
368,auto
369,automatic
370,automatically
371,automobile
372,automotive
373,av
374,availability
375,available
376,available_anonymous
377,available_via
378,ave
379,avenue
380,average
381,avoid
382,award
383,aware
384,away
385,awful
386,ax
387,ax_ax
388,ax_max
389,axe
390,az
391,azerbaijan
392,azerbaijani
393,azeri
394,b6
395,b8
396,b8e3
397,b8f
398,b8f_b8f
399,b9r
400,ba
401,baalke_kelvinjplnasagov
402,baby
403,back
404,background
405,backing
406,backup
407,bad
408,badly
409,bag
410,baku
411,balance
412,balcony
413,ball
414,baltimore
415,ban
416,band
417,bandwidth
418,bank
419,baptism
420,baptist
421,bar
422,barrel
423,barry
424,base
425,baseball
426,basic
427,basically
428,basis
429,bastard
430,bat
431,batch
432,batf
433,batter
434,battery
435,batting
436,battle
437,baud
438,bay
439,bayonet
440,bb
441,bc
442,bd
443,beach
444,beam
445,bear
446,bearing
447,beast
448,beat
449,beating
450,beautiful
451,become
452,becomes
453,bed
454,beep
455,beer
456,begin
457,behave
458,behavior
459,behaviour
460,behind
461,belief
462,believe
463,believe_god
464,believer
465,bell
466,bellnorthern_research
467,belong
468,belongs
469,belt
470,ben
471,bench
472,benefit
473,berkeley
474,besides
475,best
476,best_offer
477,bet
478,beta
479,beth
480,beyond
481,bh
482,bias
483,bible
484,biblical
485,big
486,big_deal
487,bike
488,biker
489,bill
490,bill_clinton
491,billboard
492,billion
493,binary
494,binding
495,biological
496,biology
497,bios
498,birth
499,bishop
500,bit
501,bitmap
502,bitnet
503,bj
504,black
505,black_hole
506,blame
507,blank
508,blast
509,bless
510,blind
511,block
512,blood
513,bloom
514,blow
515,blown
516,blue
517,blue_jay
518,bm
519,bmp
520,bmw
521,bnr
522,bnrca
523,board
524,bob
525,bobbe_viceicotekcom
526,bobby
527,body
528,boeing
529,bolt
530,bomb
531,bombing
532,bond
533,bone
534,book
535,boomer
536,boost
537,boot
538,border
539,bore
540,borland
541,born
542,bos
543,bosnia
544,bosnian
545,bosnian_muslim
546,boston
547,bother
548,bottle
549,bottom
550,bought
551,boulder
552,bounce
553,bound
554,boundary
555,box
556,boy
557,boyle
558,bps
559,brad
560,bradley
561,brain
562,brake
563,branch
564,branch_davidians
565,brand
566,brand_new
567,brave
568,break
569,breaker
570,breast
571,brent
572,brett
573,brian
574,brief
575,bright
576,bring
577,brings
578,britain
579,british
580,british_columbia
581,broad
582,broadcast
583,broke
584,broken
585,brook
586,brother
587,brought
588,brown
589,bruce
590,bruin
591,bryan
592,btw
593,buck
594,budget
595,buedu
596,buf
597,buffalo
598,buffer
599,bug
600,build
601,building
602,built
603,builtin
604,bull
605,bullet
606,bullock
607,bullshit
608,bunch
609,bureau
610,burn
611,burn_dividian
612,burning
613,burst
614,bury
615,bus
616,bush
617,business
618,busy
619,butt
620,button
621,buy
622,buyer
623,buying
624,byte
625,c650
626,c_dept
627,c_tavares
628,ca
629,ca_nt
630,cable
631,cache
632,cage
633,cal
634,calculate
635,calculation
636,calgary
637,california
638,call
639,callback
640,callison
641,calm
642,cambridge
643,camera
644,camp
645,campaign
646,campbell
647,campus
648,canada
649,canada_line
650,canadian
651,cancer
652,candida
653,candidate
654,canon
655,canuck
656,cap
657,capability
658,capable
659,capacity
660,cape
661,capital
662,captain
663,capture
664,car
665,card
666,cardinal
667,care
668,career
669,careful
670,carefully
671,carl
672,carlos
673,carnegie_mellon
674,carrier
675,carry
676,carsonuwashingtonedu
677,carter
678,cartridge
679,case
680,case_western
681,cash
682,cassette
683,cast
684,cat
685,catalog
686,catch
687,catcher
688,category
689,catholic
690,caught
691,cause
692,cb
693,cbnewsjcbattcom
694,cc
695,ccocaltechedu
696,ccuumanitobaca
697,ccwfccutexasedu
698,cd
699,cdc
700,cdrom
701,cdt_swstratuscom
702,cease
703,cell
704,cellular
705,cent
706,center
707,center_policy
708,central
709,centre
710,centris
711,century
712,ceremony
713,certain
714,certainly
715,cf
716,ch
717,chain
718,chair
719,challenge
720,chamber
721,champ
722,champion
723,championship
724,chance
725,change
726,channel
727,chapter
728,char
729,character
730,characteristic
731,characterize
732,charge
733,charles
734,charlie
735,chart
736,charter
737,chase
738,chastity_intellect
739,cheap
740,cheaper
741,check
742,checked
743,cheer
744,chemical
745,chemistry
746,chen
747,cherry
748,chi
749,chicago
750,chief
751,child
752,chinese
753,chip
754,choice
755,choose
756,chose
757,chosen
758,chris
759,chris_behanna
760,christ
761,christian
762,christian_morality
763,christianity
764,christopher
765,chronic
766,chuck
767,church
768,ci
769,cia
770,cigarette
771,cincinnati
772,cipher
773,circle
774,circuit
775,circular
776,circumstance
777,cite
778,citizen
779,city
780,civil
781,civil_right
782,civil_war
783,civilian
784,claim
785,claimed
786,clarify
787,clark
788,clarke
789,class
790,classic
791,classify
792,clayton
793,clayton_cramer
794,clean
795,cleaning
796,clear
797,clearly
798,clemens
799,cleveland
800,cleveland_oh
801,cleveland_ohio
802,clevelandfreenetedu
803,clh
804,click
805,client
806,cliff
807,clinic
808,clinical
809,clinton
810,clip
811,clipper
812,clipper_chip
813,clock
814,clone
815,close
816,close_road
817,closely
818,closer
819,clothes
820,cloud
821,club
822,clue
823,clutch
824,cm
825,cmos
826,cnn
827,co
828,coach
829,coast
830,coat
831,cod
832,code
833,code_good
834,coin
835,col
836,cold
837,collapse
838,collect
839,collection
840,college
841,collision
842,color
843,colorado
844,colorado_boulder
845,colormap
846,colour
847,columbia_university
848,columbus
849,column
850,combination
851,combine
852,come
853,come_back
854,comet
855,comfortable
856,comic
857,command
858,commander
859,commandment
860,comment
861,commentary
862,commercial
863,commission
864,commit
865,commitment
866,committee
867,common
868,commonly
869,communicate
870,communication
871,communist
872,community
873,comp
874,comp_sci
875,company
876,comparable
877,compare
878,comparison
879,compatibility
880,compatible
881,compete
882,competition
883,compile
884,compiler
885,complain
886,complaint
887,complete
888,completely
889,complex
890,complicate
891,component
892,compound
893,comprehensive
894,compress
895,compression
896,compromise
897,compuserve
898,compuservecom
899,computation
900,compute
901,compute_center
902,computer
903,computer_graphic
904,computer_inc
905,computer_science
906,computer_service
907,con
908,conceal
909,concentrate
910,concept
911,conception
912,concern
913,concerned
914,conclude
915,conclusion
916,concrete
917,condemn
918,condition
919,conduct
920,conductor
921,conference
922,confidence
923,configsys
924,configuration
925,configure
926,confirm
927,conflict
928,confuse
929,confusion
930,congress
931,connect
932,connection
933,connector
934,consensus
935,consent
936,consequence
937,conservative
938,consider
939,considerably
940,consideration
941,consist
942,consistent
943,consistently
944,consists
945,conspiracy
946,constant
947,constantly
948,constitution
949,constitutional
950,construct
951,construction
952,consult
953,consultant
954,consume
955,consumer
956,contact
957,contain
958,contains
959,content
960,contest
961,context
962,continue
963,continued
964,contract
965,contradict
966,contradiction
967,contradictory
968,contrary
969,contrast
970,contrib
971,contribute
972,contribution
973,control
974,controller
975,convenient
976,convention
977,conventional
978,conversation
979,conversion
980,convert
981,converter
982,convertible
983,convex
984,convex_computer
985,convexcom
986,convict
987,conviction
988,convince
989,convincing
990,cook
991,cool
992,cooper
993,cooperation
994,coordinate
995,cop
996,coprocessor
997,copy
998,copyright
999,core
1000,cornell
1001,corner
1002,corp
1003,corporate
1004,corporation
1005,correct
1006,correction
1007,correctly
1008,correspond
1009,corrupt
1010,cost
1011,could
1012,could_someone
1013,council
1014,count
1015,counter
1016,countersteering
1017,country
1018,county
1019,couple
1020,couple_year
1021,course
1022,court
1023,court_order
1024,covenant
1025,cover
1026,coverage
1027,cpu
1028,crack
1029,craft
1030,craig
1031,cramer_optilinkcom
1032,crap
1033,crash
1034,cray
1035,crazy
1036,create
1037,creates
1038,creation
1039,creative
1040,creator
1041,credit
1042,creed
1043,crew
1044,crime
1045,criminal
1046,crisis
1047,criterion
1048,critical
1049,criticism
1050,croat
1051,cross
1052,crowd
1053,cruel
1054,cruise
1055,cry
1056,crypto
1057,cryptographic
1058,cryptography
1059,crystal
1060,cscmuedu
1061,csrochesteredu
1062,csuiucedu
1063,csutexasedu
1064,ct
1065,cub
1066,cult
1067,cultural
1068,culture
1069,cup
1070,cupportalcom
1071,cure
1072,curious
1073,current
1074,currently
1075,curse
1076,cursor
1077,curtis
1078,curve
1079,custom
1080,customer
1081,cut
1082,cx
1083,cycle
1084,cylinder
1085,cyprus
1086,d9
1087,da
1088,daily
1089,dakota
1090,dale
1091,dallas
1092,damage
1093,damn
1094,dan
1095,dance
1096,danger
1097,dangerous
1098,daniel
1099,danny
1100,dare
1101,dark
1102,darren
1103,dartmouthedu
1104,data
1105,database
1106,date
1107,daughter
1108,dave
1109,david
1110,david_davidian
1111,david_koresh
1112,david_sternlight
1113,david_veal
1114,davidians
1115,davis
1116,day
1117,db
1118,dbd_urartusdpaorg
1119,dc
1120,dcx
1121,dd
1122,de
1123,dead
1124,deal
1125,dealer
1126,dean
1127,dear
1128,death
1129,death_penalty
1130,debate
1131,dec
1132,decade
1133,december
1134,decent
1135,decide
1136,decision
1137,declare
1138,decline
1139,decode
1140,decrease
1141,decrypt
1142,dedicate
1143,dee
1144,deed
1145,deep
1146,default
1147,defeat
1148,defence
1149,defend
1150,defense
1151,defensive
1152,deficit
