,Text,Label
0,computeraided analysis design information system paper_describes use computeraided analysis design development integrate financial management system material command support activity computeraided analysis consists set procedure computer_program aid process application software design computer selection performance_evaluation four major_component problem statement language problem statement analyzer generator alternative design performance statement requirement write ad accurately define system analyze problem statement analyzer ad ad problem definition supplement additional information order create complete problem definition analyze problem statement translate form necessary use system optimization design algorithm program generation alternative specification program module logical database structure,cacm
1,catalog case present study interested apply method nonstandard way method type literature address far propose begin single monograph subject catalog apply method citation analysis reference work determine_whether core literature catalog could discover way example core literature scientific field obtain journal_article science_citation index research via monograph non scientific subject minimal,cisi
2,description_give diagnostic criterion put_forward associate call schizophrenic syndrome childhood reaction childhood organic state psychosis mental psychosis sensory deprivation psychosis suggest generic term psychosis best available classification present discuss,med
3,neonatal_hepatitis familial neonatal obstructive_jaundice four sibling boy chronic obstructive_jaundice described onset jaundice varied birth two family healthy although one case pathological finding neonatal_hepatitis giant_cell hepatitis possibility could exclude described giant_cell hepatitis appear morphological picture must several cause conclude finding patient one possible cause socalled giant_cell hepatitis error metabolism,med
4,handbook comparative librarianship first_part write deal comparative librarianship comparative method intend teacher comparative librarianship student approach number way first three chapter outline comparative librarianship theoretical basis methodology wider background comparative science scientific method three chapter follow purely practical explain various step write comparative_study last chapter intend teacher second_part compile mr bibliographical guide main source librarianship draw bibliography collect comparative librarianship student course project work reply various library_association world mr collection reference gather number year,cisi
5,design_evaluation information system design_evaluation call chapter pose organizational problem author part design_evaluation two separate set activity former pertain planning development test new information system structure modification exist structure latter assessment operational system system component however design include formulation goal objective system also provision evaluation accordance evaluation applies test design concept try preliminary implementation purpose improve initial design well operating_system stage system may yield data indicate need system modification require assessment thus portion design_evaluation closely demonstrate review design_evaluation may examine respect outcome application methodology increasingly designer dependence outcome sound current literature research process design_evaluation well product,cisi
6,fourier integral,cacm
7,study inviscid_flow air high supersonic_speed study inviscid_flow air high supersonic_speed steady_flow curve airfoil high supersonic_speed investigate assumption air found shockexpansion_method may use predict flow curve airfoil extremely high_mach number provide flow close correspond shock_detachment result applies determination surface_pressure distribution also determination whole flow_field airfoil verification observation obtain aid method characteristic extensive calculation pressure_gradient shockwave curvature lead_edge calculation pressure_distribution airfoil angle_attack approximation shockexpansion_method high_mach number also investigate found yield pressure error less_percent mach_number three flow method relatively_simple form thus may prove_useful engineering purpose effect imperfection air manifest disturbed flow_field high_mach number investigate particular_attention give reduction ratio_specific heat long ratio decrease appreciably include effect imperfection substantially accurate flow observation aid generalize shockexpansion_method generalize method characteristic employ form applicable local air temperature method modify employ average value ratio_specific heat particular flow_field simplify method essentially accuracy flow counterpart flow approximate flow analysis make extremely high_mach number indicate ratio_specific heat may approach close case found shockexpansion_method may considerable error however method limit infinite freestream_mach number ratio appear apply reasonable accuracy,cran
8,isbd standard isbd mean descriptive catalog practice put operation plan library_congress user lc catalog_card require reference librarian experience immediate continue demand explanation new catalog_card user large public research library computerbased_system require modification computer_program yet isbd international_standard bibliographic_description implement library_congress without even consider recognize standard association say professional information industry organization,cisi
9,experimental_study vibration circular_cylindrical shell experimental_study vibration circular_cylindrical shell apparatus described permit circular_cylindrical shell obtain quite easily measurement_make without contact cylinder convert actual value representative number result_obtain system show illustrate relationship pattern frequency cylinder well effect internal_pressure frequency finally comparison_make result theory appropriate shell theory,cran
10,length string detailed statistic give length maximal sort string result form first internal sort phase tape show string produce alternate method ie one produce string tend long method produce ascend string contrary statement appear previously literature algorithm therefore suggest,cacm
11,associate real argument algorithm,cacm
12,thermal effect transpiration_cool hemisphere thermal effect transpiration_cool hemisphere approximate_method use obtain injection distribution would exist isothermal hemisphere supersonic_stream distribution air_helium injection independent blowing level model distribution test supersonic laboratory wind_tunnel mach_number conclude design technique reasonably accurate data take near nose compare theory air_helium injection agreement case reduction heattransfer_coefficient good value insulate wall_temperature obtain near nose helium_injection percent local stagnation_temperature largely independent injection rate believe phenomenon may attribute helium within boundary_layer air injection cause slight reduction insulate wall_temperature show injection either air_helium hemisphere nose considerably reduces heat_flux surface additional reduction heat_flux result helium_injection oppose air injection predict exist theory largely absent,cran
