,Text,Label
0,case present study interested method nonstandard way method type literature far begin single monograph subject method citation analysis reference work determine core literature way example core literature scientific field journal article science citation index research monograph non scientific subject minimal,cisi
1,childhood psychosis description diagnostic criterion put forward associate schizophrenic syndrome childhood psychotic reaction childhood grouped childhood schizophrenia organic state psychosis mental psychosis sensory deprivation psychosis generic term psychosis best available classification,med
2,neonatal hepatitis familial neonatal obstructive jaundice sibling boy chronic obstructive jaundice described onset jaundice varied day week birth boy girl family healthy case pathological finding neonatal hepatitis giant cell hepatitis possibility described hitherto giant cell hepatitis morphological picture several cause finding patient possible cause giant cell hepatitis error metabolism,med
3,handbook comparative librarianship first part deal comparative librarianship comparative method teacher comparative librarianship student number way first chapter outline comparative librarianship theoretical basis methodology wider background comparative science scientific method chapter purely practical explain various step comparative study last chapter teacher second part mr bibliographical guide main source librarianship world draw bibliography comparative librarianship student course project work reply questionnaire sent various library association world mr collection reference number year,cisi
4,design evaluation information system design evaluation chapter organizational problem author part design evaluation separate set activity former planning development new information system structure modification structure latter appraisal assessment operational system system component however design formulation goal objective system also provision evaluation accordance expectation evaluation applies design concept preliminary implementation purpose initial design well appraisal operating system appraisal stage system yield data indicate need system modification require assessment thus portion design evaluation closely review design evaluation respect outcome application methodology increasingly designer dependence outcome sound current literature research process design evaluation well product,cisi
5,study inviscid flow air high supersonic_speed study inviscid flow air high supersonic_speed steady flow airfoil high supersonic_speed assumption air behaves diatomic gas found shockexpansion method predict flow airfoil extremely high mach_number flow deflection angle close shock detachment result applies determination surface pressure_distribution also determination whole flow field airfoil verification observation aid method characteristic extensive calculation pressure_gradient shockwave curvature edge calculation pressure_distribution airfoil angle_attack approximation shockexpansion method thin airfoil high mach_number also found yield pressure error less percent mach_number flow deflection angle method relatively simple form thus prove useful engineering purpose effect imperfection air manifest disturbed flow field high mach_number particular attention reduction ratio specific heat long ratio decrease appreciably include effect imperfection substantially accurate idealgas flow observation aid shockexpansion method method characteristic form applicable local air temperature method employ average value ratio specific heat particular flow field method essentially accuracy flow counterpart idealgas flow approximate flow analysis extremely high mach_number ratio specific heat approach close case found shockexpansion method considerable error however busemann method limit infinite freestream_mach number ratio reasonable accuracy,cran
6,isbd standard controversial isbd mean radical change descriptive practice put operation library congress user lc catalog card require reference librarian experience immediate demand explanation new catalog card user large public research library system require modification computer program yet isbd international standard bibliographic description library congress ala even standard association nothing professional information industry organization,cisi
7,experimental study vibration circular cylindrical_shell experimental study vibration circular cylindrical_shell apparatus described permit mode shape circular cylindrical_shell quite easily measurement cylinder actual value representative number result system illustrate relationship nodal pattern frequency cylinder well effect internal pressure frequency finally comparison result theory appropriate shell theory,cran
8,thermal effect transpiration hemisphere thermal effect transpiration hemisphere approximate method injection distribution exist isothermal hemisphere supersonic stream distribution air helium injection independent blowing level model distribution supersonic laboratory wind_tunnel mach_number design technique reasonably accurate data nose theory air helium injection agreement case reduction heattransfer coefficient good value wall_temperature nose helium injection percent local stagnation temperature largely independent injection rate phenomenon thermal diffusion helium boundary_layer air injection cause slight reduction wall_temperature injection air helium hemisphere nose considerably reduces heat flux surface additional reduction heat flux helium injection air injection theory largely absent,cran
9,pressure measurement supersonic_speed conical wing unit aspect_ratio pressure measurement supersonic_speed conical wing unit aspect_ratio pressure measurement mach_number range incidence simple model thick conical wing sharp edge test form part investigation effect thickness camber slender wing aspect_ratio model unity case spanwise cross section pressure_distribution overall lift drag skin_friction base drag integration,cran
10,transformation transonic flow transformation transonic flow author study problem shape symmetrical nozzle velocity axis velocity streamline increase steadily singularity sonic velocity axis nozzle first physical plane power series plane characteristic differential_equation passing sonic point line branch point region line region stream function region also singularity sonic point point condition exit nozzle author proposes construct plane exit velocity finite sum regular r square velocity hypergeometric function approximation velocity_distribution axis solution convergent region sonic point nozzle region author solution power series convergent region interest type solution author nozzle infinitely long supersonic part,cran
11,nucleic acid metabolism lens iii effect xradiation previous communication vivo incorporation p32 albuminoid rna fraction rat lens hour animal xradiation r present study vitro uptake p32 albuminoid soluble rna fraction normal x rat lens rna fraction sodium sulfate cent nacl specific rna fraction also paper activity individual nucleotide well specific rna fraction experiment also capsule hour incubation period activity nucleic acid capsule rna fraction lens matter result experiment indicate incorporation p32 albuminoid rna markedly hour r whole body radiation significant effect soluble fraction effect heating albuminoid rna much less albuminoid rna control animal,med
12,use simulation information storage_retrieval system previous application simulation information storage_retrieval system scope environment system operate paper considers subsystem large system user retrieval_system component form information feedback system user response influence funding operation attempt satisfy user need finite budget allocation theory basis user behavior industrial dynamic model developed simulate behavior university departmental library component result analysis produce,cisi
13,library report deal complementary theme public public_library service way information nature public present reporting people public_library member also belong never relative british subject therefore mass observation reading society young publisher survey book london comprehensive scope detailed analysis survey depth issue necessarily played small part book london,cisi
14,followup case publication paper recently van subject autistic author present case description value brief contribution lie fact least year idea eventual result type case,med
15,mitral atresia pulmonary venous anomaly pulmonary venous anomaly specimen mitral atresia anomalous pulmonary vein form anomalous pulmonary venous case pulmonary venous anomaly cor group mitral atresia premature closure foramen anomalous pulmonary venous group route flow pulmonary venous blood understood en response obstruction foramen mitral valve group ii factor latter group total anomalous pulmonary venous common atrium cor patent foramen pulmonary venous obstruction case,med
16,concept method graduate library school study course include general material type abstract historical development publication industry especially united_state need standard preparation evaluation product topic call concept text method section instruction various type abstract publication detailed instruction example exercise appendix brief discussion abstract publication research automation extensively work topic great emphasis past computer use increasingly important aspect librarianship much research effort preparation evaluation abstract extract student librarian benefit research computer program analyze text select key sentence prepare extract abstract benefit research key segment information industry opportunity available professional worker many librarian activity effective use information chapter career opportunity,cisi
17,technical library user demand classification user group user demand technical library study habit customer technical library information department main aim determination user demand discover item information document customer seek seek classification user group demand test hypothesis possible customer meaningful user group common feature characteristic behavior pattern group need estimation significance librarian measure demand librarian library term expenditure time skill use stock different user group,cisi
18,stagnationpoint shockdetachment distance flow sphere cylinder air stagnationpoint shockdetachment distance flow sphere cylinder air author discus problem deflection bar initially shape circular arc arbitrarily inclined end load,cran
19,theory discharge coefficient round entrance theory discharge coefficient round entrance theory consideration potential boundarylayer flow nozzle curve discharge coefficient function diameter reynolds_number total equivalent length ratio contraction section nozzle theoretical curve discharge coefficient versus diameter reynolds_number good_agreement experiment range reynolds_number theory rational framework experimental_result show effect contraction shape location pressure value discharge coefficient design suggests design installation operation,cran
20,light electron microscope study respiratory tissue rat light microscopic observation development rat lung presence glandular alveolar stage stage electron microscopy present different part lung time eg mm length glandular stage lung tissue immature appearance light microscopy electron microscopy individual cell also immature respect organelle glycogen present immature cell stage lung tissue becomes vascular stage development duct air space always continuous complete epithelium blood vessel complete endothelium inclusion body present epithelial cell early stage development vesicle present large number epithelial endothelial cytoplasm indicate absorption fluid alveolar space mechanism alveolar nature remains uncertain respiratory tissue rat fully birth importance fact human infant adult bloodair barrier epithelium zona endothelium varies thickness project whilst receipt grant medical research council canada also miss manuscript,med
21,oscillation system nonlinear particular type oscillation system nonlinear particular type paper deal oscillation dynamic system single degree freedom linear force nonlinear force latter function velocity simple graph negative small velocity becomes positive velocity certain value assumption rigorous solution equation motion amplitude maximum velocity period simple solution case small approximate solution series power ratio satisfactory accuracy quite large value,cran
22,simultaneous use circulation hypothermia surgery heart operative technique cardiac surgery condition deep hypothermia simultaneous use pump cardiopulmonary bypass described majority case patient water c perfusion volume hypothermia others gradient c blood water perfusion volume less data show technique lead hypoxic change internal organ mean arterial pressure kept mm hg perfusion overall mortality author case congenital heart disease case tetralogy fallot flap tissue group mortality,med
23,intermediate lexicon new step towards international cooperation scientific technical information agency documentation documentation ie literature scientific technical information turn problem growth information number centre last year often several country activity often similar document source job differ practical detail less identical descriptive bibliography bulletin index selective distribution programme,cisi
24,syndrome case report syndrome girl correlation clinical pathological feature exit foramen ventricle open severe cystic dilatation ventricle distortion posterior cerebellar structure,med
25,user resistance microforms research library microforms limited acceptance research library largely user resistance number study indicate production inadequate bibliographic access lack standardization defect equipment design maintenance problem poor environment microform usage certain inherent characteristic microforms combine use solution problem time microform industry correct positive development last year major problem remain,cisi
26,clue cancer patient clear patient cancer pattern communication different stage disease pattern communication basis clue personnel total care effective clinician past day clue ministration social worker manifest help cancer perhaps chronic disease,med
27,terminal cancer home perhaps difficult part mr brown illness life aware process carcinoma time course try always hope something new way treatment turn life worth living,med
28,antidiuresis induced diabetes_insipidus less regularly nephrogenic diabetes_insipidus diuretic cause fall diuresis mainly due excretion free water action extent action salt depletion depends direct effect drug water permeability distal tubule cortisone maximal thiazide derivative diminishes progressively compound order absent reduction glomerular filtration proximal reabsorption na salt depletion induced diuretic less importance irregular appearance,med
29,correlation subject book book library traditional circulation count always reliable indicator total library use test assumption author correlation exists subject book library library count book left table desk surface book study first book lc dewey class span academic department second book broad lc first second letter dewey ten first case overall correlation second less data author concludes circulation total reliable indicator use use thus total use method ratio regression equation,cisi
