,Text,Label
0,champion product approves stock_split champion product inc say board_director approve two one stock_split common_share shareholder_record april company also say board vote recommend shareholder annual_meeting april increase authorize capital stock five mln mln share reuter,earn
1,computer terminal system completes sale computer terminal system inc say complete sale share common_stock warrant acquire additional one mln share n v switzerland dlrs company say warrant exercisable five year purchase price dlrs per_share computer terminal say also right buy additional share increase total holding pct computer terminal outstanding_common stock certain circumstance involve change control company company say condition occur warrant would exercisable price equal pct common_stock market price time exceed dlrs per_share computer terminal also say sell right dot impact technology include future improvement inc houston dlrs say would continue exclusive worldwide licensee technology company say move part reorganization plan would help pay current operation cost ensure product delivery computer terminal make computer generate label form printer terminal reuter,acq
2,inc year net_shr ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year include extraordinary_gain tax carry forward dlrs five ct per shr reuter,earn
3,international inc nd_qtr jan oper_shr loss two ct v profit seven ct_oper shr_profit v profit rev_mln v mln_avg shrs mln v mln six_mths oper_shr profit nil v profit ct_oper net profit v profit rev_mln v mln_avg shrs mln v mln note per shr calculate payment prefer dividend result exclude credit four ct nine ct qtr six_mths v six ct ct_prior period operating loss carryforwards reuter,earn
4,brown forman inc th_qtr net_shr one dlr v ct_net mln v mln rev_mln v mln nine_mths shr dlrs v dlrs net mln v mln rev billion v mln reuter,earn
5,dean food see strong th_qtr earnings dean food co expect earnings fourth_quarter end may exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food processor report earnings ct share douglas also say year sale exceed billion dlrs billion dlrs prior year repeat earlier projection third_quarter earnings probably slightly last_year ct share fall range ct ct share douglas say early project whether anticipate fourth_quarter performance would enough u exceed prior year overall earnings dlrs share douglas say dean experience pct improvement bottom line effect tax reform act alone president howard dean say fiscal company benefit various dairy frozen vegetable acquisition ryan co dean also say company benefit acquisition late december inc west chicago say company major shareholder e b food ltd united kingdom licensing arrangement australia canada brazil japan provide entry corp year douglas told analyst reuter,earn
6,magma lower copper cent ct magma copper co subsidiary newmont mining corp say cut copper cathode price cent cent lb effective immediately reuter,copper
7,brown forman set stock_split ups payout brown forman inc say board approve three two stock_split pct increase company cash dividend company cite improve earnings outlook continued strong cash_flow reason raise dividend brown forman say split class class_b common_share would effective march company say director declare quarterly cash dividend new share class ct payable_april one holder_record march prior split company paid ct quarterly brown forman today report pct increase third_quarter profit mln dlrs dlr share seven pct increase sale record mln dlrs brown forman say nine_month profit decline bit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring beverage operation company say low corporate tax rate restructuring expect substantially improve brown forman earnings cash_flow fiscal reuter,earn
8,radio electronics inc th_qtr shr_profit ct v profit four ct annual div_ct v ct_prior yr net profit v profit rev v mths_shr profit ct v loss ct_net profit v loss_rev mln v note annual dividend_payable april stockholder record_march reuter,earn
9,united presidential corp th_qtr net_shr ct v ct_net v rev_mln v mln year shr dlrs v dlrs net v rev_mln v mln note result include adjustment dlrs ct shr year period improvement result universal life business first estimate reuter,earn
10,january housing sale drop realty group say sale previously own home drop pct january seasonally_adjust annual rate mln unit national association say december rate mln unit high since record mln unit sale rate set november group say drop january consider significant portion december near record pace make seller seek get favorable capital gain treatment old tax law say john reuter,housing
11,asset money_market mutual fund rise mln dlrs late week,money-supply
12,owen minor inc raise qtly dividend_qtly div eight ct v ct_prior pay march record_march reuter,earn
13,computer language research th_qtr shr_loss ct v loss ct_net loss v loss_rev mln v mln qtly_div three ct v three ct_prior year shr_profit two ct v profit ct_net profit v profit rev_mln v mln note dividend_payable april one shareholder_record march reuter,earn
14,ltd th_qtr net_shr ct v ct_net mln v sale mln v mln_avg shrs_v year shr dlrs v dlrs net mln v mln sale mln v mln_avg shrs_v reuter,earn
15,standard trustco see well year standard trustco say expect earnings increase least pct dlrs dlrs per_share record stable interest_rate grow economy expect provide favorable condition growth president brian told shareholder annual_meeting standard trustco previously report asset billion dlrs billion dlrs return common shareholder equity pct last_year pct reuter,earn
16,th_qtr loss shr_loss ct v loss three ct_net loss v loss_rev mln v mln month shr_loss ct v profit ct_net loss v profit rev_mln v mln note net loss th_qtr include charge restructuring mln dlrs tax ct share net loss include tax special charge mln dlrs ct share reuter,earn
17,ico producer present new coffee proposal international_coffee organization ico produce country present proposal reintroduce export_quota month april firm undertaking try negotiate september future quota distribution new basis ico delegate say distribution april would unchanged basis earlier producer proposal include shortfall total mln bag say ico contact group meeting consumer schedule even postpone tomorrow delegate say reuter,coffee
18,chemlawn chem rise hope high bid chemlawn corp chem could attract high bid dlrs per_share offer waste_management inc wall_street arbitrageur say share chemlawn shot counter trading mln company mln share change hand late afternoon company could go time cash_flow dlrs maybe dollar depend whether compete bidder arbitrageur say waste_management tender_offer announce opening today expires march totally surprise say chemlawn spokeswoman company board held regularly schedule meeting today discuss waste_management announcement say statement expect certain would ready unable say prior contact waste_management chemlawn official think resist say analyst ball inc company like surprise attack would arbitrageur point difficult resist tender_offer share cash say chemlawn could try find white want acquire waste_management analyst snyder say company l p inc example company could interested chemlawn two mln customer large u company involve application waste_management involve removal waste say chemlawn customer base could another company want capitalize strong residential commercial distribution system note high growth rate chemlawn share price mid stock rate growth slow say company profit concentrate fourth_quarter chemlawn earn dlrs per_share full year dlrs fourth_quarter note chemlawn thousand individual offer garden care reuter,acq
19,u sugar import week usda sugar import subject u sugar import quota week end_january initial week sugar quota year total short_ton versus ton previous week agriculture_department say sugar import quota quota year january december set short_ton compare ton quota year extend three_month december department say custom service report weekly cumulative import report actual weight basis final receive cumulative import data adjust reuter,sugar
20,brazil anti inflation plan anniversary inflation plan initially home abroad economy towards first anniversary amid soar price widespread shortage foreign payment crisis announce last february plan price fix value new currency end widespread economy bid halt country pct inflation rate within year plan collapse situation bad although inflation least economy work lead bank economist say plan accompany reversal foreign trade account brazil annual trade_surplus sufficient cover billion dlrs need service billion dlr foreign debt first nine_month seem target repeat monthly surplus average one billion dlrs export divert import increase avoid domestic shortage trade_surplus plunge mln dlrs october since average mln reuter,trade
21,n z official foreign reserve fall january new_zealand official foreign reserve fell billion n z dlrs january billion dlrs december compare billion year_ago period reserve bank say weekly statistical bulletin reuter,reserves
22,agency report ship wait panama canal panama canal commission u government agency say daily operation report backlog ship wait enter canal early today next two day expect due schedule transit end day backlog average wait time tomorrow super tanker regular vessel north end hr hr south end hr hr reuter,ship
23,america first mortgage set special payout america first guaranteed mortgage fund two say make special distribution ct per exchangeable unit include ct return capital ct income gain reuter,earn
24,emhart corp qtly dividend_qtly div_ct v ct_prior payable march record_march nine reuter,earn
25,international cite strong prospect international inc reporting operating loss january second_quarter say prospect balance fiscal_year remain good say order harris graphic subsidiary acquire june continue run strong pace six_month order rise pct correspond prior year period annualized basis run mln dlrs backlog harris pct begin fiscal_year say international say old division expect benefit recent new product introduction decline value dollar research development engineering expenditure fiscal mln dlr range company say allocate another mln dlrs capital expenditure earlier report fourth_quarter operating loss two ct share compare profit seven ct share year_ago revenue rise mln dlrs mln dlrs reuter,earn
26,asset u money fund rise week asset money_market mutual fund increase mln dlrs week end yesterday billion dlrs investment company institute say asset institutional fund rise mln dlrs billion dlrs general purpose fund rise mln dlrs billion dlrs broker dealer fund rise mln dlrs billion dlrs reuter,money-supply
27,gulf barge freight rate call gulf barge freight rate firm outlook steady vessel gulf increase demand barge supply ship dealer say barge trade today st louis merchant exchange call session versus yesterday quote include delivery week illinois river pct tariff bid offer next_week river ex chicago quote percentage_point next_week mississippi river st louis pct bid offer five point next_week ohio river south pct bid offer point station illinois river south chicago pct bid offer comparison march illinois ex chicago pct bid offer point march ohio river bid yesterday trade level pct offer march low mississippi river memphis pct bid offer comparison may illinois river ex chicago pct bid offer comparison sept nov low mississippi river memphis pct bid offer sept dec section pct bid offer comparison reuter,ship
28,gulf apply sell unit see gain gulf apply technology inc say sell pipeline terminal operation unit mln dlrs record gain mln dlrs first_quarter add federal tax owe transaction offset operating loss reuter,earn
29,farmer group inc th_qtr net_shr ct v ct_net v rev_mln v mln year shr dlrs v dlrs net v rev billion v mln_avg shrs_v reuter,earn
