,0
0,aaai
1,aaai_press
2,aaai_spring
3,aaron
4,abc
5,abil
6,abraham
7,absenc
8,absolut
9,abstract
10,abus
11,ac
12,academ
13,academ_degre
14,academ_integr
15,academ_misconduct
16,academ_press
17,academ_year
18,academia
19,acap
20,acceler
21,accept
22,access
23,accid
24,accompani
25,accomplish
26,account
27,accur
28,accur_quot
29,accuraci
30,achiev
31,acknowledg
32,acl
33,acm
34,acm_ieee
35,acm_multimedia
36,acm_press
37,acm_sigcomm
38,acm_sigir
39,acm_sigmetr
40,acm_sigmod
41,acm_sigplan
42,acm_special
43,acm_symposium
44,acm_transact
45,acquaint
46,acquir
47,acquisit
48,acrobat
49,act
50,action
51,activ
52,activ_messag
53,actual
54,ad
55,ada
56,adam
57,adapt
58,adapt_academ
59,addison_weslei
60,addit
61,addit_inform
62,addition
63,address
64,address_space
65,adept
66,adequ
67,adjunct
68,adjunct_professor
69,adjust
70,adm
71,admin
72,administ
73,administr
74,admiss_control
75,admit
76,adopt
77,adv
78,advanc
79,advanc_topic
80,advantag
81,adventur
82,adversari
83,advic
84,advis
85,advisor
86,advisor_prof
87,advisori_board
88,advisori_committe
89,advoc
90,aerospac
91,affair
92,affect
93,affili
94,affin
95,afraid
96,afternoon
97,ag
98,agenc
99,agenda
100,agent
101,aggreg
102,agil_manufactur
103,agre
104,agreement
105,ahead
106,aho
107,aiaa
108,aid
109,aiken
110,aim
111,air
112,air_forc
113,aircraft
114,aix
115,ajai_sethi
116,aka
117,alabama
118,alan
119,albert
120,alberta
121,alberta_canada
122,alberto
123,album
124,albuquerqu
125,alex
126,alexand
127,alfr
128,algebra
129,algebra_specif
130,algorithm
131,alias
132,align
133,alistair
134,allan
135,allen
136,allianc
137,alloc
138,alma_mater
139,alpha
140,alphabet
141,alt
142,alta_vista
143,altavista
144,altern
145,alumnus
146,alumnus_hall
147,alvin_lebeck
148,amateur_radio
149,amaz
150,ambigu
151,amend
152,amer_diwan
153,america
154,american
155,american_associ
156,american_mathemat
157,amherst
158,amherst_phone
159,ami
160,amir
161,amit_singhal
162,amount
163,amr
164,amsterdam
165,analog
166,analog_vlsi
167,analys
168,analysi
169,analysi_algorithm
170,analyst
171,analyt
172,analyz
173,ancient
174,anderson
175,anderson_hall
176,andi
177,andrea
178,andrew
179,angel
180,anim
181,ann
182,ann_arbor
183,anna_karlin
184,annal
185,annex
186,annot
187,announc
188,annual
189,annual_confer
190,annual_intern
191,annual_meet
192,annual_report
193,anonym
194,anonym_ftp
195,ansi
196,answer
197,answer_question
