,Row,Column,Value
476696,farnborough,rm,0.22683881550530077
118141,ax,farnborough,0.23058364506349938
476319,farnborough,injection,0.23214229347918733
123067,axially,farnborough,0.23547456343037418
138046,behave,millisecond,0.23587318401175814
476410,farnborough,longitudinal,0.23946465977048073
476722,farnborough,sec,0.2403706931643061
476773,farnborough,slab,0.2406609459028673
476701,farnborough,rotary,0.24208612550570457
137749,behave,farnborough,0.2443572489263905
477012,farnborough,von,0.24503990043893822
396249,duct,farnborough,0.24724713739267262
476684,farnborough,rev,0.24746579896632054
476450,farnborough,mix,0.2506274187755282
476939,farnborough,transverse,0.2507105240071033
476156,farnborough,fig,0.2512706706561603
391324,downward,farnborough,0.2514290690025704
476446,farnborough,millisecond,0.2521857746695699
476606,farnborough,presence,0.25244234317116554
343807,determine,farnborough,0.25314747180749647
197671,cease,millisecond,0.2532793018906662
476381,farnborough,layer,0.253954792624481
476330,farnborough,interact,0.2542564635253731
476648,farnborough,reactive,0.2553750491101692
476460,farnborough,molecular,0.25547170966541427
476326,farnborough,instrumentation,0.25642976329733513
65452,analogous,farnborough,0.2590609294830891
412807,elliptic,farnborough,0.2601247167159398
476703,farnborough,rotational,0.26039902061530745
476456,farnborough,moderately,0.26073583813986123
476896,farnborough,tech,0.2612452566596235
699059,millisecond,presence,0.26132904826709086
231949,comparable,farnborough,0.2615064939423609
476695,farnborough,rise,0.26193547248642995
302998,critical,millisecond,0.2622739293522547
476766,farnborough,sinking,0.26277215936089565
476655,farnborough,reciprocal,0.26365111560573806
497698,flight,millisecond,0.2642192227163548
476375,farnborough,lateral,0.26425358889815453
131649,band,farnborough,0.26434541945819345
461661,exponential,farnborough,0.26710174896629485
306488,cropped,schubauer,0.2673722934236766
210156,chord,farnborough,0.2675309311385366
476859,farnborough,successive,0.26795912767628266
99526,arises,farnborough,0.26833086577482124
699124,millisecond,remain,0.2685360131647912
476579,farnborough,plant,0.26872388693263594
476292,farnborough,incidence,0.2688356875194823
476435,farnborough,maximum,0.268992998549019
218227,climb,farnborough,0.2690256725235582
476669,farnborough,relates,0.2693646973468988
699470,millisecond,wake,0.2696363413467346
699353,millisecond,tends,0.2696731243723201
476852,farnborough,structural,0.269779465556077
223962,coincide,farnborough,0.2698240061908341
197374,cease,farnborough,0.2701564048961457
476455,farnborough,moderate,0.2702384319752527
476420,farnborough,mach,0.27029974230040926
476693,farnborough,rigorous,0.2709120435923349
52647,alloy,farnborough,0.27092297024448225
699101,millisecond,reactive,0.27110399452724543
699156,millisecond,rotational,0.27114296784495473
317632,customary,farnborough,0.27151683439783914
640804,jet,millisecond,0.2716157513210854
357171,digital,farnborough,0.271647198915941
476874,farnborough,susceptible,0.27179910820450887
476315,farnborough,influx,0.27182240959782766
476756,farnborough,simplest,0.2718701072478955
476380,farnborough,law,0.272154907154264
476367,farnborough,kinetic,0.27268566453676735
99823,arises,millisecond,0.272830891433388
476762,farnborough,simulated,0.2730836512509359
195037,case,farnborough,0.2731815161286386
476411,farnborough,longitudinally,0.273353170080921
476186,farnborough,forebody,0.2734183669872252
476343,farnborough,investigation,0.2735385124200977
476443,farnborough,mi,0.27356110202445266
476747,farnborough,show,0.27378182544184376
699481,millisecond,wherein,0.27390963685938396
476582,farnborough,plate,0.27394517048621886
180046,buckle,millisecond,0.2740062001932262
476672,farnborough,resemblance,0.2743301578327708
476157,farnborough,fin,0.27434555737528254
476625,farnborough,proportional,0.274490298158369
476985,farnborough,van,0.2745117415195031
476900,farnborough,tends,0.2746740521486797
477001,farnborough,verify,0.27476888653106607
391621,downward,millisecond,0.2751584921890958
476616,farnborough,proceed,0.2752227826369257
525958,ft,magnetohydrodynamics,0.2753214397034584
