,Row,Column,Value
6363110,limitation,significant,0.9377158969203412
513741,allergic,intention,0.9377232821280013
8122014,ten,twelve,0.9377298978822133
5847253,infinite,marrow,0.9378013690242621
4119433,emphasizes,simplest,0.9378728729386672
3474326,destructive,separation,0.9379058168884944
1390301,behavioral,respiratory,0.9379217826279808
7100435,organic,structural,0.9379225309024853
1728340,bubble,circle,0.9379300014658483
6089008,involves,prevents,0.9379635072571124
3491572,deterioration,reactive,0.9380392731991389
4548490,extensively,significantly,0.9380513034408302
4571903,extremely,relatively,0.9380553909346862
7128623,outer,peripheral,0.9381623717834622
3208153,daily,weekly,0.9382063243946281
7728388,remarkable,unprecedented,0.9382537589746797
3472619,destructive,elastic,0.9382829609307082
6596009,mechanism,resin,0.9382972267813936
3473366,destructive,kinetic,0.9382994063838095
829570,apparent,outer,0.9383335576516617
1177030,autism,destructive,0.9383659745251604
654759,analysis,assessment,0.9384163448363158
6896641,newer,noticeable,0.9384341159443309
5231394,grouped,originate,0.938551016640915
7803119,ripple,worm,0.9385702380925631
512733,allergic,closely,0.9385994916587657
1420880,benign,sweep,0.9386659234114614
7874489,selective,synthetic,0.9387041790675775
6896359,newborn,transitional,0.9387599001613427
2715307,considerable,significantly,0.9387689974401864
4367702,evident,rigid,0.9387859542144822
7953208,skeletal,unaware,0.9388045234174469
6596575,mechanism,unaware,0.9388206576316417
827857,apparent,attempt,0.9388415575341114
2831411,contrary,unaware,0.9388956550500597
6859656,neglect,strict,0.9388989758479507
6362880,limitation,relate,0.9390405499143225
1912450,carrier,facilitate,0.939042906812202
2545367,comprises,consists,0.9391198529847169
4546918,extensively,greatly,0.9391283127581838
4701026,fiber,plastic,0.9391323449173812
3298297,deficit,exceeds,0.9391695548498091
4145174,endeavor,sweep,0.9391834140370693
1460744,binding,neglect,0.9391855780140226
6073647,investigate,resemble,0.9392151204289021
4181741,enormous,extremely,0.9392609481867784
4081150,eleven,fifteen,0.9392878583375374
4459720,expectation,traumatic,0.9393372634210073
830531,apparent,unaware,0.9394410937374372
1390227,behavioral,reactive,0.9394478478703183
513855,allergic,layer,0.939479823808248
4459174,expectation,respiratory,0.9394829809225055
1225495,avoid,prevent,0.9394861048289175
2425912,commonly,rarely,0.939509613338047
6898970,newly,unaware,0.9395943803966955
938724,arises,arose,0.939624957921495
4435908,exhaust,pulmonary,0.9396829513299232
7748764,resemble,unaware,0.9396833771449016
5860825,influx,ripple,0.9396860045876321
5974317,intention,limitation,0.9397116814014166
3996633,effectively,essentially,0.9397364327943354
246900,adequately,sufficiently,0.9397718947819683
4367483,evident,productive,0.9397823664751689
6308753,lending,neglect,0.9398178982074165
2854401,convenience,neglect,0.93983502545936
6023946,intervention,suggestion,0.9398448032720826
3935472,easily,fully,0.9399202507248912
3087118,crucial,significant,0.9399324621575439
7933869,significantly,unusually,0.9399566786514049
6238723,laid,swept,0.9399592363846783
828630,apparent,exceeds,0.9399777702865839
3474673,destructive,therapeutic,0.9400680208587837
950145,arose,originate,0.9400738665251878
4730568,fifteen,twelve,0.9401176755612338
2830877,contrary,rigid,0.9401287496059644
2290106,closely,strictly,0.9401359714839871
4572254,extremely,strictly,0.9401849126705385
3845745,downward,focal,0.9402093261636255
3298318,deficit,expectation,0.9402221314253459
1230764,avoids,inhibitor,0.9403556731220146
869309,appropriate,suitable,0.9403623520373561
6308625,lending,mechanism,0.94038337999863
2622877,conditioning,lending,0.940400365502535
7634026,rapidly,steadily,0.9404042599990572
1406136,bending,binding,0.9404382550126771
2713686,considerable,extensively,0.9405331497351954
3490300,deterioration,focal,0.9405577371461363
6772754,morphological,structural,0.9405929234222228
8160375,transport,transportation,0.9406738090171031
4570635,extremely,highly,0.9407744458951071
1913737,carrier,retrieve,0.9407975262543342
673079,analyze,investigate,0.9408461277045661
7198240,particular,specific,0.9409538766935162
3587974,differentiate,transitional,0.9413478056998263
1914287,carrier,unaware,0.9414294714244695
7174423,paradox,vortex,0.9414654332017208
6278372,layer,newer,0.9415810358964108
2830761,contrary,readily,0.9416476189412014
1390499,behavioral,skeletal,0.9418661598049549
6356419,likely,probably,0.9418792720891379
930118,argument,disagreement,0.9419659588661499
1913753,carrier,rigid,0.942032851539816
912777,architectural,organic,0.9420748724359451
245723,adequately,layer,0.942085031711366
1231911,avoids,simplest,0.9421221180359952
1229609,avoids,calf,0.9421364675465568
4118756,emphasizes,newer,0.9421483711761245
3638747,dioxide,nitrogen,0.9421610916782117
6912756,nineteen,sixteen,0.9422117725169468
8182394,uniquely,unusually,0.942315310100812
1388666,behavioral,downward,0.9424970906114345
4366953,evident,limitation,0.9425460504784903
6601238,medical,nursing,0.9428000429579001
512553,allergic,behavioral,0.9428868743578652
8175878,unaware,unrelated,0.9429192007778763
1389492,behavioral,layer,0.9429959241728006
4732821,fifty,forty,0.9429993683882836
4457828,expectation,focal,0.9432597567832677
4594299,fail,fails,0.943813652683489
7193023,partially,partly,0.9438822674805079
4857848,focal,rigid,0.9441271931448867
829215,apparent,layer,0.944158952012122
7755494,resistant,susceptible,0.9442601662511466
7136965,outward,peripheral,0.9442855800134093
2750936,constitute,simplest,0.9443107031238969
8066444,substantial,sufficient,0.9443754416137633
5641205,ii,iii,0.9444431703587173
3669157,disagreement,discussion,0.9445367893894511
4702052,fiber,wire,0.9445559468005373
7129223,outer,skeletal,0.9446281240383052
513035,allergic,destructive,0.9446299648341256
1911849,carrier,closely,0.9447735000437203
4572253,extremely,strict,0.9447959147695493
4459100,expectation,reactive,0.9448147788338073
1388955,behavioral,focal,0.9448653565073604
8175459,unable,unaware,0.9448767396514425
34775,able,unable,0.9449283754691745
2292448,closeness,proximity,0.945157446196172
3474777,destructive,turbulent,0.9452324804628467
831024,apparently,clearly,0.9453185522021433
7950803,sixteen,thirteen,0.945416464423712
4734549,fifty,twenty,0.9455012235434428
8131120,therefore,thus,0.945549540565068
8051942,strictly,unusually,0.9455596720967026
2715306,considerable,significant,0.9456988605801429
4387157,examine,investigate,0.9459054972235976
7747597,resemblance,similarity,0.9461868932131857
7014797,obvious,unexpected,0.9462467215985642
4730474,fifteen,thirteen,0.9462500221116276
514637,allergic,rigid,0.9462895951428831
4381283,exactly,precisely,0.9463105666469414
7587903,purely,solely,0.9464512385860258
6254556,largely,predominantly,0.9465221758959144
1460527,binding,lending,0.9466786559121974
1344712,basically,practically,0.9472683271981116
3514978,developmental,structural,0.9472966319335528
5391152,hence,therefore,0.9474005885073267
7799009,rigid,strict,0.9475682173317934
6897303,newer,simplest,0.947630381953943
1420098,benign,outer,0.947937489743464
8055761,structural,systemic,0.9480478102844749
913533,architectural,structural,0.9484158038764298
4453070,expand,extend,0.9487071097054394
4082825,eleven,ten,0.9487966584909893
7798898,rigid,skeletal,0.9493457048037787
4424287,exclusively,primarily,0.9495622442075666
828897,apparent,habit,0.9499358717021085
527422,allows,prevents,0.9504749683946184
515171,allergic,unaware,0.9506387048732251
6990942,numerous,various,0.9506839989097062
8197497,vii,viii,0.9510972994307736
7950897,sixteen,twelve,0.9511333970570116
4730124,fifteen,seventeen,0.9511403876465672
6859603,neglect,spite,0.9511501686467717
1390847,behavioral,traumatic,0.9515680151540021
7430688,predominantly,primarily,0.9516805807487796
7019313,occasionally,sometimes,0.9520561279813662
4026257,eighteen,sixteen,0.9520843594684898
7933583,significantly,strictly,0.952306303355694
7933604,significantly,substantially,0.9525550994669318
8051205,strict,strictly,0.9527955761264889
5880662,inherent,intrinsic,0.9528941060875714
3359517,demonstrate,demonstrates,0.9537291564483776
5707241,importance,significance,0.9541300077676065
3288341,defence,defense,0.9545805279393109
5213796,greatly,significantly,0.9548847677501441
7933002,significant,substantial,0.9550940110562558
7904657,seventeen,sixteen,0.9557649098346663
4728668,fifteen,fourteen,0.9561758336248145
2713209,considerable,considerably,0.9571755205868163
2718236,considerably,significantly,0.9582968386626475
4925662,fourteen,sixteen,0.9587201615569338
526045,allows,enables,0.9595872602873987
832453,apparently,obviously,0.9602392883215006
4975881,frequently,often,0.9609839800796349
536686,almost,nearly,0.9659703164982222
2716664,considerably,greatly,0.966069141191634
7410297,practically,virtually,0.9677636689718055
4182496,enormous,massive,0.9684085484344789
7710109,relate,relates,0.9721162393946547
