,Row,Column,Value
16670,accessibility,twentyfive,0.22063754294831567
171235,assist,wiswesser,0.22386045642802127
171037,assist,substructure,0.22871276918578032
16671,accessibility,twentytwo,0.22957143595526697
171140,assist,twentyfive,0.23852691704290008
171151,assist,uncontrolled,0.24990998023097472
74803,aimtwx,assist,0.2503824480302804
171141,assist,twentytwo,0.2541800990696589
170073,assist,elaboration,0.2556295752509133
170421,assist,kuhn,0.2584521852679039
171061,assist,syntactic,0.25959558891688356
170707,assist,pragmatic,0.2599493260458482
684316,draw,twentyfive,0.2612922529417458
170306,assist,ifla,0.26341523041277626
15184,accessibility,arist,0.26517871627321554
684411,draw,wiswesser,0.26621304976067073
171090,assist,terminological,0.2669518992937275
171062,assist,syntactical,0.2687445390193061
1380012,source,substructure,0.26899366133615743
170698,assist,postcoordinate,0.2690661714986516
170379,assist,interindexer,0.26983008763021704
1064488,key,substructure,0.27036521014202275
171115,assist,told,0.2708323628661847
684382,draw,viniti,0.27118165004673317
16008,accessibility,manmachine,0.27162556067804317
170332,assist,indeed,0.2733568574135863
170353,assist,informationretrieval,0.27349868233051605
171038,assist,subsystem,0.27376104788477207
169687,assist,auspex,0.27574198246245524
170385,assist,interrelationship,0.27579678413008507
170856,assist,relevancy,0.27627967414076765
170355,assist,infrequently,0.2763071940939073
16632,accessibility,thirty,0.27641338977926133
171046,assist,summer,0.2769404370490085
169786,assist,chapter,0.2772269322718631
169875,assist,concludes,0.27759197791589685
171132,assist,true,0.2785661285304157
171105,assist,thought,0.279223378361773
115428,aphasic,assist,0.27953551334467486
169928,assist,costeffective,0.2797258942015233
170871,assist,reproducible,0.28042336892189024
170145,assist,explains,0.280429385838041
171251,assist,year,0.28050530326311746
170120,assist,ever,0.2805326500820961
1172917,nation,substructure,0.28151314759665935
170478,assist,manmachine,0.28247846742703264
171013,assist,step,0.2826117322073946
106103,angloamerican,draw,0.2826740753335114
170262,assist,halflife,0.2828561124907783
171228,assist,whole,0.28307882047783145
170024,assist,dispersion,0.2831092666472199
537399,costeffective,draw,0.28367839885134727
170380,assist,interlibrary,0.2840566466213938
170672,assist,pertinent,0.2848007623062966
170568,assist,nevertheless,0.2850338998422882
169935,assist,course,0.28533841896915124
170462,assist,longrange,0.28539063570843726
171206,assist,viniti,0.28567562498712
75171,aimtwx,draw,0.2862395885270006
15736,accessibility,forty,0.28630143141092423
169953,assist,currentawareness,0.2869106113790927
170103,assist,epistemology,0.28726125278935866
684214,draw,subsystem,0.2872634376451517
170914,assist,science_technology,0.2874141135803602
170741,assist,probabilistic,0.28757525609077766
170071,assist,ei,0.2877744829283857
40195,adequacy,assist,0.2878723044806929
242830,bibliographic,brings,0.28816515435855306
105735,angloamerican,assist,0.28825143062370234
683883,draw,pragmatic,0.28840819255235883
15836,accessibility,ifla,0.28865903137447907
171220,assist,way,0.28893114666728364
170252,assist,great,0.28898260430255507
170398,assist,isbd,0.289015242241813
170168,assist,far,0.2890975100211415
15316,accessibility,chapter,0.28952188217601005
244170,bibliographic,ten,0.2895385544890946
171254,assist,zipf,0.28994879636810206
754988,epistemology,source,0.290169597192187
1380036,source,syntactic,0.29047026823882266
171171,assist,university_library,0.2905545300729517
171126,assist,transformational,0.2907175502516346
16681,accessibility,uncontrolled,0.29115755125230375
683529,draw,informationretrieval,0.29177051860235226
16567,accessibility,substructure,0.2918825332459087
683555,draw,interindexer,0.2920582544239857
169925,assist,correlator,0.29230061558661086
169874,assist,conclude,0.2923103616584706
16615,accessibility,ten,0.29231573650624343
684090,draw,science_technology,0.292421777280322
170956,assist,shera,0.2925058652398787
16669,accessibility,twenty,0.29274818570986527
171244,assist,worthwhile,0.29277651442493213
16098,accessibility,nevertheless,0.29291568201448326
1172941,nation,syntactic,0.29293950857328405
103,aacr,assist,0.29305368118916364
16329,accessibility,quarter,0.2930921913064529
169879,assist,condensation,0.2939866208627153
15698,accessibility,far,0.2940491030177447
170967,assist,smallscale,0.2943437460351547
15483,accessibility,currentawareness,0.2944970159730349
570224,currentawareness,draw,0.29454648459686833
169802,assist,circumstance,0.2946427475894391
170099,assist,entirely,0.29472450239338666
169878,assist,condensate,0.2949449258551202
684237,draw,syntactic,0.29519891151194855
683279,draw,epistemology,0.29525558508394517
170428,assist,largescale,0.295348930621719
169711,assist,bearing,0.2958715843369052
170978,assist,soon,0.29625505787929923
243447,bibliographic,instead,0.29650249074662177
471761,condensation,nation,0.29679339590970943
170605,assist,october,0.29684478893281807
683654,draw,manmachine,0.2970184019333067
169712,assist,become,0.297038952101137
170805,assist,radically,0.2971262450521403
170710,assist,precisely,0.29719281460221064
171054,assist,surprising,0.2974241943457701
169813,assist,classificatory,0.2975556604164273
171208,assist,virtually,0.2975971599332145
170344,assist,inevitable,0.297604393388952
684238,draw,syntactical,0.2980266769653895
134706,arisen,assist,0.29810529504273586
171122,assist,tradition,0.29814854809890096
242887,bibliographic,circumstance,0.29834495697998675
171085,assist,ten,0.29847757391377394
170903,assist,satisfy,0.2992538665481381
170296,assist,hundred,0.299359768000574
244187,bibliographic,thirty,0.29941817636849566
169745,assist,brings,0.2994985950542139
170403,assist,january,0.29957042352989405
16765,accessibility,wiswesser,0.2997167148785025
171102,assist,thirty,0.3000665718627041
170260,assist,guideline,0.3004175069483375
170206,assist,forty,0.30058452360924454
170180,assist,felt,0.3006135497159376
16568,accessibility,subsystem,0.3010082427066478
16103,accessibility,next,0.30123298154251865
16486,accessibility,shera,0.3013698142072383
169903,assist,continue,0.3014111823055559
754495,epistemology,match,0.30149281240848863
244049,bibliographic,sixteen,0.30161243026978485
170650,assist,part,0.30190684819188074
170703,assist,practicable,0.3019126580789653
16736,accessibility,viniti,0.30200455927638326
170035,assist,documentalists,0.3021149365228707
170329,assist,inconsistency,0.30221281879081835
171139,assist,twenty,0.3022931470093335
683436,draw,guideline,0.3023088406236055
171224,assist,well,0.30232467309440353
243173,bibliographic,end,0.30256989898780123
170261,assist,habit,0.30266826211973147
170162,assist,fact,0.3027174521643261
169909,assist,convenience,0.3027332786318878
108970,annual,assist,0.30296555573260503
170195,assist,fit,0.30324703490807553
170944,assist,september,0.30326923876954154
1262523,postcoordinate,source,0.3034447332760959
170303,assist,identifier,0.3036518631109506
170320,assist,impractical,0.3037399599974844
170941,assist,sense,0.30397124290554095
15224,accessibility,automaton,0.3039735207167137
