,Row,Column,Value
225215,autosomal,thiazide,0.17280638718806748
789227,gen,methotrexate,0.17799175805853648
1049585,lymphoma,seventeen,0.19167146939921184
224794,autosomal,ohp,0.19384161347263396
269526,blindness,hitherto,0.1951782655687165
776038,fourteen,occipital,0.19740105306976924
128261,angiocardiography,hitherto,0.19807916021218752
1148761,occipital,thirteen,0.19826779520411608
378677,chlorothiazide,gen,0.19837368553608037
225330,autosomal,water,0.19866910991315437
225235,autosomal,tloop,0.20162040506364043
227272,azathioprine,gen,0.2022289135482852
224696,autosomal,minute,0.20335582161483962
1148630,occipital,seventeen,0.20428104367864358
775883,fourteen,lymphoma,0.20527031130902007
1049716,lymphoma,thirteen,0.20542830059613162
788995,gen,hydrochlorothiazide,0.20566987125120467
1208497,postnatal,thiazide,0.20771879545109478
1148338,occipital,ohp,0.21012381263687957
73399,agent,autosomal,0.21037646270389626
528637,dehydroepiandrosterone,gen,0.21042881000280148
225092,autosomal,shadow,0.21115818261974173
225347,autosomal,ycrystallin,0.21126976950597764
27917,acetylthiocholine,gen,0.21153961172451063
224207,autosomal,eleven,0.21214004070246456
225217,autosomal,thirteen,0.2122058038992963
169392,approx,immunoglobulin,0.21380388758974017
224737,autosomal,needle,0.2139598300418381
481003,crystal,occipital,0.21427606785013215
379132,chlorothiazide,occipital,0.21491028259042358
225086,autosomal,seventeen,0.21585203462855443
224065,autosomal,crystal,0.21596922892381248
1049168,lymphoma,messenger,0.21616952879601292
225069,autosomal,selenate,0.2166856137866836
653320,eleven,occipital,0.21806628632538289
224320,autosomal,fourteen,0.21859683303185531
1148759,occipital,thiazide,0.21880263655037238
379304,chlorothiazide,pte,0.21924784114064377
224971,autosomal,raben,0.21962722158513848
379528,chlorothiazide,suture,0.21981370274773898
225331,autosomal,week,0.2200029942148619
572107,die,occipital,0.2200267899755446
225063,autosomal,sea,0.22024476083734326
224356,autosomal,golgi,0.22086635995500725
927088,im,occipital,0.22091184871470582
225112,autosomal,sleep,0.22120062653204
224434,autosomal,hour,0.22129208693104954
128160,angiocardiography,fourteen,0.22151026511211142
203194,atresia,autosomal,0.2217371091610534
225048,autosomal,rous,0.22239754239905304
1074433,messenger,occipital,0.22265806886728762
529264,dehydroepiandrosterone,pte,0.22302921374685697
408241,co,dyslexia,0.22306275760959324
224844,autosomal,patch,0.2231199612736086
653165,eleven,lymphoma,0.22334443807441387
224564,autosomal,ion,0.22351401853374173
225340,autosomal,wk,0.22387395792866155
898213,hydrochlorothiazide,suture,0.22390192210160054
912026,hypoglycemia,messenger,0.2240941343611262
129057,angiocardiography,thirteen,0.224394914254017
897989,hydrochlorothiazide,pte,0.22445823765478387
128926,angiocardiography,seventeen,0.22479395675434918
224232,autosomal,er,0.22480021509121936
224761,autosomal,night,0.2252699900635782
1148709,occipital,sugar,0.225373043738321
225229,autosomal,timor,0.22556644434238307
885877,host,methotrexate,0.2258210194422762
874762,hitherto,lymphoma,0.22620407775770154
528737,dehydroepiandrosterone,host,0.22641607387078677
1148874,occipital,water,0.22656112007942755
874917,hitherto,occipital,0.22657080197307713
1148388,occipital,patch,0.22682284371561454
225335,autosomal,whilst,0.22724651410147317
1148826,occipital,unexpected,0.2273046152132764
492068,cysteine,gen,0.2274222861485786
224387,autosomal,hela,0.22775110695055922
227374,azathioprine,hr,0.22840938341967898
227535,azathioprine,larva,0.2284636792618017
224718,autosomal,mu,0.22849194380310767
552228,dermatitis,hitherto,0.22882354139276834
224438,autosomal,humor,0.22911636524622694
224826,autosomal,pain,0.22914750321154478
169369,approx,hypoglycemia,0.22926374474924843
1192268,phosphatase,seventeen,0.22927780361523936
474568,cow,occipital,0.22948067433719113
224138,autosomal,die,0.22955973733602897
698,17hydroxycorticosteroids,host,0.22983074342028234
224842,autosomal,passage,0.22985878849182897
874591,hitherto,hypoglycemia,0.23056521782449896
230662,baby,occipital,0.23091291959627291
1080721,methotrexate,recipient,0.23117739581731728
224900,autosomal,pore,0.23118046820411903
408501,co,hydrochlorothiazide,0.23174142390009853
224479,autosomal,im,0.23176699568684977
225256,autosomal,trouble,0.23188207480148387
224446,autosomal,hydrochlorothiazide,0.23205777333451705
224343,autosomal,glass,0.23212350392081704
37036,action,autosomal,0.23215889658903124
1148892,occipital,young,0.23239607196963685
225231,autosomal,tions,0.23245803412870963
223924,autosomal,breathing,0.23249393773614835
224252,autosomal,excess,0.2325926996223126
168788,approx,azathioprine,0.23276501959284773
1080647,methotrexate,precursor,0.23321884996636572
378354,chlorothiazide,co,0.23355230371619873
224783,autosomal,observe,0.233561727803473
224625,autosomal,lung,0.23379265059648466
897817,hydrochlorothiazide,occipital,0.23385842024852127
225134,autosomal,spray,0.2339939354226923
126726,aneurysm,hitherto,0.2340011215611742
272770,blood,occipital,0.2343162237693183
224087,autosomal,day,0.23444970910738827
368208,chick,occipital,0.23450811896408955
225264,autosomal,tween,0.2346522191000473
225230,autosomal,tion,0.23503531339648787
224023,autosomal,complaint,0.23518923005207445
126559,aneurysm,exclusively,0.2352042872001624
269218,blindness,deoxyribonucleic,0.2352454350988527
412857,cobalt,occipital,0.23535289889833208
224730,autosomal,na,0.2354098503163686
168981,approx,cysteine,0.2355075506059341
224654,autosomal,marker,0.23558203187992202
911836,hypoglycemia,im,0.23560890908902565
1148341,occipital,onethird,0.235726236530953
931318,immunity,methotrexate,0.2357628835511157
887708,hr,methotrexate,0.23590984648382243
819382,gram,occipital,0.23597469582996367
224304,autosomal,fish,0.23617620904684125
225025,autosomal,respond,0.23628933350770026
755248,finding,occipital,0.23630209709877334
931512,immunity,phosphatase,0.23643985767667014
224162,autosomal,distress,0.23645643460528235
912443,hypoglycemia,seventeen,0.23668941667547388
1065502,massive,occipital,0.23676398163391965
128319,angiocardiography,im,0.23691650225029998
572226,die,postnatal,0.23700899924827984
923598,id,occipital,0.23703281071253268
224408,autosomal,heretofore,0.23704987443491504
224013,autosomal,cobalt,0.23717520806647782
562383,di,occipital,0.23723712830300062
408733,co,methotrexate,0.23727999666364968
529488,dehydroepiandrosterone,suture,0.2373156121684488
789011,gen,hypoglycemia,0.2375984002790596
128248,angiocardiography,heretofore,0.2376467765723141
1148648,occipital,similarly,0.23778771102346674
228123,azathioprine,suture,0.2378531424798077
799452,glass,occipital,0.23797837304843256
223883,autosomal,baby,0.2380401250286725
223973,autosomal,change,0.23821190543392257
225103,autosomal,simian,0.23822464741447935
224566,autosomal,iris,0.23828170125977163
932207,immunoglobulin,mixed,0.23828839305907845
74308,agent,occipital,0.2383481191838389
613897,dose,occipital,0.2383513234587827
225095,autosomal,shortly,0.23845330783216792
628847,dyslexia,injection,0.23857572111025496
1148781,occipital,tolerance,0.23858988987070318
128047,angiocardiography,eleven,0.23878080539955446
224840,autosomal,parturient,0.23881549200055152
225262,autosomal,turkey,0.23900362685296198
224173,autosomal,dose,0.2390472418163986
492988,cysteine,trial,0.23917526119717075
628579,dyslexia,extract,0.23936838471871882
1148693,occipital,strand,0.2394269388702288
1148706,occipital,substrate,0.2394384612636563
224375,autosomal,guineapigs,0.23971101760667513
408517,co,hypoglycemia,0.23976081044188077
637117,ed,methotrexate,0.23976466404242472
1148879,occipital,whilst,0.23977436389002246
166678,apparently,occipital,0.24047073427382548
1148704,occipital,subsequent,0.24047286122579142
704817,excessive,occipital,0.24068129726070825
275643,blue,occipital,0.24077995605867358
225344,autosomal,xirradiation,0.24093487879459582
912317,hypoglycemia,pte,0.2409556276485565
224266,autosomal,fallot,0.24096699278981099
225300,autosomal,vacuole,0.2409702752093941
705913,exclusively,occipital,0.24097058171892932
458420,contrary,dyslexia,0.241063542263455
628652,dyslexia,gen,0.24109191489597603
1148809,occipital,twin,0.2411325561048504
225107,autosomal,site,0.24114076595049141
223897,autosomal,bile,0.2412165525955013
1130445,nhydroxyaaf,occipital,0.24152347283203257
1027978,lesser,methotrexate,0.24157472756232412
999037,iris,occipital,0.24171184069904578
458308,contrary,cysteine,0.24183275864264142
968542,injection,occipital,0.2418344089351057
1148766,occipital,thymidine,0.24184638978496026
169779,approx,phosphatase,0.24192675200904107
225267,autosomal,ug,0.2420964357076524
1080596,methotrexate,ph,0.2421085840856004
887492,hr,hypoglycemia,0.24218000015113697
227132,azathioprine,ed,0.2422257695439433
574528,dietary,occipital,0.24226536946144278
696013,ether,occipital,0.24228181694769954
223944,autosomal,car,0.24231332721872206
1192246,phosphatase,season,0.24241861341359927
912631,hypoglycemia,un,0.24244742434683486
1151802,ohp,postnatal,0.24248760071856984
993936,intrinsic,synthetic,0.9298929124626392
1230136,psychic,synthetic,0.929899459432124
854811,hemophiliac,hemophilic,0.9299270974475303
368299,chick,pig,0.9300223990071163
1187372,peripheral,resemble,0.9301913419769039
597018,disease,illness,0.9302010539875116
560073,detrimental,predominant,0.9302140711985938
459343,contrary,skeletal,0.9303618200544734
92793,allergic,infancy,0.9304236105140674
1072178,membrane,turnover,0.9304428638284964
656078,embryo,turnover,0.930461562490024
949962,induce,inhibit,0.9304716046742196
458544,contrary,focal,0.9304720991754951
247107,benign,substrate,0.9304864239950099
351877,cerebral,pulmonary,0.9305395523640824
239941,basal,unrelated,0.9305458801043521
1129926,newborn,peripheral,0.9305993991940477
1174719,parental,peripheral,0.9306142906155019
1250526,resemble,unrelated,0.9306726796096919
1195241,physiological,therapeutic,0.9307108345541351
235079,bacterial,organism,0.9307118169622618
656075,embryo,tumor,0.9307218971510329
1253434,respiratory,thyroid,0.9307943405657975
837002,haemophilic,osmiophilic,0.9308223193237555
950444,induce,relieve,0.9308285718192794
980172,interfere,resemble,0.9309680330238168
625163,dwarf,giant,0.9310357390891222
1306400,whereas,whilst,0.9311422578651791
327949,cardiac,membrane,0.9311471335672052
239517,basal,peripheral,0.9311518886306321
18631,absorbed,massive,0.9311748970931668
239310,basal,marrow,0.9312024071521773
1264103,scan,slice,0.9312175430603207
643551,egg,worm,0.9312257227605809
520805,deficit,traumatic,0.9312314078448086
1174181,parent,parental,0.9312316578336538
458483,contrary,evident,0.9312602236880712
1229728,psychiatric,surgical,0.9313485164601436
