,Row,Column,Value
3222909,dehydroepiandrosterone,draw,0.15523497535572772
3745148,draw,hydrochlorothiazide,0.16487578004656514
2061060,chlorothiazide,draw,0.16766261130293242
1233352,autosomal,forty,0.17332549605830347
1233283,autosomal,fifty,0.17379373772261414
1235351,autosomal,thirty,0.17453366101871995
1233020,autosomal,earth,0.17566037212827545
3745576,draw,myelomeningocele,0.17652697466100029
6793612,occipital,source,0.17779436112711838
1027342,articulation,despite,0.17849743776282023
121245,accessibility,chlorothiazide,0.1800989030049007
1233512,autosomal,help,0.1822150858732484
3744833,draw,erythropoietin,0.18330598184542887
1232459,autosomal,chebyshev,0.1838592633331847
1235312,autosomal,ten,0.18464409776506982
1235624,autosomal,weightstrength,0.1853325249086383
1232709,autosomal,coolant,0.18621483224155833
1234180,autosomal,nine,0.186460096398539
1233262,autosomal,far,0.1884872691287731
121968,accessibility,hydrochlorothiazide,0.188991369696768
1235520,autosomal,unyawed,0.18950241635622941
1235660,autosomal,work,0.19009041908135382
709640,andor,autosomal,0.19168408756975971
1027543,articulation,except,0.19260150260738737
1233055,autosomal,eight,0.19272610449368668
1234324,autosomal,owe,0.19295337738437002
1235019,autosomal,six,0.19311756949285755
1234134,autosomal,must,0.19379147606471953
3274891,deoxyribonucleic,draw,0.19566770642675196
1029061,articulation,thiazide,0.1961976199697799
1233538,autosomal,hole,0.1963118470009056
1233308,autosomal,flame,0.1966629041465375
6694129,nine,occipital,0.19676708982309468
1028359,articulation,ohp,0.19701558109079834
1234952,autosomal,seven,0.19720411114883335
1078016,assist,dehydroepiandrosterone,0.19823206114300482
1235643,autosomal,williams,0.19847409419646408
3912692,eight,occipital,0.19855703781527737
1235608,autosomal,wake,0.1988241735696186
473777,air,autosomal,0.19891738229561448
3574162,discard,hemianopsia,0.19894617377945414
1232422,autosomal,care,0.19914844439075136
3573903,discard,erythropoietin,0.19990092304488405
1233445,autosomal,go,0.20039323422358113
1235460,autosomal,twenty,0.2005716046854343
1029260,articulation,weightstrength,0.20070869499109661
3745071,draw,h3thymidine,0.20126966928500345
5379053,hypoglycemia,rand,0.20128565441311663
6794094,occipital,vane,0.20193930674414212
1235617,autosomal,way,0.2020832029840246
4576965,fifty,occipital,0.2023020146054222
3224539,dehydroepiandrosterone,qualify,0.20244231739780144
1232339,autosomal,blowing,0.2025395127685744
1232270,autosomal,away,0.20278250462480754
1234118,autosomal,much,0.20294083930011877
1078028,assist,deoxyribonucleic,0.2031299147971132
1232314,autosomal,besides,0.20338456442380926
1079795,assist,tollmienschlichting,0.20347845075016052
1079916,assist,velopharyngeal,0.20366065898856475
3225067,dehydroepiandrosterone,streamwise,0.20385422355227256
1234663,autosomal,rand,0.2041032720694988
730672,angiocardiography,eight,0.2041398462978312
2063218,chlorothiazide,streamwise,0.20420238194546847
1235679,autosomal,yet,0.20472019078182735
1232351,autosomal,bond,0.20554472617865033
3745092,draw,hemianopsia,0.20600680108921024
6793855,occipital,ten,0.20604822743009504
1235462,autosomal,twentytwo,0.20632848190624153
1235347,autosomal,thing,0.20670770722768364
1988170,chapter,occipital,0.20675195756051945
121445,accessibility,dehydroepiandrosterone,0.20680870940124477
6435730,methotrexate,qualify,0.20681834434717725
732569,angiocardiography,seven,0.20689405163604596
6793925,occipital,today,0.2069696013123897
1078539,assist,hydrochlorothiazide,0.20709539753737846
2979644,cruise,occipital,0.20713305303431176
3575166,discard,semiinfinite,0.20732178647991523
1078224,assist,erythropoietin,0.20761371472795123
590595,although,occipital,0.2080102771637775
6435664,methotrexate,prof,0.2081631705771563
712839,androsterone,draw,0.20817344034894214
1234427,autosomal,pitchingmoment,0.2082912590081735
1079883,assist,unyawed,0.20837235272751195
1078731,assist,karmanpohlhausen,0.20845217181767522
1235677,autosomal,yawed,0.20861605054482704
4572884,fifteen,occipital,0.20863708835766503
4078282,enough,occipital,0.20864121872123548
1233137,autosomal,escape,0.2091226802933503
7054344,phosphatase,qualify,0.20937524312745365
1233056,autosomal,eighteen,0.20937590116941887
263940,additional,methotrexate,0.20952178450889677
924383,approximately,articulation,0.20960686628323658
6793942,occipital,trace,0.20962809796191376
6793495,occipital,seven,0.20995300563326308
3745508,draw,methotrexate,0.21019008352384902
1235662,autosomal,workingset,0.2101975639738949
730975,angiocardiography,four,0.21021831690927362
1234158,autosomal,need,0.2103923242879573
1028399,articulation,owe,0.21065969745900479
5557496,indeed,occipital,0.2106877435621296
1234967,autosomal,shelve,0.21071155123889596
1232319,autosomal,beyond,0.21088096690529196
1233170,autosomal,except,0.21099061361801513
1233867,autosomal,least,0.21107695840888155
1234955,autosomal,shadow,0.21115818261974173
1235348,autosomal,think,0.21139122770876265
1233827,autosomal,know,0.2113961224163135
731797,angiocardiography,nine,0.2114175737084691
1261090,away,occipital,0.2115389687719597
5308722,however,occipital,0.211928874009925
1077816,assist,chlorothiazide,0.2120500211846268
3574218,discard,hydrochlorothiazide,0.21208604297545783
1233983,autosomal,manmachine,0.21241285883872485
6794034,occipital,unfortunately,0.21244489543589842
1232774,autosomal,crout,0.21251159066741812
6793926,occipital,together,0.2126793943151944
1235384,autosomal,tollmienschlichting,0.2127265580861346
4062573,england,occipital,0.21280410336817615
6793641,occipital,spite,0.2129620750720045
1028835,articulation,similarly,0.21296709523732582
1234010,autosomal,matter,0.21305825345409743
6793688,occipital,still,0.21308659122660656
3222848,dehydroepiandrosterone,discard,0.2131026262756578
5333661,hydrochlorothiazide,qualify,0.21313919067631157
860350,apparently,articulation,0.21328425274968435
3574646,discard,myelomeningocele,0.21345521569303494
1233107,autosomal,enough,0.21358307345197203
4635397,flame,occipital,0.21369542571180078
1027681,articulation,freon12,0.21383806833994434
4749647,forty,occipital,0.21389870493662305
1028361,articulation,old,0.21427755426891068
1295523,azathioprine,draw,0.2144310771013545
1078967,assist,myelomeningocele,0.2146851052300116
1232452,autosomal,chapter,0.21508969350120585
6794132,occipital,virtually,0.2151063328232252
1233815,autosomal,keep,0.21511810364172668
1235501,autosomal,united,0.21534082102997362
1079053,assist,occipital,0.21534672985434386
1232309,autosomal,bell,0.2153872418384199
262714,additional,azathioprine,0.2155224793738687
1234171,autosomal,nevertheless,0.21553277315954142
6793897,occipital,though,0.21555765072019892
1234099,autosomal,moment,0.21557913725903688
1233288,autosomal,fill,0.21569001439119295
1235145,autosomal,still,0.21577309710954273
732968,angiocardiography,thirty,0.21580294919329449
1233879,autosomal,lewis,0.21584914082442228
2060999,chlorothiazide,discard,0.21588478366650127
3575642,discard,weightstrength,0.2161193833565108
1232505,autosomal,clock,0.2161796298474511
123193,accessibility,thiazide,0.21619979066677564
1233210,autosomal,explains,0.21620200262852776
7718897,source,velopharyngeal,0.21621901973817337
7055389,phosphatase,year,0.21630484401117323
1079487,assist,semiinfinite,0.2163959201556586
1235529,autosomal,us,0.2164621405695161
1235354,autosomal,though,0.21650787452010528
1233306,autosomal,five,0.21658834801915086
4260467,except,occipital,0.21662901967475465
1510018,blade,occipital,0.21676560588998503
1235253,autosomal,swirl,0.2168281573679689
1235607,autosomal,wait,0.21698589954113753
6792867,occipital,owe,0.2170464073547987
1028705,articulation,respectively,0.21716685109864264
1233552,autosomal,however,0.21717105340003634
6793894,occipital,thirty,0.21723322879437626
1297153,azathioprine,qualify,0.2173308549873212
1232384,autosomal,buddy,0.21741352971728614
1235098,autosomal,spite,0.2175229687017539
727949,aneurysm,let,0.21755499846824092
6793497,occipital,shade,0.21763699524059302
1233049,autosomal,effort,0.2177035847667776
1027113,articulation,chlorothiazide,0.2177120813404436
