,Row,Column,Value
6029161,examine,regulate,0.9388316464630915
1139876,apparent,attempt,0.9388415575341114
5390944,drinking,spending,0.9388605935860347
5245678,divide,retrieve,0.9389387695822833
1077708,anyone_else,someone_else,0.93893992883279
698778,albert,walter,0.9389447120211994
3763530,complain,deliver,0.9389490168186422
5586486,effectively,properly,0.9389635211206729
8767746,limitation,relate,0.9390405499143225
6963704,germany_line,usa_line,0.9390673205476038
3701708,commonly,typically,0.9390926956741888
383509,accuse,complain,0.939173872706387
789278,alpha,beta,0.9392569141879105
1934402,batter,neighbor,0.9392977769052298
5570126,edward,richard,0.9393314917596748
4789386,deliver,divide,0.939344623905672
2936371,carrier,significantly,0.9393449132307192
741994,allergic,layer,0.939479823808248
7475001,henry,philip,0.9394858399320732
1711049,avoid,prevent,0.9394861048289175
3700787,commonly,rarely,0.939509613338047
3731985,comparable,significant,0.9395177343886136
4629013,dbd_urartusdpaorg,geb_cadredslpittedu,0.9395419541108219
3270668,chris,pete,0.9396170894058405
8069688,intention,limitation,0.9397116814014166
5584700,effectively,essentially,0.9397364327943354
8109998,intervention,suggestion,0.9398448032720826
6717700,frequent,rarely,0.9398575629256223
8633125,layer,outer,0.939875825976041
3330731,circle,puzzle,0.9398788707605394
11395191,system_inc,technology_inc,0.940041941519896
7678040,huge,obvious,0.9400885965889358
8632544,layer,limitation,0.9401308690429314
3504224,closely,strictly,0.9401359714839871
7031255,glove,strictly,0.9401832259903697
7377541,harvey,philip,0.9402361146132845
7031382,glove,tear,0.9402735970948303
11259401,speaks,spoke,0.940296088011116
1200230,appropriate,suitable,0.9403623520373561
9722903,nntppostinghost_accessdigexnet,world_nntppostinghost,0.9403814961742956
742235,allergic,mechanism,0.9405520011247653
2933463,carrier,contrary,0.9405575464070098
2922610,carl,karl,0.940571445844588
8389901,junk,stretch,0.9405832459893192
7020242,glenn,gordon,0.9407839944206491
2936088,carrier,retrieve,0.9407975262543342
916414,analyze,investigate,0.9408461277045661
1088341,anything_else,everything_else,0.940860915832369
7475491,henry,robert,0.9408867511789217
5442729,dumb,stupid,0.9409253328563622
10108830,particular,specific,0.9409538766935162
5767846,enforce,impose,0.9410690485404266
2089929,ben,harry,0.9410974393002688
2190409,binding,delivery,0.94117559179074
11076772,seizure,sweep,0.9412058083489407
7365647,harry,michael,0.9413583515137622
1184234,appreciate,deserve,0.941490195282396
3401074,classify,restrict,0.9415172983991846
4793382,delivery,garage,0.9415435918508244
8632943,layer,newer,0.9415810358964108
957207,andy,pete,0.94164353356356
4078124,contrary,readily,0.9416476189412014
6333518,favorite,junk,0.941649095023548
11037705,scratch,treat,0.94167449748658
7376288,harvard,yale,0.9416919312297294
3834498,computer_graphic,silicon_graphic,0.9417196639843208
9877940,often,sometimes,0.9418146337462637
695094,albert,carl,0.9420449474147143
11282605,spy,sweep,0.9420584126854467
