,Row,Column,Value
6843798,install,restore,0.936018727759
6807945,initiative,project,0.9360280545951118
2736903,charge,glove,0.9360401608613341
1809739,ben,jonathan,0.9360710233185445
5624661,follower,presence,0.9360759953796917
4018585,dean,greg,0.9361594473148458
8842021,please_email,via_email,0.936175963243102
1809963,ben,max,0.9362615369197638
618984,alex,chris,0.9362826381884899
4018644,dean,harry,0.9363031104629451
8840723,please_email,please_reply,0.936365805314578
4019367,dean,michael,0.936384723857232
1106484,argue,justify,0.9364880234581345
8243424,neighbor,pixel,0.9365121388731887
9682593,steveh_thoriscbrcom,strnlght_netcomcom,0.9366059830493706
8360839,notion,puzzle,0.9366158622512261
7205526,keith,larry,0.9366321783638866
5576460,flaw,outer,0.9367123836218805
2540540,carrier,glove,0.9367394102863926
9698161,stretch,wheel,0.9367830818316296
5371394,fancy,stretch,0.9368667684628023
904878,anthony,michael,0.9368688974111806
6765048,indication,indicator,0.9369176052314105
4800242,effectively,supposedly,0.9369444136872975
9883927,weak,weakness,0.936973029421712
9120525,r3,r4,0.9369922519903886
9295602,restrict,retrieve,0.9371096143417655
6306660,harvey,norman,0.9372249451445491
7376266,launcher,neighbor,0.9372714855531928
655087,allow,allows,0.9372850545770608
1897544,binding,mechanism,0.9373335263148348
4593614,douglas,ross,0.9373688462955386
5853703,gary,terry,0.9373739908829218
1889451,billion,million,0.9373907506034491
3523084,contrary,receiver,0.937483976710969
6141969,greg,tony,0.9375043490613042
6179239,guest_line,service_guest,0.9375271876866718
2882087,circle,symbol,0.9376040941716846
8074402,morgan,murphy,0.9376972490129067
7503499,limitation,significant,0.9377158969203412
645903,allergic,intention,0.9377232821280013
7376947,launcher,receiver,0.9377831560907713
6001143,glenn,ross,0.9378502654136172
1673533,batter,carrier,0.937918529839547
9359849,ross,stewart,0.9379597130603885
811370,andrew,philip,0.937998183008694
8243671,neighbor,retrieve,0.9380642087229738
6290249,harmful,limitation,0.9381317091521233
8243981,neighbor,stove,0.9381557085854108
3906272,daily,weekly,0.9382063243946281
6295838,harry,larry,0.9382541906720301
2101028,bought,gotten,0.938255504137154
646262,allergic,mistaken,0.9382582964395767
981420,apparent,outer,0.9383335576516617
905342,anthony,philip,0.9383590813719828
1898266,binding,puzzle,0.9384405692412014
7026120,jackson,jordan,0.9384810421670683
5606742,fluid,liquid,0.9385084733864366
8243194,neighbor,newer,0.9387271523791808
5159610,examine,regulate,0.9388316464630915
978941,apparent,attempt,0.9388415575341114
