,Row,Column,Value
9,scorer_g,tu,0.6100355927699268
3,andre_beck,tu,0.6188100359823739
8,germany_line,tu,0.623792535746019
6,dept_computer,tu,0.6244676324298346
2,andre_beck,scorer_g,0.7284485258687297
7,germany_line,scorer_g,0.7382702786942129
0,andre_beck,dept_computer,0.7853952601447496
5,dept_computer,scorer_g,0.7984774340457732
4,dept_computer,germany_line,0.8187441449249117
1,andre_beck,germany_line,0.8379529272844526
9,scorer_g,tu,0.6100355927699268
3,andre_beck,tu,0.6188100359823739
8,germany_line,tu,0.623792535746019
6,dept_computer,tu,0.6244676324298346
2,andre_beck,scorer_g,0.7284485258687297
7,germany_line,scorer_g,0.7382702786942129
0,andre_beck,dept_computer,0.7853952601447496
5,dept_computer,scorer_g,0.7984774340457732
4,dept_computer,germany_line,0.8187441449249117
1,andre_beck,germany_line,0.8379529272844526
