,Row,Column,Value
2922,rev,source,0.38808350842828265
2787,recognise,source,0.3892252053371025
62,ab,source,0.39610888408098616
372,assume,source,0.39702981994741166
2046,intend,source,0.3978744069820204
1896,franc,source,0.40109017700855043
3097,source,union,0.4034016601560882
2442,own,source,0.40406602873429875
521,barrel,source,0.4058749785833099
807,cathay,source,0.4061437224966128
2094,investigate,source,0.409445046592395
3096,source,undermine,0.41099483095833234
1077,confidence,source,0.4119416819897441
3100,source,wait,0.41692370556406694
2816,recover,source,0.41767854477352795
2361,mortgage,source,0.4180312380264254
2481,pct_dlrs,source,0.4209996190877214
3051,sign,source,0.42163885336485457
2946,rise,source,0.4225231547752788
1997,immediate,source,0.42262599243255744
3012,search,source,0.4229848231266296
3095,source,underlie,0.42312275478655764
1206,contrast,source,0.4248560794472586
2592,plunge,source,0.42699448101753723
219,adopt,source,0.4312004523336983
316,assume,brazil,0.43136116014983633
3101,source,watch,0.4372901245276134
876,cereal,source,0.4379777377712658
2757,rating,source,0.4387564688460502
586,brazil,rev,0.4389215383128546
608,brazil,wait,0.44028020786296274
1142,contain,source,0.44251628602401893
737,capel,source,0.4434826727298986
2519,pharmaceutical,source,0.4435291209977743
2661,praise,source,0.4437617474756381
3099,source,voice,0.44457355220261924
2402,owen,source,0.4457363541686935
1844,foreign,source,0.4460067126694389
2556,plan,source,0.44636854756769867
2871,renew,source,0.44749600413130214
1452,disrupt,source,0.4500036857492091
1269,cutback,source,0.4534934026745104
2844,remove,source,0.45432364573223233
1682,exist,source,0.4588440982182487
1331,dealer,source,0.4589480101904637
594,brazil,source,0.4599620360846602
3087,source,stem,0.46098371386702064
1511,dlr,source,0.46365820622810894
2187,lawsuit,source,0.46441569960229784
1737,fee,source,0.46519693611525875
1626,effect,source,0.4663102239242037
2929,rev,today,0.46654297461484223
2473,pct_dlrs,rev,0.46753922882976334
2468,pct_dlrs,recognise,0.46950209768585066
3103,source,writedown,0.46956878487541986
2991,scott,source,0.47030068417963766
3032,secure,source,0.4704142674044673
1261,cutback,rev,0.47100368402911924
447,award,source,0.47133100376894654
1822,foreign,pct_dlrs,0.47684963603456665
2463,pct_dlrs,point,0.4777502593999286
3098,source,vessel,0.478290730271712
572,brazil,pct_dlrs,0.478757736988456
2969,sand,source,0.4788382879625666
1392,director,source,0.4790312222671832
1069,confidence,rev,0.47938072046464364
1569,drill,source,0.4794750433271408
296,advisor,source,0.47957108444604657
319,assume,cathay,0.4797774476542615
326,assume,cutback,0.48087234361928444
1283,cutback,wait,0.4815829545794888
1011,concerned,source,0.4821940841509246
575,brazil,plunge,0.48542744618891587
2141,labor,source,0.4856863073218382
789,cathay,point,0.48593268462668987
3093,source,today,0.48647856548738866
