,Row,Column,Value
6392089,franklin,leonard,0.9365423418647254
1782540,bbl,sgl,0.9365784991275645
2693677,carrier,strictly,0.9365848336145565
2380073,bulk,container,0.9366531121409454
6929482,harris,ross,0.9367538757506055
8515488,mechanism,relatively,0.9368004328441261
7401660,indication,indicator,0.9369176052314105
4849317,disruption,peripheral,0.936928480876592
10626725,weak,weakness,0.936973029421712
9392820,peripheral,synthetic,0.9369813695392414
4848064,disruption,exceeds,0.9369830675328359
10018989,restrictive,sugarcane,0.9370661012696241
1847134,behalf,downward,0.9370839911153332
6913662,hardship,intention,0.9370884873976846
6451356,ftc,nmic,0.9370891585032777
6923219,harold,kenneth,0.9371410429365947
4102882,credibility,fiber,0.9371471120893735
4215480,curb,stretch,0.9372414359950747
1966954,binding,mechanism,0.9373335263148348
5025238,downward,regain,0.9373345699914041
5012424,douglas,ross,0.9373688462955386
3805772,container,delivery,0.9373819342339069
44951,absorb,sentiment,0.9373952643030885
7545389,intention,stance,0.9375104954127778
1228095,assessment,measurement,0.9375555547713605
3118689,circle,symbol,0.9376040941716846
8782114,morgan,murphy,0.9376972490129067
8171428,limitation,significant,0.9377158969203412
6073881,fifth,sixth,0.9378956047704763
9392738,peripheral,strict,0.9379437716004373
7565033,interfere,intervene,0.9379553852572604
10102498,ross,stewart,0.9379597130603885
5853117,extremely,relatively,0.9380553909346862
2693676,carrier,strict,0.9381253500100944
8744382,monday,wednesday,0.9381276153239136
6920738,harmful,limitation,0.9381317091521233
4848593,disruption,intention,0.9381630807339091
8515523,mechanism,resin,0.9382972267813936
5471997,enormous,suburban,0.9383165689153329
3806522,container,grain,0.938391179142011
8135869,licensing,regulatory,0.9384158184521563
812943,analysis,assessment,0.9384163448363158
10539747,thursday,wednesday,0.9384190770312104
2286283,broker,container,0.9384371048878801
3731686,considerable,gallon,0.9384517857430652
7692612,jackson,jordan,0.9384810421670683
10122635,rumor,unexpected,0.9385820747837652
9625620,pricing,transition,0.9386329524610135
9885318,recover,revive,0.9386683608386351
4206129,cuban,venezuelan,0.9386875918648085
6719934,grain,grocery,0.9387538580543813
3733317,considerable,significantly,0.9387689974401864
2692065,carrier,keen,0.9387862707089863
4654770,deterioration,janeiro,0.938935452920469
521262,albert,walter,0.9389447120211994
5295643,effectively,properly,0.9389635211206729
2691411,carrier,facilitate,0.939042906812202
3568060,comprises,consists,0.9391198529847169
4477040,deficit,exceeds,0.9391695548498091
5853575,extremely,suburban,0.9392016143972575
3734324,considerably,dramatically,0.9392990996127961
2693484,carrier,significantly,0.9393449132307192
5817220,extend,extends,0.9394067221272306
1890677,berlin,vienna,0.9394068321008463
930927,apparent,dipped,0.939461944269198
7041519,henry,philip,0.9394858399320732
9885204,recover,regain,0.9394984357283349
3486445,comparable,significant,0.9395177343886136
8455314,massive,suburban,0.9395306041231866
10458234,suburban,synthetic,0.9395563951442938
6913872,hardship,limitation,0.9396166126178945
7543955,intention,limitation,0.9397116814014166
5294213,effectively,essentially,0.9397364327943354
3809385,container,warehouse,0.9397514642549263
35697,absence,presence,0.9398286576319862
5182385,easily,fully,0.9399202507248912
4161697,crucial,significant,0.9399324621575439
931148,apparent,exceeds,0.9399777702865839
6393376,franklin,ross,0.9399801626683087
42233,absorb,convenience,0.9400115633676631
3250845,closely,strictly,0.9401359714839871
5853558,extremely,strictly,0.9401849126705385
9600488,presence,vegetable,0.9402917462334809
1133508,arrival,arrive,0.9403761397091708
8074452,lending,mechanism,0.94038337999863
6450651,ftc,ibc,0.9404269580408033
9672797,productive,profitable,0.9404979395458486
1022930,arbitrage,arbitrager,0.9405436818401104
2690865,carrier,contrary,0.9405575464070098
2669820,carl,karl,0.940571445844588
10568124,transport,transportation,0.9406738090171031
5851949,extremely,highly,0.9407744458951071
45186,absorb,stick,0.9410179403049413
1965658,binding,delivery,0.94117559179074
3886724,convenience,sentiment,0.9412653981590111
3731320,considerable,dramatically,0.9412763375772863
9923614,regulatory,structural,0.9413056776742521
5758765,expectation,stance,0.9413336294336387
6901117,harbor,harbour,0.9414544036425215
1683314,barnes,howard,0.9415177630296618
1227221,assessment,evaluation,0.9418787923019339
3774847,constitute,sustain,0.9419716536604306
5758252,expectation,regain,0.9420254928224465
517687,albert,carl,0.9420449474147143
7221729,huge,suburban,0.9420830002447008
9845146,reaction,response,0.9421614078029977
930420,apparent,bros,0.9423578360447793
9683036,program,project,0.9423645546494964
7201271,howard,morgan,0.9425011716057308
9870410,receive,receives,0.9427483648948188
8749392,money_market,money_supply,0.9427835061090649
7615957,involve,involves,0.9427922472631117
8074979,lending,planting,0.9427934828844999
6391597,franklin,harris,0.9429026195130785
4535943,delivery,shipment,0.943237348107445
7997869,last_week,last_year,0.9435068980831935
42499,absorb,dismiss,0.943583137157233
9191460,ottawa,toronto,0.9436662423349614
9287674,partially,partly,0.9438822674805079
9585821,prediction,pricing,0.9439040326701591
8606611,michael,thomas,0.9439343915090623
10445036,strict,suburban,0.9441341712678569
9434735,philip,robert,0.9441343390612444
5758347,expectation,restrictive,0.9443005073556833
10282885,shortage,subsidy,0.944321114632373
7291165,ii,iii,0.9444431703587173
931363,apparent,gallon,0.9444504625803897
2690718,carrier,closely,0.9447735000437203
4197265,ctc,pcc,0.9449027676253996
9392249,peripheral,residual,0.9451672512775368
934146,apparently,clearly,0.9453185522021433
4786678,disappointed,pleased,0.9453533428106893
10533718,therefore,thus,0.945549540565068
10445839,strictly,unusually,0.9455596720967026
3733316,considerable,significant,0.9456988605801429
5669234,examine,investigate,0.9459054972235976
1849606,behalf,stance,0.9459280212028593
5678304,exceeds,regain,0.9460315587870636
8872685,natural_gas,oil_gas,0.9460461086173647
10400491,stabilisation,stabilise,0.9462042446579522
7201008,howard,leonard,0.9462991385696236
8605758,michael,philip,0.9463292045181309
45216,absorb,stretch,0.94634906765023
8331538,mainly,primarily,0.9464941678609955
6914960,hardship,shortage,0.9465148902208063
1966775,binding,lending,0.9466786559121974
2192134,breakup,recession,0.9468588137789662
9003572,normally,usually,0.9472036809250988
4478934,deficit,regain,0.9476256184282761
5703120,exchange_rate,interest_rate,0.9477908183012074
8171155,limitation,restrict,0.9482526540540106
9020538,northwest,southwest,0.948509907204386
8171156,limitation,restriction,0.948567835546434
2693145,carrier,relatively,0.948637543410422
930333,apparent,behalf,0.9486810910428911
6053883,fiber,fibre,0.9486942608440647
5751081,expand,extend,0.9487071097054394
5361980,eleven,ten,0.9487966584909893
8274486,lower,upper,0.9489196406037717
7293738,iii,iv,0.9493715028247738
10061669,richard,robert,0.9494845776554264
7433197,inflow,outflow,0.9495847789290953
9017083,northeast,southeast,0.9498405258717268
