,Row,Column,Value
26,aluminium,teck,0.5741890427898102
101,progressive,teck,0.6240422941689292
104,restart,teck,0.630927655558903
94,lynch,teck,0.632904346790771
89,ingot,teck,0.6329294034825679
37,bcw,restart,0.6407126942480821
17,aluminium,cominco,0.6432305602930357
83,hawkins,teck,0.6440751723205164
59,bil,teck,0.6444765315596529
68,cominco,teck,0.6450084370699666
14,aluminium,bcw,0.6507528788949666
13,allan,teck,0.6522733258870518
58,bil,restart,0.6541350522180612
67,cominco,restart,0.6589882117966145
65,cominco,progressive,0.6590874587565955
29,bcw,cominco,0.6591973144046201
98,metal,teck,0.6594945283117863
15,aluminium,becor,0.6604469628154795
61,cominco,hawkins,0.6666726793440251
88,ingot,restart,0.6725726553123378
63,cominco,lynch,0.6726780626819533
35,bcw,progressive,0.6756616386953959
33,bcw,lynch,0.6789440059469138
4,allan,cominco,0.6819949857745561
38,bcw,teck,0.6829120318946299
32,bcw,ingot,0.6832609490267215
64,cominco,metal,0.688352831896605
25,aluminium,restart,0.6906664515720722
48,becor,restart,0.691550404973553
82,hawkins,restart,0.6918340307489543
42,becor,hawkins,0.6960439835478817
27,bcw,becor,0.6969887522987543
77,hawkins,ingot,0.7023090078311622
93,lynch,restart,0.7034178850203628
44,becor,lynch,0.7039311174088391
76,gear,teck,0.7050854571915716
84,ingot,lynch,0.7058581609662037
31,bcw,hawkins,0.7060575586684028
103,rainbow,teck,0.7063700309020611
49,becor,teck,0.7078701815578292
1,allan,bcw,0.7124495543512286
16,aluminium,bil,0.7134797262110184
30,bcw,gear,0.7135060235089525
60,cominco,gear,0.7144351055409552
50,bil,cominco,0.715521592667073
12,allan,restart,0.7208616488475937
45,becor,metal,0.724619733077443
28,bcw,bil,0.725238564441365
20,aluminium,ingot,0.725879843563015
55,bil,metal,0.7262562898905196
53,bil,ingot,0.7263277912710746
86,ingot,progressive,0.7278267075960633
97,metal,restart,0.7283119553387909
34,bcw,metal,0.7286778822036792
21,aluminium,lynch,0.7291066616688209
51,bil,gear,0.7326443647324533
46,becor,progressive,0.7332635650321382
54,bil,lynch,0.7347375579474887
0,allan,aluminium,0.7354439836672041
19,aluminium,hawkins,0.7358079814992018
36,bcw,rainbow,0.7372011316475519
66,cominco,rainbow,0.7383845799877398
43,becor,ingot,0.7387195695791152
100,progressive,restart,0.7409837288160013
62,cominco,ingot,0.7466398893411548
7,allan,ingot,0.7478428893930473
90,lynch,metal,0.7500470096894091
3,allan,bil,0.7513709361135538
2,allan,becor,0.7527082437606567
18,aluminium,gear,0.7533377070359845
56,bil,progressive,0.7541997654736209
24,aluminium,rainbow,0.7548029063581233
52,bil,hawkins,0.7558563761615031
79,hawkins,metal,0.7565673153514043
40,becor,cominco,0.7589679927739604
102,rainbow,restart,0.7596699944797788
75,gear,restart,0.7601117422908039
39,becor,bil,0.761318348681828
71,gear,lynch,0.7667608492870132
23,aluminium,progressive,0.7693357989673548
41,becor,gear,0.7700207983700054
95,metal,progressive,0.7740351678788107
87,ingot,rainbow,0.7761596436452942
57,bil,rainbow,0.7767865143814063
69,gear,hawkins,0.7809023588061276
91,lynch,progressive,0.7915174314174607
80,hawkins,progressive,0.7939249069116198
9,allan,metal,0.7976746932228667
70,gear,ingot,0.8000402313611075
85,ingot,metal,0.8003949242163502
47,becor,rainbow,0.8037532425752067
73,gear,progressive,0.8050213877089205
8,allan,lynch,0.8110144841489398
6,allan,hawkins,0.8160339338624019
96,metal,rainbow,0.8193590133027581
10,allan,progressive,0.8254131199914921
92,lynch,rainbow,0.8339150648833146
81,hawkins,rainbow,0.8370254190657929
5,allan,gear,0.8519507369930568
99,progressive,rainbow,0.8556536412475869
74,gear,rainbow,0.8611783943548657
22,aluminium,metal,0.8646930480357597
72,gear,metal,0.8706747812479418
78,hawkins,lynch,0.8735588985222444
11,allan,rainbow,0.8756268249895806
