,Row,Column,Value
7061077,organic,structural,0.9379225309024853
1722968,bubble,circle,0.9379300014658483
7217619,peripheral,strict,0.9379437716004373
6053418,involves,prevents,0.9379635072571124
3458144,deterioration,reactive,0.9380392731991389
4508566,extensively,significantly,0.9380513034408302
4533091,extremely,relatively,0.9380553909346862
7089198,outer,peripheral,0.9381623717834622
3176680,daily,weekly,0.9382063243946281
7704702,residual,synthetic,0.938213037508382
7680376,remarkable,unprecedented,0.9382537589746797
3439591,destructive,elastic,0.9382829609307082
6556176,mechanism,resin,0.9382972267813936
3440276,destructive,kinetic,0.9382994063838095
835403,apparent,outer,0.9383335576516617
1176957,autism,destructive,0.9383659745251604
1327726,basal,carrier,0.9384330777476928
5190781,grouped,originate,0.938551016640915
7754657,ripple,worm,0.9385702380925631
513303,allergic,closely,0.9385994916587657
1417554,benign,sweep,0.9386659234114614
6859479,newborn,transitional,0.9387599001613427
2694458,considerable,significantly,0.9387689974401864
4333495,evident,rigid,0.9387859542144822
7903627,skeletal,unaware,0.9388045234174469
6556789,mechanism,unaware,0.9388206576316417
2807762,contrary,unaware,0.9388956550500597
6821705,neglect,strict,0.9388989758479507
4506976,extensively,greatly,0.9391283127581838
4661125,fiber,plastic,0.9391323449173812
3266038,deficit,exceeds,0.9391695548498091
4111417,endeavor,sweep,0.9391834140370693
1457331,binding,neglect,0.9391855780140226
6038521,investigate,resemble,0.9392151204289021
4148593,enormous,extremely,0.9392609481867784
3787710,dominant,predominant,0.9392842599283551
4048114,eleven,fifteen,0.9392878583375374
4423642,expectation,traumatic,0.9393372634210073
1907964,carrier,significantly,0.9393449132307192
1388063,behavioral,reactive,0.9394478478703183
514521,allergic,layer,0.939479823808248
4423147,expectation,respiratory,0.9394829809225055
2428263,comparable,significant,0.9395177343886136
6862078,newly,unaware,0.9395943803966955
6015656,intrinsic,residual,0.9396210900945596
942175,arises,arose,0.939624957921495
4400546,exhaust,pulmonary,0.9396829513299232
7700083,resemble,unaware,0.9396833771449016
3964624,effectively,essentially,0.9397364327943354
1907354,carrier,newborn,0.9397490642333328
245820,adequately,sufficiently,0.9397718947819683
4333255,evident,productive,0.9397823664751689
6271905,lending,neglect,0.9398178982074165
47871,absence,presence,0.9398286576319862
2829533,convenience,neglect,0.93983502545936
5988666,intervention,suggestion,0.9398448032720826
4934224,frequent,rarely,0.9398575629256223
7884350,significantly,unusually,0.9399566786514049
6202937,laid,swept,0.9399592363846783
4529250,extreme,fusion,0.9399705070304436
834415,apparent,exceeds,0.9399777702865839
3441443,destructive,therapeutic,0.9400680208587837
952839,arose,originate,0.9400738665251878
4885128,fourteen,nineteen,0.9400909314615602
4691688,fifteen,twelve,0.9401176755612338
2807186,contrary,rigid,0.9401287496059644
6242247,layer,limitation,0.9401308690429314
4533447,extremely,strictly,0.9401849126705385
3814274,downward,focal,0.9402093261636255
3266061,deficit,expectation,0.9402221314253459
1229668,avoids,inhibitor,0.9403556731220146
6271785,lending,mechanism,0.94038337999863
2603219,conditioning,lending,0.940400365502535
6858884,newborn,relatively,0.940423450802197
1402908,bending,binding,0.9404382550126771
2693000,considerable,extensively,0.9405331497351954
1906103,carrier,contrary,0.9405575464070098
3456997,deterioration,focal,0.9405577371461363
6733223,morphological,structural,0.9405929234222228
8109249,transport,transportation,0.9406738090171031
4531810,extremely,highly,0.9407744458951071
6859267,newborn,strict,0.9409087592022201
4936421,frequently,seldom,0.9410995013763489
6876222,nineteen,twelve,0.9412081715677469
3556383,differentiate,transitional,0.9413478056998263
833776,apparent,benign,0.9414114168778371
7134633,paradox,vortex,0.9414654332017208
6242538,layer,newer,0.9415810358964108
2807058,contrary,readily,0.9416476189412014
1388303,behavioral,skeletal,0.9418661598049549
6319512,likely,probably,0.9418792720891379
7605318,reactive,respiratory,0.942020732077875
1907845,carrier,rigid,0.942032851539816
3473567,detrimental,noticeable,0.9420597210624369
244770,adequately,layer,0.942085031711366
1230689,avoids,simplest,0.9421221180359952
1228635,avoids,calf,0.9421364675465568
4086190,emphasizes,newer,0.9421483711761245
3608311,dioxide,nitrogen,0.9421610916782117
8131206,uniquely,unusually,0.942315310100812
1386652,behavioral,downward,0.9424970906114345
4332667,evident,limitation,0.9425460504784903
6049231,involve,involves,0.9427922472631117
513101,allergic,behavioral,0.9428868743578652
8124747,unaware,unrelated,0.9429192007778763
1387408,behavioral,layer,0.9429959241728006
1907799,carrier,resemble,0.943066227647851
4421936,expectation,focal,0.9432597567832677
4933062,frequent,frequently,0.9433965412642052
4408002,exist,exists,0.9436156453158865
512974,allergic,apparent,0.9437441159468872
4554354,fail,fails,0.943813652683489
7153399,partially,partly,0.9438822674805079
835929,apparent,skeletal,0.9439658419790338
4819421,focal,rigid,0.9441271931448867
835034,apparent,layer,0.944158952012122
6606133,metabolic,synthetic,0.9441919816366338
7707081,resistant,susceptible,0.9442601662511466
7097224,outward,peripheral,0.9442855800134093
2728492,constitute,simplest,0.9443107031238969
834408,apparent,evident,0.9444540048114003
4662234,fiber,wire,0.9445559468005373
7605853,reactive,traumatic,0.9446183974977586
7089808,outer,skeletal,0.9446281240383052
513631,allergic,destructive,0.9446299648341256
2171819,circle,swirl,0.9447099732155906
4533446,extremely,strict,0.9447959147695493
4423083,expectation,reactive,0.9448147788338073
1386916,behavioral,focal,0.9448653565073604
8124318,unable,unaware,0.9448767396514425
35391,able,unable,0.9449283754691745
2171485,circle,ripple,0.9449954577759994
2283138,closeness,proximity,0.945157446196172
3441540,destructive,turbulent,0.9452324804628467
6876134,nineteen,thirteen,0.945259985629523
836780,apparently,clearly,0.9453185522021433
7901300,sixteen,thirteen,0.945416464423712
4936295,frequently,regularly,0.9454676239250344
8001725,strictly,unusually,0.9455596720967026
6976707,obvious,unexpected,0.9462467215985642
4691600,fifteen,thirteen,0.9462500221116276
515388,allergic,rigid,0.9462895951428831
4346961,exactly,precisely,0.9463105666469414
7543359,purely,solely,0.9464512385860258
1457093,binding,lending,0.9466786559121974
836248,apparent,traumatic,0.9472155168415672
1344923,basically,practically,0.9472683271981116
3481521,developmental,structural,0.9472966319335528
5352146,hence,therefore,0.9474005885073267
7750702,rigid,strict,0.9475682173317934
6860353,newer,simplest,0.947630381953943
1416693,benign,outer,0.947937489743464
8005567,structural,systemic,0.9480478102844749
7679904,remarkable,significant,0.9481641303559158
6016370,introduce,introduces,0.9483101644827697
918553,architectural,structural,0.9484158038764298
4417369,expand,extend,0.9487071097054394
4049945,eleven,ten,0.9487966584909893
4073956,emission,limitation,0.9488280091449759
3991461,eighteen,eleven,0.9491954344719901
7750591,rigid,skeletal,0.9493457048037787
5610960,iii,iv,0.9493715028247738
4388800,exclusively,primarily,0.9495622442075666
527408,allows,prevents,0.9504749683946184
515964,allergic,unaware,0.9506387048732251
8146098,vii,viii,0.9510972994307736
7901388,sixteen,twelve,0.9511333970570116
4691283,fifteen,seventeen,0.9511403876465672
6821653,neglect,spite,0.9511501686467717
1388622,behavioral,traumatic,0.9515680151540021
835140,apparent,markedly,0.9519821543274234
6981139,occasionally,sometimes,0.9520561279813662
7884043,significantly,strictly,0.952306303355694
7884067,significantly,substantially,0.9525550994669318
5846752,inherent,intrinsic,0.9528941060875714
513218,allergic,carrier,0.9542413330514616
5617868,illustrate,illustrates,0.9544455730966668
3255663,defence,defense,0.9545805279393109
5173305,greatly,significantly,0.9548847677501441
3993314,eighteen,thirteen,0.9552053883260192
7426059,prevent,prevents,0.9553278581579503
7854928,seventeen,sixteen,0.9557649098346663
7883316,significant,significantly,0.9559760986003326
4819289,focal,reactive,0.9560467279436424
4689972,fifteen,fourteen,0.9561758336248145
2692578,considerable,considerably,0.9571755205868163
2697373,considerably,significantly,0.9582968386626475
6875817,nineteen,seventeen,0.9583509862167251
3991686,eighteen,fourteen,0.9584478600756258
4885890,fourteen,sixteen,0.9587201615569338
526161,allows,enables,0.9595872602873987
838335,apparently,obviously,0.9602392883215006
3993402,eighteen,twelve,0.9618283660330105
3992997,eighteen,seventeen,0.965883874597744
536713,almost,nearly,0.9659703164982222
2695783,considerably,greatly,0.966069141191634
7370545,practically,virtually,0.9677636689718055
4149281,enormous,massive,0.9684085484344789
7590845,rarely,seldom,0.9710143847019003
7663100,relate,relates,0.9721162393946547
