,Row,Column,Value
116167,autosomal,thiazide,0.17280638718806748
115889,autosomal,ohp,0.19384161347263396
116249,autosomal,water,0.19866910991315437
116181,autosomal,tloop,0.20162040506364043
116203,autosomal,twelve,0.2053065894170086
568080,occipital,twelve,0.2097793279601685
567766,occipital,ohp,0.21012381263687957
41213,agent,autosomal,0.21037646270389626
115471,autosomal,eleven,0.21214004070246456
115852,autosomal,needle,0.2139598300418381
2363,99m,autosomal,0.2141252016105062
233187,crystal,occipital,0.21427606785013215
186912,chlorothiazide,occipital,0.21491028259042358
115360,autosomal,crystal,0.21596922892381248
116069,autosomal,selenate,0.2166856137866836
326982,eleven,occipital,0.21806628632538289
568044,occipital,thiazide,0.21880263655037238
187030,chlorothiazide,pte,0.21924784114064377
187177,chlorothiazide,suture,0.21981370274773898
116251,autosomal,week,0.2200029942148619
282891,die,occipital,0.2200267899755446
455927,im,occipital,0.22091184871470582
116097,autosomal,sleep,0.22120062653204
115624,autosomal,hour,0.22129208693104954
102896,atresia,autosomal,0.2217371091610534
116248,autosomal,wash,0.22203759314371593
116056,autosomal,rous,0.22239754239905304
258127,dehydroepiandrosterone,pte,0.22302921374685697
115921,autosomal,patch,0.2231199612736086
115715,autosomal,ion,0.22351401853374173
441396,hydrochlorothiazide,suture,0.22390192210160054
441249,hydrochlorothiazide,pte,0.22445823765478387
568009,occipital,sugar,0.225373043738321
435356,host,methotrexate,0.2258210194422762
257748,dehydroepiandrosterone,host,0.22641607387078677
568126,occipital,water,0.22656112007942755
567798,occipital,patch,0.22682284371561454
115592,autosomal,hela,0.22775110695055922
68110,angiocardiography,twelve,0.22833153888652757
116647,azathioprine,hr,0.22840938341967898
116764,azathioprine,larva,0.2284636792618017
115908,autosomal,pain,0.22914750321154478
89769,approx,hypoglycemia,0.22926374474924843
228672,cow,occipital,0.22948067433719113
115417,autosomal,die,0.22955973733602897
117927,baby,occipital,0.23091291959627291
535487,methotrexate,recipient,0.23117739581731728
206400,co,hydrochlorothiazide,0.23174142390009853
115656,autosomal,im,0.23176699568684977
115632,autosomal,hydrochlorothiazide,0.23205777333451705
568137,occipital,young,0.23239607196963685
116178,autosomal,tions,0.23245803412870963
115270,autosomal,breathing,0.23249393773614835
89364,approx,azathioprine,0.23276501959284773
