,Row,Column,Value
2697821,commonly,rarely,0.939509613338047
1099933,arises,arose,0.939624957921495
7357231,markedly,restrictive,0.9396278648599429
8105517,particularly,specially,0.939648218294353
5033583,exhaust,pulmonary,0.9396829513299232
4537428,effectively,essentially,0.9397364327943354
325994,adequately,sufficiently,0.9397718947819683
4948024,evident,productive,0.9397823664751689
7069327,lending,neglect,0.9398178982074165
3206979,convenience,neglect,0.93983502545936
6764137,intervention,suggestion,0.9398448032720826
8753019,respiratory,restrictive,0.9398462921821452
4466115,easily,fully,0.9399202507248912
3491305,crucial,significant,0.9399324621575439
4678516,emphasize,fitting,0.9399577854366544
6991899,laid,swept,0.9399592363846783
5184228,extreme,fusion,0.9399705070304436
966222,apparent,exceeds,0.9399777702865839
1112834,arose,originate,0.9400738665251878
5347456,fifteen,twelve,0.9401176755612338
3183393,contrary,rigid,0.9401287496059644
7036295,layer,limitation,0.9401308690429314
2553705,closely,strictly,0.9401359714839871
4288451,disturb,noticeable,0.9401482416107778
5188690,extremely,strictly,0.9401849126705385
3733398,deficit,expectation,0.9402221314253459
6564505,informally,uniformly,0.9402310054085904
7843086,notion,premise,0.9402910642418623
3992883,develop,develops,0.9403017712300812
4289121,disturb,restrictive,0.9403074889076931
1443956,avoids,inhibitor,0.9403556731220146
1028567,appropriate,suitable,0.9403623520373561
1131628,arrival,arrive,0.9403761397091708
7069181,lending,mechanism,0.94038337999863
8590303,rapidly,steadily,0.9404042599990572
4633308,eleven,six,0.9404346526829689
1625881,bending,binding,0.9404382550126771
8764696,restrictive,rotational,0.9404612079845821
6376691,impetus,utilize,0.9405100597639486
3052161,considerable,extensively,0.9405331497351954
3972901,deterioration,focal,0.9405577371461363
7614604,morphological,structural,0.9405929234222228
141086,accommodate,resemble,0.9406251981639375
9184686,transport,transportation,0.9406738090171031
5186930,extremely,highly,0.9407744458951071
2158650,carrier,retrieve,0.9407975262543342
5204649,facilitate,impetus,0.9408157504105497
798993,analyze,investigate,0.9408461277045661
2348459,chick,neighbor,0.9409140857942319
8104199,particular,specific,0.9409538766935162
1696258,binding,delivery,0.94117559179074
4088821,differentiate,transitional,0.9413478056998263
140153,accommodate,layer,0.9414696615636479
2506403,classify,restrict,0.9415172983991846
7036626,layer,newer,0.9415810358964108
3183260,contrary,readily,0.9416476189412014
4679861,emphasize,reinforce,0.9417551260543781
5205877,facilitate,relate,0.9418066244794834
7920509,often,sometimes,0.9418146337462637
7783954,nine,twelve,0.9418533221947094
1604562,behavioral,skeletal,0.9418661598049549
139228,accommodate,disturb,0.9418732137860762
7122760,likely,probably,0.9418792720891379
1093378,argument,disagreement,0.9419659588661499
3093261,constitute,sustain,0.9419716536604306
966045,apparent,disturb,0.9419938906030743
8609307,reactive,respiratory,0.942020732077875
2158664,carrier,rigid,0.942032851539816
8775111,retrieve,transforms,0.942072281147257
324655,adequately,layer,0.942085031711366
8764851,restrictive,skeletal,0.9421056221775606
9199569,typically,usually,0.9421134750998126
1445344,avoids,simplest,0.9421221180359952
1442591,avoids,calf,0.9421364675465568
4681742,emphasizes,newer,0.9421483711761245
7442452,melt,retrieve,0.9422087355337292
7733120,neighbor,sweep,0.9423616542129962
8461969,program,project,0.9423645546494964
9197701,twolayer,twopoint,0.9424312187738532
4589058,elastic,pricing,0.9424600592394838
4947409,evident,limitation,0.9425460504784903
324217,adequately,greatly,0.9426266833218537
4289686,disturb,traumatic,0.9426885488421379
1602475,behavioral,disturb,0.9426924177291768
7425833,medical,nursing,0.9428000429579001
4714747,encompass,spite,0.9428655479914766
9180133,transformation,transition,0.9428688402639332
1604360,behavioral,restrictive,0.9429067538656823
4679037,emphasize,layer,0.9429318751418645
1603400,behavioral,layer,0.9429959241728006
5349961,fifty,forty,0.9429993683882836
6808041,investigate,investigates,0.9430986693857679
4287342,disturb,expectation,0.9431607791983081
5417422,five,four,0.9432590293121083
5057133,expectation,focal,0.9432597567832677
3387949,counterpart,disturb,0.9433380101604255
5039426,exist,exists,0.9436156453158865
5226855,fail,fails,0.943813652683489
8097071,partially,partly,0.9438822674805079
8361574,prediction,pricing,0.9439040326701591
4679325,emphasize,newer,0.9439654758649428
5482405,focal,rigid,0.9441271931448867
966864,apparent,layer,0.944158952012122
5520924,formal,informal,0.9442282803395716
8744955,resistant,susceptible,0.9442601662511466
8029629,outward,peripheral,0.9442855800134093
5058669,expectation,restrictive,0.9443005073556833
3093019,constitute,simplest,0.9443107031238969
9075873,substantial,sufficient,0.9443754416137633
7036603,layer,neighbor,0.9444965323249637
5331618,fiber,wire,0.9445559468005373
139418,accommodate,exceeds,0.9446160991597201
8609926,reactive,traumatic,0.9446183974977586
8019572,outer,skeletal,0.9446281240383052
2424446,circle,swirl,0.9447099732155906
2156515,carrier,closely,0.9447735000437203
5188689,extremely,strict,0.9447959147695493
5058545,expectation,reactive,0.9448147788338073
1602824,behavioral,focal,0.9448653565073604
5415457,fitting,layer,0.944899637603248
58456,able,unable,0.9449283754691745
3797350,deliver,retrieve,0.9449477454980235
