,Row,Column,Value
600622,semiinfinite,streamwise,0.2794707147843764
478366,knudsen,streamwise,0.2827628465143272
623472,streamwise,weightstrength,0.28851400017835477
313991,end,thermodynamics,0.28982202998077794
563717,pohlhausen,streamwise,0.2899058166769988
623381,streamwise,tollmienschlichting,0.29150383418249204
392506,galerkin,streamwise,0.2928785612623029
632262,thermodynamics,wingtip,0.2929767107505743
623428,streamwise,unyawed,0.29424655953451495
106392,axially,free_stream,0.2964127311710444
501433,longitudinally,tollmienschlichting,0.296774733435529
387614,ft,thermodynamics,0.2973905157348006
317959,entire,streamwise,0.29859003278214835
371741,forebody,thermodynamics,0.2988233720485645
598921,schlieren,streamwise,0.2988958328100396
106726,axially,pohlhausen,0.30317442509812065
594209,ringstiffened,streamwise,0.3036836918881894
106830,axially,schlieren,0.3038352443317013
458638,instrumentation,yaw,0.3039680186885779
478934,lagrangian,streamwise,0.30433772806739867
107006,axially,tollmienschlichting,0.30501761306388864
458355,instrumentation,schlieren,0.30505571755985683
553226,perigee,streamwise,0.3055261398914854
107097,axially,weightstrength,0.30620819074975486
32830,aileron,herein,0.30911365473291197
231550,critical,oscillate,0.30942373950078633
106398,axially,freestream_mach,0.30952755461508935
618904,stable,thermodynamics,0.3105677013227429
402946,good_agreement,streamwise,0.31085144681024224
313598,end,magnetohydrodynamic,0.3119462224917806
127384,blowing,streamwise,0.3122773983797786
124647,blast,curvilinear,0.3129955989268526
107113,axially,yaw,0.3132086277305676
623488,streamwise,yaw,0.313314365651322
503459,lubrication,streamwise,0.31368015226033114
564164,point,thermodynamics,0.3149168621938454
623458,streamwise,viscositytemperature,0.3150524607646178
200509,confirms,streamwise,0.3155463837890994
123621,blasius,critical,0.31579172393514204
419846,herein,streamwise,0.316729889991239
501153,longitudinally,pohlhausen,0.31719331147428714
31106,agrees,streamwise,0.3181735580105675
571327,preston,streamwise,0.3182431897338905
45367,also,streamwise,0.31846744109823993
606349,show,thermodynamics,0.3192916148831018
102853,ax,thermodynamics,0.3195487014903995
501418,longitudinally,thermodynamics,0.31972999939201624
399548,give,thermodynamics,0.3200363624815815
619862,standoff,streamwise,0.3203695778830271
473843,join,thermodynamics,0.32064841228143337
79751,approximately,streamwise,0.32130934174328085
456647,inside,streamwise,0.32152484670583065
13379,addendum,thermodynamics,0.3220355028766613
300886,earth,streamwise,0.32238698878442074
61612,anemometer,streamwise,0.3226835489413201
118288,behind,thermodynamics,0.322903050157477
204897,conservative,nonequilibrium,0.3234546890267323
598517,satisfies,windward,0.32363511412282964
447509,indicates,thermodynamics,0.32434181586333727
584188,recombination,windward,0.32434950608615803
598307,satisfies,sonicboom,0.32486231275364735
595766,rotational,thermodynamics,0.3256334523015793
381497,freestream_mach,longitudinally,0.32580665247296015
107053,axially,unyawed,0.32594222640471465
632217,thermodynamics,vane,0.3261361140683196
106867,axially,simply_support,0.32646281155193446
106474,axially,hypersonic_speed,0.3264901888291225
435013,hypothesize,windward,0.32650664773846916
241083,curvilinear,except,0.326512913077274
333026,except,streamwise,0.3267357224846964
623433,streamwise,usual,0.3270929742383149
458531,instrumentation,tollmienschlichting,0.3271397817037809
241496,curvilinear,preston,0.32733676386483057
33702,air,curvilinear,0.3274132982019392
241814,curvilinear,vane,0.32758032091317923
508691,mar,thermodynamics,0.32759416580372713
458622,instrumentation,weightstrength,0.3276074705043427
233668,cross,thermodynamics,0.32765794183313646
107003,axially,timedependent,0.3277622027451367
387221,ft,magnetohydrodynamic,0.3283143264792743
475511,karmanpohlhausen,streamwise,0.3283272208276292
231654,critical,recombination,0.3288412315196557
501257,longitudinally,schlieren,0.32920074171667696
501322,longitudinally,sonicboom,0.3292149693572949
371684,forebody,streamwise,0.3295096078864726
249195,deflection,herein,0.3296053556290704
589616,replace,thermodynamics,0.3296191264467846
241569,curvilinear,rotational,0.3296570009297424
106953,axially,supersonic_speed,0.3297181511183148
533932,note,streamwise,0.32979034686406006
89294,arrival,thermodynamics,0.32989295100020655
106131,axially,camber,0.33001362973513204
546866,outside,streamwise,0.3302032599659485
514712,mile,streamwise,0.3306037307195098
446888,indicate,thermodynamics,0.3308457181841868
241184,curvilinear,ground,0.3310119168809218
587959,regime,streamwise,0.33120075280809824
567572,practically,streamwise,0.3315248085595996
623335,streamwise,swept,0.3315663110133673
123326,blade,streamwise,0.33176267172493684
523559,nacelle,streamwise,0.3317790938560466
511241,mean,thermodynamics,0.3318427719900493
238292,cruise,curvilinear,0.3319407990505473
623487,streamwise,wrinkle,0.33198124820125163
357586,flame,streamwise,0.33199375845960905
589241,relaxation,streamwise,0.3322703075282435
125101,blast,oscillate,0.3322996882603529
276641,disc,thermodynamics,0.3324817964953992
241840,curvilinear,wake,0.33268435677957203
106200,axially,coolant,0.3331877011793681
229148,couple,thermodynamics,0.33334045911807836
632243,thermodynamics,wake,0.33380420982053
41054,alleviate,thermodynamics,0.33423324829089607
615606,sonicboom,wingtip,0.3344216916198971
231519,critical,nonequilibrium,0.3344527582677317
182573,column,thermodynamics,0.33449502488710847
586718,ref,thermodynamics,0.33459341043055385
106803,axially,result,0.334692390225388
544259,oscillation,streamwise,0.3347672767192292
600797,semiinfinite,wingtip,0.3351027173021624
623465,streamwise,wake,0.3351889757028365
591446,reversal,streamwise,0.33532407613133686
204976,conservative,pohlhausen,0.33543528580889626
588659,reinforce,thermodynamics,0.3354652219519464
106375,axially,flow_past,0.3355100221287578
125013,blast,longitudinally,0.33585382542964043
285059,dissociation,streamwise,0.33607010499163037
257587,depends,streamwise,0.33616790799416696
375391,found,thermodynamics,0.33620283637019543
230482,creep_buckling,instrumentation,0.33661008252624236
604184,shock,streamwise,0.33682418787106283
501096,longitudinally,ogivecylinder,0.33685072523314596
500363,long,thermodynamics,0.3368743260815874
298411,due,streamwise,0.3370260374993196
241288,curvilinear,jet,0.337149625478421
632207,thermodynamics,upon,0.33748974728356407
632253,thermodynamics,wherein,0.3375746082539652
319562,entrance,streamwise,0.33762206657153093
309250,elliptic,yaw,0.33771295870805795
386191,front,thermodynamics,0.3377425472196667
418517,hemispherecylinder,streamwise,0.33782536951101333
572858,profile,thermodynamics,0.33793888057970606
313990,end,thermodynamic,0.3381666076631153
231702,critical,schlieren,0.3383538987246164
123383,blade,thermodynamics,0.33848062295232484
571754,previous,thermodynamics,0.33850108522731165
241271,curvilinear,interior,0.3385150689487473
623438,streamwise,van,0.33864580096497654
505464,magnetohydrodynamic,show,0.3386948762696409
571384,preston,thermodynamics,0.338707803045914
632157,thermodynamics,tip,0.3390231122981421
623348,streamwise,takeoff,0.3391732389045306
558152,pitchingmoment,streamwise,0.3392440446500765
12490,addendum,blast,0.33931336687439
598521,satisfies,wingtip,0.3393466631291999
571697,previous,streamwise,0.339400157767685
106212,axially,creep_buckling,0.33942888075506855
632259,thermodynamics,wing,0.3395530841321007
74503,apply,thermodynamics,0.339789534283629
370217,foot,streamwise,0.3398295297212448
241553,curvilinear,result,0.33995307321925033
125414,blast,thermodynamics,0.3400028663276554
458578,instrumentation,unyawed,0.34008563332124364
231708,critical,semiinfinite,0.3403360690417219
606866,side,thermodynamics,0.3407922240075513
125357,blast,streamwise,0.34082786667777976
75509,appreciable,streamwise,0.34086690399814806
525959,neglect,streamwise,0.3410232123549649
632191,thermodynamics,two,0.3412849854168357
390391,fully,streamwise,0.3412895428110308
88244,around,thermodynamics,0.34130154727516526
609638,sinking,thermodynamics,0.34132849335634136
400184,glass,streamwise,0.34138360558423464
520157,moment,streamwise,0.3414499781098412
249561,deflection,rotational,0.3414549877383851
375334,found,streamwise,0.34148665778510523
458639,instrumentation,yawed,0.3417198392917323
106669,axially,ogivecylinder,0.3419061678149388
443711,inclined,streamwise,0.3419368949236013
501540,longitudinally,yaw,0.3419443914340954
293491,donnell,thermodynamics,0.3419629251420567
544696,oscillatory,streamwise,0.3420163970254456
106540,axially,join,0.342186209021135
623475,streamwise,wherein,0.3422261450349915
106746,axially,preston,0.34234753763257353
205241,conservative,thermodynamics,0.3423475842294471
106972,axially,take_account,0.3424360629125449
529747,nonequilibrium,streamwise,0.34253076956825
231096,critical,curvilinear,0.34256487706148364
501524,longitudinally,weightstrength,0.3425875378667505
241607,curvilinear,show,0.3426395067712892
106428,axially,good_agreement,0.3426541777719354
120581,beyond,curvilinear,0.3426549220719188
101816,away,thermodynamics,0.3427898321157685
76571,appreciably,streamwise,0.34284186147441775
329884,exactly,streamwise,0.3430306762538532
409159,half,thermodynamics,0.34316694055029956
106293,axially,earth,0.3432478077213131
533989,note,thermodynamics,0.34331175302560857
241059,curvilinear,end,0.34334439471155903
