,Row,Column,Value
4331811,crazy,ridiculous,0.9384460824651908
8241427,jackson,jordan,0.9384810421670683
6574685,fluid,liquid,0.9385084733864366
741692,allergic,closely,0.9385994916587657
9643192,neighbor,newer,0.9387271523791808
6039910,examine,regulate,0.9388316464630915
1142307,apparent,attempt,0.9388415575341114
5398785,drinking,spending,0.9388605935860347
5253343,divide,retrieve,0.9389387695822833
1079672,anyone_else,someone_else,0.93893992883279
699957,albert,walter,0.9389447120211994
3767527,complain,deliver,0.9389490168186422
5594750,effectively,properly,0.9389635211206729
8782642,limitation,relate,0.9390405499143225
6975086,germany_line,usa_line,0.9390673205476038
10626771,puzzle,trouble,0.9390859719117683
383392,accuse,complain,0.939173872706387
1937000,batter,neighbor,0.9392977769052298
9716278,nicely,strictly,0.9393050627367439
5578281,edward,richard,0.9393314917596748
4794381,deliver,divide,0.939344623905672
2938436,carrier,significantly,0.9393449132307192
743270,allergic,layer,0.939479823808248
7486095,henry,philip,0.9394858399320732
1713689,avoid,prevent,0.9394861048289175
3705049,commonly,rarely,0.939509613338047
3736140,comparable,significant,0.9395177343886136
4634011,dbd_urartusdpaorg,geb_cadredslpittedu,0.9395419541108219
3274477,chris,pete,0.9396170894058405
8083102,intention,limitation,0.9397116814014166
5592930,effectively,essentially,0.9397364327943354
8123515,intervention,suggestion,0.9398448032720826
6729311,frequent,rarely,0.9398575629256223
8647599,layer,outer,0.939875825976041
3334643,circle,puzzle,0.9398788707605394
5499085,easily,fully,0.9399202507248912
11415549,system_inc,technology_inc,0.940041941519896
7689181,huge,obvious,0.9400885965889358
8647000,layer,limitation,0.9401308690429314
3509395,closely,strictly,0.9401359714839871
7042542,glove,strictly,0.9401832259903697
6224955,extremely,strictly,0.9401849126705385
7388852,harvey,philip,0.9402361146132845
7042674,glove,tear,0.9402735970948303
1202497,appropriate,suitable,0.9403623520373561
9739319,nntppostinghost_accessdigexnet,world_nntppostinghost,0.9403814961742956
743506,allergic,mechanism,0.9405520011247653
2935540,carrier,contrary,0.9405575464070098
2924525,carl,karl,0.940571445844588
8403924,junk,stretch,0.9405832459893192
6222940,extremely,highly,0.9407744458951071
7031393,glenn,gordon,0.9407839944206491
2938157,carrier,retrieve,0.9407975262543342
918057,analyze,investigate,0.9408461277045661
7486584,henry,robert,0.9408867511789217
5777356,enforce,impose,0.9410690485404266
2092140,ben,harry,0.9410974393002688
2192262,binding,delivery,0.94117559179074
11096897,seizure,sweep,0.9412058083489407
7376920,harry,michael,0.9413583515137622
10859345,researcher,scientist,0.9413605682539058
1186427,appreciate,deserve,0.941490195282396
3405940,classify,restrict,0.9415172983991846
4798437,delivery,garage,0.9415435918508244
8647408,layer,newer,0.9415810358964108
11516392,tue_apr,wed_apr,0.9416120297086532
4082795,contrary,readily,0.9416476189412014
6345266,favorite,junk,0.941649095023548
11057772,scratch,treat,0.94167449748658
7387620,harvard,yale,0.9416919312297294
3838646,computer_graphic,silicon_graphic,0.9417196639843208
696281,albert,carl,0.9420449474147143
11302806,spy,sweep,0.9420584126854467
11523912,typically,usually,0.9421134750998126
945248,andrew,michael,0.9421239645131168
960457,andy,tommy,0.9421283340195457
10727893,reaction,response,0.9421614078029977
6183415,expose,reveal,0.9422065008507634
6341465,favor,favorite,0.9422498766538224
2518807,brett,eric,0.9423442250466302
9644512,neighbor,sweep,0.9423616542129962
10543029,program,project,0.9423645546494964
7672633,howard,morgan,0.9425011716057308
919422,analyze,retrieve,0.9425107082751165
2094116,ben,simon,0.9425146330093528
3603617,color,colour,0.9425287453050433
944342,andrew,gary,0.9426473781350018
9644358,neighbor,spy,0.9427184397925854
8151972,involve,involves,0.9427922472631117
10994121,s1,s6,0.9434222573209019
8609368,last_week,last_year,0.9435068980831935
10030562,ottawa,toronto,0.9436662423349614
741150,allergic,apparent,0.9437441159468872
6250576,fail,fails,0.943813652683489
10996314,s3,s6,0.943832695680882
7041037,glove,mechanism,0.9438835641526758
9980766,organization_express,organization_netcom,0.9438946606512832
10840283,replyto_serum,world_replyto,0.9440730521335375
1144259,apparent,layer,0.944158952012122
2092080,ben,greg,0.9443534850494595
11373168,substantial,sufficient,0.9443754416137633
9188322,meaningless,useless,0.9444168454512301
7798145,ii,iii,0.9444431703587173
8647386,layer,neighbor,0.9444965323249637
11533829,university_california,university_illinois,0.94453592788862
2935396,carrier,closely,0.9447735000437203
7387677,harvey,henry,0.9448771196121224
244684,able,unable,0.9449283754691745
6298325,fancy,junk,0.944937989009512
4796706,deliver,retrieve,0.9449477454980235
1147051,apparently,clearly,0.9453185522021433
6732310,frequently,regularly,0.9454676239250344
11464142,therefore,thus,0.945549540565068
9202537,mechanism,setup,0.9456712625890297
744382,allergic,receiver,0.9456943314534099
10337051,please_let,please_tell,0.9457493987153058
11354442,strictly,supposedly,0.9458270577979431
6038589,examine,investigate,0.9459054972235976
5392689,drink,eat,0.9459492428520825
6036490,exactly,precisely,0.9463105666469414
6520495,five,seven,0.9464030523922522
9001052,mainly,primarily,0.9464941678609955
917387,analyze,examine,0.9466838488473863
8648639,layer,stove,0.9469438389124907
2438405,bounce,swing,0.9469507345183323
10883525,restrict,restriction,0.946956581243027
9757703,normally,usually,0.9472036809250988
9188546,meaningless,worthless,0.9472364541521401
7481631,hence,therefore,0.9474005885073267
4794642,deliver,expose,0.9474277141530565
9643835,neighbor,receiver,0.9476368842303421
7100769,gordon,stewart,0.9477245130074807
11534142,university_georgia,university_illinois,0.9478246045725528
10471898,presumably,supposedly,0.9482190970364935
8782711,limitation,restrict,0.9482526540540106
8782712,limitation,restriction,0.948567835546434
6520561,five,six,0.9485681171853276
5714359,emission,limitation,0.9488280091449759
6859046,garbage,trash,0.949183786532876
7801026,iii,iv,0.9493715028247738
6071155,exclusively,primarily,0.9495622442075666
2937380,carrier,neighbor,0.949687626902039
1143774,apparent,habit,0.9499358717021085
7487579,henry,william,0.9505595488414328
8802531,line_nntppostinghost,nntppostinghost_accessdigexnet,0.9506286108734053
9811180,numerous,various,0.9506839989097062
6748080,friday,thursday,0.9506875917952531
11574536,week_ago,year_ago,0.950833949944452
11471986,threw,thrown,0.9511690079008065
3558564,coat,jacket,0.9513211542000902
7714645,hundred,thousand,0.9516570005275977
128206,4t,6t,0.9517980014700532
9865238,occasionally,sometimes,0.9520561279813662
6408087,female,male,0.9527462768287149
10128428,particularly,specifically,0.9529704463512864
118741,3t,4t,0.9529798764965358
9578048,na_nntppostinghost,usa_nntppostinghost,0.953024404903079
9578269,na_nntppostinghost,world_nntppostinghost,0.9537195398932299
7868882,importance,significance,0.9541300077676065
743714,allergic,neighbor,0.9541987906242847
741555,allergic,carrier,0.9542413330514616
4740930,defence,defense,0.9545805279393109
11188070,significant,substantial,0.9550940110562558
8347402,jonathan,simon,0.9559058453970389
3842858,computer_inc,system_inc,0.955937060384312
11187857,significant,significantly,0.9559760986003326
4851450,department_computer,dept_computer,0.9560721137994554
5996851,everybody,everyone,0.9566154665884494
1729278,awful,horrible,0.9566767979963081
9432523,month_ago,year_ago,0.9569966982493929
7336966,happen,happens,0.9571585050904481
11249100,somebody,someone,0.9582088085858744
3975472,considerably,significantly,0.9582968386626475
8593834,largely,primarily,0.9584394845250539
11017289,san_diego,san_francisco,0.9590176952118342
8604629,last_month,last_year,0.9595327347736177
1149044,apparently,obviously,0.9602392883215006
6732255,frequently,rarely,0.9603172900920547
3842896,computer_inc,technology_inc,0.960889941191173
9723280,nine,seven,0.961395858147103
741838,allergic,contrary,0.9614188801877329
11349617,strange,weird,0.9623490554970323
5622237,eight,seven,0.9626351594100688
8802457,line_nntppostinghost,na_nntppostinghost,0.9633653224734098
8604628,last_month,last_week,0.9652548015681583
10994120,s1,s3,0.9653121604467306
11142786,seven,six,0.9656861030703556
9979096,organization_california,organization_indiana,0.9660241756067135
3973440,considerably,greatly,0.966069141191634
10762549,recover,retrieve,0.966510785260722
9979099,organization_california,organization_ohio,0.9693667135639019
9979094,organization_california,organization_georgia,0.9696954537097575
9432398,month_ago,week_ago,0.9699318033600882
6821978,g_r,r_g,0.9703593881866278
7688843,huge,massive,0.9717214564762359
7641545,horrible,terrible,0.9720467791134325
10855618,research_center,research_institute,0.9728074056260932
9982544,organization_georgia,organization_ohio,0.9741909358157458
9982541,organization_georgia,organization_indiana,0.9744681374902339
9986073,organization_indiana,organization_ohio,0.9822386662979352
