,Row,Column,Value
1533,appreciate,compuserve,0.21494523649095082
4895,compuserve,greeting,0.22822271700690552
4883,compuserve,ee,0.23702227378706656
4930,compuserve,newer,0.23871593982370687
4896,compuserve,grey,0.24298932989499872
4967,compuserve,sam,0.24473141896759348
4937,compuserve,oo,0.24708084778116204
2175,bb,compuserve,0.25185492388973096
4870,compuserve,dakota,0.25253428415929385
4968,compuserve,sean,0.2546295089272042
4901,compuserve,inch,0.2570468822619648
4955,compuserve,preferably,0.257204311960095
4898,compuserve,hi,0.25845591106753835
3710,carsonuwashingtonedu,compuserve,0.2599624581908899
4977,compuserve,speaker,0.2606672550799472
4989,compuserve,tone,0.26594060617070253
4935,compuserve,obo,0.2664730238558549
2801,bought,compuserve,0.2675873342836598
4972,compuserve,sharp,0.2693639672868113
4872,compuserve,delaware,0.2712239956816016
875,amplifier,compuserve,0.2754134978999797
4887,compuserve,excellent_condition,0.2764227181530714
4985,compuserve,thanks,0.27976308533936123
2016,ave,compuserve,0.2818502318338082
4961,compuserve,receiver,0.28536352429007106
3108,brand,compuserve,0.28818764273372593
4923,compuserve,max,0.2882625421878868
4876,compuserve,di,0.2893138222209731
4881,compuserve,doc,0.2898488831934747
4999,compuserve,would_appreciate,0.29008232590750166
4997,compuserve,wm,0.2914728161620806
3561,buyer,compuserve,0.29338402271041025
4877,compuserve,dial,0.29620265593083894
4941,compuserve,packet,0.2964620828593527
3732,carsonuwashingtonedu,ext,0.2973307542920486
201,address,compuserve,0.29804760395303226
5000,compuserve,would_greatly,0.29922582917403656
4998,compuserve,wonder_anyone,0.30045872262989315
2490,beta,compuserve,0.30049302437838366
4879,compuserve,distribution,0.30188874113719766
4995,compuserve,wa,0.30286085110488525
4934,compuserve,oak,0.30469222965698484
4897,compuserve,hello,0.30613102765970823
2955,box,compuserve,0.3065877436758842
7820,ext,send_mail,0.30776450237812364
4943,compuserve,philip,0.30791430289734645
4440,chen,compuserve,0.30846693965810873
4982,compuserve,sw,0.30905632340696615
4906,compuserve,ip,0.3100004820736994
4957,compuserve,pro,0.3107488068115368
4969,compuserve,sell,0.3112155971422477
4916,compuserve,logo,0.31123578412199515
4962,compuserve,remote,0.3120045405126843
4926,compuserve,mm,0.31208972438438076
4908,compuserve,item,0.3123194389902335
4983,compuserve,sweden,0.312741527124875
4890,compuserve,fi,0.31335864339660924
5001,compuserve,would_like,0.3156463443993188
2333,best_offer,compuserve,0.31583393703039564
4920,compuserve,make_offer,0.3160480121916114
4914,compuserve,line_hi,0.31643190866873794
4963,compuserve,repost,0.31913224503961596
4954,compuserve,portable,0.3204145463193835
4966,compuserve,sale,0.32073868822879054
4296,channel,compuserve,0.3210395116614109
4936,compuserve,oliver,0.3245369248307062
4924,compuserve,min,0.3248628133281017
4956,compuserve,price,0.32601170665957857
4869,compuserve,could_someone,0.3263322013722073
708,amp,compuserve,0.32675506761522033
3433,british_columbia,ext,0.326856685138162
4939,compuserve,organization_ohio,0.3292236624263933
1370,anyone_know,compuserve,0.3293069064814993
3260,brand_new,compuserve,0.33008924870966605
4927,compuserve,mouse,0.33062028850988073
4976,compuserve,southern_california,0.3306425597577167
5006,compuserve,yellow,0.33125640559925645
4944,compuserve,phone_number,0.3320934178149895
5005,compuserve,xxxdate,0.33233968529392444
4988,compuserve,thanx,0.33416046512578823
4875,compuserve,der,0.33427817796552073
4583,cod,compuserve,0.3344451430430187
1063,ann_arbor,ext,0.3355978345146499
4918,compuserve,mail,0.33595618047124043
4945,compuserve,pl5,0.3361570891589061
4960,compuserve,rd,0.33643210280460767
4882,compuserve,dual,0.3372456308115769
4874,compuserve,department_computer,0.33758756775042925
4979,compuserve,stockholm,0.33761615837132675
4892,compuserve,forsale,0.33817002550218295
4925,compuserve,misc,0.3382776865256323
4878,compuserve,disc,0.3388284956259234
4991,compuserve,uucp,0.3388395268868167
4904,compuserve,interested,0.3405918080656773
5004,compuserve,xuseragent_nuntius,0.34098838556695416
4990,compuserve,ut,0.3418881060272539
7795,ext,please_contact,0.3437902518274387
4981,compuserve,super,0.3440413735455613
4910,compuserve,kit,0.34433588104112295
4953,compuserve,please_tell,0.34486735718649963
4880,compuserve,distribution_usa,0.3455560508520531
4948,compuserve,please_let,0.34559913579876855
4888,compuserve,ext,0.34564534671680225
1228,anybody_know,ext,0.3460247790923008
7819,ext,send_email,0.3460922396387266
7741,ext,forsale,0.34663140153253924
4964,compuserve,retail,0.3467013119065637
7797,ext,please_let,0.3469534977842291
4912,compuserve,let_know,0.34702345399473866
7793,ext,phone_number,0.3471341093462823
1206,anybody_know,compuserve,0.34721968205392056
5305,could_someone,ext,0.34782519163272413
1695,australia,compuserve,0.3482016884270965
7761,ext,let_know,0.348454824284975
4942,compuserve,ph,0.34852855090553075
6195,der,send_mail,0.3485399272641323
7498,email_address,ext,0.3489262422480876
7836,ext,thanks_help,0.34897770005502204
4931,compuserve,north_carolina,0.3499243138381999
7796,ext,please_email,0.3520588441997328
4984,compuserve,tech,0.3522324737628681
7843,ext,via_email,0.3529351902398869
4978,compuserve,stereo,0.35302942769644513
4929,compuserve,networking,0.3532637411714159
7847,ext,wonder_anyone,0.35356371966243094
4974,compuserve,software,0.35406514905738695
6116,der,forsale,0.35451874076408474
1392,anyone_know,ext,0.35504080810333816
7762,ext,line_hello,0.3559772760750114
7801,ext,please_send,0.3560423301335991
4915,compuserve,linear,0.35636296848086396
4903,compuserve,integrate,0.35679114899894443
7799,ext,please_reply,0.35745633700449486
4911,compuserve,lens,0.3575661597211358
7758,ext,keywords,0.3577597860003716
2355,best_offer,ext,0.358062018727564
7852,ext,x_x,0.35856785841827926
7850,ext,would_like,0.359310331089182
7853,ext,xuseragent_nuntius,0.3605736813761863
4891,compuserve,fm,0.3608632254775191
5028,compute_center,ext,0.36151447616136595
6227,der,x_x,0.36221165764954966
3411,british_columbia,compuserve,0.36317227791857337
7848,ext,would_appreciate,0.36506751691003747
4973,compuserve,shipping,0.3666451645068769
5167,computer_service,ext,0.36664746960603156
7825,ext,southern_california,0.3686551869312359
7780,ext,north_carolina,0.3689868848892488
4871,compuserve,dartmouthedu,0.36907824180654325
3420,british_columbia,der,0.3695138246066137
7800,ext,please_respond,0.3700790088176991
4965,compuserve,rf,0.3706825701530806
4959,compuserve,query,0.37147879050284316
7742,ext,ftp_site,0.37204932222182874
4933,compuserve,notebook,0.372231867610765
7788,ext,organization_ohio,0.3727660415078867
7798,ext,please_post,0.3736839858012194
5578,dartmouthedu,ext,0.37383475483064754
7767,ext,mail,0.3739807414367155
4873,compuserve,den,0.3740998212942437
5003,compuserve,x_x,0.37478419451441003
4889,compuserve,fax,0.3749997853829122
7786,ext,oo,0.3753249066052811
7769,ext,make_offer,0.37568348598292944
7763,ext,line_hi,0.3761152387832458
4917,compuserve,lp,0.3763857643861461
3858,cassette,compuserve,0.37685339584046573
371,advance,compuserve,0.3768609249360979
7835,ext,thanks_advance,0.3773737890110353
9921,isbn,would_like,0.3787270513185166
6117,der,ftp_site,0.3803629539234906
6170,der,please_contact,0.3807420424317514
4992,compuserve,version,0.3813542254071114
4958,compuserve,programmer,0.38164509069779307
4996,compuserve,watt,0.3817876645258275
7849,ext,would_greatly,0.3819736739848509
5851,den,forsale,0.3821066346368405
7618,excellent_condition,ext,0.38232352671166847
5980,department_computer,ext,0.38262939371178534
4940,compuserve,organization_purdue,0.38277453456704846
9923,isbn,x_x,0.3832527132005509
7851,ext,writes_hi,0.38346170975032884
3282,brand_new,ext,0.3840798741769659
4907,compuserve,isbn,0.3841870241652355
11438,min,send_mail,0.38439512462165965
3751,carsonuwashingtonedu,isbn,0.38440585121340276
4987,compuserve,thanks_help,0.384781803891038
4986,compuserve,thanks_advance,0.3857109672199959
5007,compuserve,zoom,0.38646104655253566
9891,isbn,send_mail,0.3868779651779943
7842,ext,version_pl8,0.38698746866023254
1053,ann_arbor,disc,0.38714468836068916
4951,compuserve,please_respond,0.3874613407402021
1160,ann_arbor,thanks,0.3879678260019053
683,amp,ann_arbor,0.38797110411153396
4005,catalog,compuserve,0.38858805270179747
1056,ann_arbor,doc,0.3887459285447664
4151,cd,compuserve,0.3894766938301045
8222,forsale,isbn,0.3899938790641949
7802,ext,please_tell,0.3902173580124323
