,Row,Column,Value
5693868,forgot,forgotten,0.9373181540989222
1894912,binding,mechanism,0.9373335263148348
4595448,douglas,ross,0.9373688462955386
5899089,gary,terry,0.9373739908829218
1887911,billion,million,0.9373907506034491
3506373,contrary,receiver,0.937483976710969
833205,andrew,peter,0.9375032515287245
6181105,greg,tony,0.9375043490613042
2874846,circle,symbol,0.9376040941716846
8099547,morgan,murphy,0.9376972490129067
7528490,limitation,significant,0.9377158969203412
660956,allergic,intention,0.9377232821280013
7401266,launcher,receiver,0.9377831560907713
6041953,glenn,ross,0.9378502654136172
1676157,batter,carrier,0.937918529839547
833215,andrew,philip,0.937998183008694
5344692,extremely,relatively,0.9380553909346862
8269787,neighbor,retrieve,0.9380642087229738
6334846,harmful,limitation,0.9381317091521233
8270161,neighbor,stove,0.9381557085854108
3892229,daily,weekly,0.9382063243946281
2095059,bought,gotten,0.938255504137154
661477,allergic,mistaken,0.9382582964395767
1001349,apparent,outer,0.9383335576516617
924201,anthony,philip,0.9383590813719828
1895467,binding,puzzle,0.9384405692412014
3723719,crazy,ridiculous,0.9384460824651908
7065970,jackson,jordan,0.9384810421670683
659613,allergic,closely,0.9385994916587657
8269257,neighbor,newer,0.9387271523791808
4636724,drinking,spending,0.9388605935860347
4510057,divide,retrieve,0.9389387695822833
947768,anyone_else,someone_else,0.93893992883279
623810,albert,walter,0.9389447120211994
3245323,complain,deliver,0.9389490168186422
4809304,effectively,properly,0.9389635211206729
9372255,robert,thomas,0.9389950370537935
7528204,limitation,relate,0.9390405499143225
5990629,germany_line,usa_line,0.9390673205476038
9110678,puzzle,trouble,0.9390859719117683
3191669,commonly,typically,0.9390926956741888
349519,accuse,complain,0.939173872706387
1678131,batter,neighbor,0.9392977769052298
8332409,nicely,strictly,0.9393050627367439
4793293,edward,richard,0.9393314917596748
4118871,deliver,divide,0.939344623905672
2534694,carrier,significantly,0.9393449132307192
661176,allergic,layer,0.939479823808248
6431866,henry,philip,0.9394858399320732
1483193,avoid,prevent,0.9394861048289175
3190715,commonly,rarely,0.939509613338047
3218269,comparable,significant,0.9395177343886136
3983887,dbd_urartusdpaorg,geb_cadredslpittedu,0.9395419541108219
2823335,chris,pete,0.9396170894058405
6937936,intention,limitation,0.9397116814014166
4807412,effectively,essentially,0.9397364327943354
6970991,intervention,suggestion,0.9398448032720826
5775896,frequent,rarely,0.9398575629256223
7412497,layer,outer,0.939875825976041
2874268,circle,puzzle,0.9398788707605394
4725150,easily,fully,0.9399202507248912
6605201,huge,obvious,0.9400885965889358
7411894,layer,limitation,0.9401308690429314
3019726,closely,strictly,0.9401359714839871
6049600,glove,strictly,0.9401832259903697
