,Row,Column,Value
84,pittsburgh_pa,stove,0.46267467820298797
50,electricity,pittsburgh_pa,0.5014878834080979
3,andrewcmuedu_subject,electricity,0.5162404141912309
24,carnegie_mellon,stove,0.5192377337979579
41,electrical,pittsburgh_pa,0.5342816636830571
31,electric,pittsburgh_pa,0.5360385970301003
71,microwave,pittsburgh_pa,0.53718285196654
12,andrewcmuedu_subject,stove,0.5374413038937784
2,andrewcmuedu_subject,electrical,0.5390024773438747
81,pittsburgh_pa,popular,0.54421906595435
15,carnegie_mellon,electricity,0.5453463834066368
13,carnegie_mellon,electric,0.5625661076187821
90,silverucsindianaedu,stove,0.564382220165672
65,freshman,pittsburgh_pa,0.5660435012217612
82,pittsburgh_pa,senior,0.5668371784826773
1,andrewcmuedu_subject,electric,0.567210700581838
58,fisher,pittsburgh_pa,0.5682259113828513
22,carnegie_mellon,senior,0.5709828842931852
53,electricity,silverucsindianaedu,0.5796885340764036
4,andrewcmuedu_subject,fisher,0.5828627970094099
83,pittsburgh_pa,silverucsindianaedu,0.590784079513887
21,carnegie_mellon,popular,0.5915716860338166
18,carnegie_mellon,microwave,0.5962036552421153
49,electricity,organization_indiana,0.5964136908169645
80,organization_indiana,stove,0.5965052106638818
14,carnegie_mellon,electrical,0.5984351218255897
23,carnegie_mellon,silverucsindianaedu,0.5987798422981038
61,fisher,silverucsindianaedu,0.6043112603372758
9,andrewcmuedu_subject,popular,0.6050085189012114
17,carnegie_mellon,freshman,0.6109731806026971
44,electrical,silverucsindianaedu,0.6138645017206514
47,electricity,freshman,0.616312014334318
54,electricity,stove,0.6220175281061452
6,andrewcmuedu_subject,microwave,0.6317603956669321
0,andrewcmuedu_subject,carnegie_mellon,0.6337051278877468
30,electric,organization_indiana,0.634820213968812
8,andrewcmuedu_subject,pittsburgh_pa,0.635709208711731
35,electric,stove,0.6434661339525727
40,electrical,organization_indiana,0.6458026017674747
5,andrewcmuedu_subject,freshman,0.6476915568925777
46,electricity,fisher,0.650136026428767
34,electric,silverucsindianaedu,0.6521286978652144
16,carnegie_mellon,fisher,0.6553779115293341
10,andrewcmuedu_subject,senior,0.658375295334709
86,popular,silverucsindianaedu,0.6614840439101154
28,electric,freshman,0.6624429526219331
68,freshman,silverucsindianaedu,0.6669287250534618
57,fisher,organization_indiana,0.6679446640072887
27,electric,fisher,0.6714101798631145
77,organization_indiana,popular,0.6719053509067445
69,freshman,stove,0.6755102706857938
52,electricity,senior,0.6787609963237207
88,senior,silverucsindianaedu,0.6818002322383202
38,electrical,freshman,0.6898486138767755
51,electricity,popular,0.6909221795934521
74,microwave,silverucsindianaedu,0.691899750406976
64,freshman,organization_indiana,0.7073912574268826
70,microwave,organization_indiana,0.7084050267585924
78,organization_indiana,senior,0.7097444376209677
55,fisher,freshman,0.7115877838915711
45,electrical,stove,0.7159460486391531
62,fisher,stove,0.7243350726041278
37,electrical,fisher,0.7289980333849775
32,electric,popular,0.7383106006924646
29,electric,microwave,0.7442102758083382
66,freshman,popular,0.745199174297605
33,electric,senior,0.7472469402433861
48,electricity,microwave,0.7483462824633573
60,fisher,senior,0.7488178018288673
63,freshman,microwave,0.749296866496291
87,popular,stove,0.7497130804303961
79,organization_indiana,silverucsindianaedu,0.7507613286862717
19,carnegie_mellon,organization_indiana,0.7585613392467649
43,electrical,senior,0.7667550998474875
56,fisher,microwave,0.774888093636572
42,electrical,popular,0.7781747130246468
85,popular,senior,0.7784713874214292
89,senior,stove,0.7791930142285753
76,organization_indiana,pittsburgh_pa,0.7837759890693115
59,fisher,popular,0.7930300490434374
73,microwave,senior,0.7966017324415604
75,microwave,stove,0.8031623095229166
11,andrewcmuedu_subject,silverucsindianaedu,0.8069922240279905
7,andrewcmuedu_subject,organization_indiana,0.8084507539322243
39,electrical,microwave,0.8102759659479413
26,electric,electricity,0.8136343766392551
20,carnegie_mellon,pittsburgh_pa,0.8182942063325016
72,microwave,popular,0.8333505727547488
67,freshman,senior,0.8501698950948646
25,electric,electrical,0.8802997910283719
36,electrical,electricity,0.8887848010486536
