,Row,Column,Value
1658721,batter,receiver,0.9358401188862318
8410627,occasionally,often,0.9358527286806421
9765139,thomas,william,0.9358887930934014
6614984,idiot,ridiculous,0.9358888581456197
7207488,kevin,terry,0.935911516712068
5876504,generic,specific,0.93592493764314
8734209,philip,richard,0.9359296944491106
1794537,ben,brett,0.9359348260291562
7902481,michael,robert,0.9359622025372497
6821588,install,restore,0.936018727759
2734780,charge,glove,0.9360401608613341
1795597,ben,jonathan,0.9360710233185445
5592894,follower,presence,0.9360759953796917
3998038,dean,greg,0.9361594473148458
1795820,ben,max,0.9362615369197638
3998091,dean,harry,0.9363031104629451
1089276,argue,justify,0.9364880234581345
8223036,neighbor,pixel,0.9365121388731887
8340327,notion,puzzle,0.9366158622512261
7181253,keith,larry,0.9366321783638866
5542418,flaw,outer,0.9367123836218805
2535451,carrier,glove,0.9367394102863926
9668948,stretch,wheel,0.9367830818316296
1794609,ben,cash,0.9368397844769231
5337377,fancy,stretch,0.9368667684628023
894782,anthony,michael,0.9368688974111806
6746274,indication,indicator,0.9369176052314105
9856615,weak,weakness,0.936973029421712
9091369,r3,r4,0.9369922519903886
9266448,restrict,retrieve,0.9371096143417655
6362455,henry,thomas,0.9371747552599642
6276821,harvey,norman,0.9372249451445491
7350588,launcher,neighbor,0.9372714855531928
649445,allow,allows,0.9372850545770608
1881900,binding,mechanism,0.9373335263148348
4568161,douglas,ross,0.9373688462955386
5820222,gary,terry,0.9373739908829218
1873809,billion,million,0.9373907506034491
3510139,contrary,receiver,0.937483976710969
6109545,greg,tony,0.9375043490613042
2881070,circle,symbol,0.9376040941716846
8052099,morgan,murphy,0.9376972490129067
7474858,limitation,significant,0.9377158969203412
640222,allergic,intention,0.9377232821280013
7351269,launcher,receiver,0.9377831560907713
5968864,glenn,ross,0.9378502654136172
1655983,batter,carrier,0.937918529839547
9330477,ross,stewart,0.9379597130603885
805461,andrew,philip,0.937998183008694
8223267,neighbor,retrieve,0.9380642087229738
6261341,harmful,limitation,0.9381317091521233
8223582,neighbor,stove,0.9381557085854108
3883035,daily,weekly,0.9382063243946281
6266100,harry,larry,0.9382541906720301
2092201,bought,gotten,0.938255504137154
969271,apparent,outer,0.9383335576516617
895240,anthony,philip,0.9383590813719828
1882646,binding,puzzle,0.9384405692412014
7003826,jackson,jordan,0.9384810421670683
8222799,neighbor,newer,0.9387271523791808
4609134,drinking,spending,0.9388605935860347
4485355,divide,retrieve,0.9389387695822833
916229,anyone_else,someone_else,0.93893992883279
605405,albert,walter,0.9389447120211994
9309299,robert,thomas,0.9389950370537935
7474510,limitation,relate,0.9390405499143225
5916862,germany_line,usa_line,0.9390673205476038
1658083,batter,neighbor,0.9392977769052298
4756425,edward,richard,0.9393314917596748
6361401,henry,philip,0.9394858399320732
3973343,dbd_urartusdpaorg,geb_cadredslpittedu,0.9395419541108219
2827772,chris,pete,0.9396170894058405
