,Row,Column,Value
3378,poulenc,use_propose,0.2823862313822718
1737,estimate_trading,poulenc,0.28682260644800034
3368,poulenc,shrs_earnings,0.2927100673507863
2112,grain_estimate,poulenc,0.29316863612059996
1866,federal_gain,poulenc,0.2978404296612066
3379,poulenc,v_shrs,0.30042767098438633
2229,inc_consumer,poulenc,0.30133153180380273
3366,poulenc,secondary,0.3045463640879269
3386,poulenc,year,0.3050272060416198
3387,poulenc,year_debt,0.30665555656410226
3321,play,poulenc,0.30704666989838725
3287,percent,poulenc,0.3071899270740766
3360,poulenc,rise_lt,0.3118641329412865
1107,debt_march,poulenc,0.3120002259807774
703,celanese,lt,0.3131307204315088
2556,lt,poulenc,0.3133679138967537
3179,onshore,poulenc,0.3144661747983158
3358,poulenc,purely,0.3178715799429091
3381,poulenc,voluntarily,0.3278986185185364
801,claimed,poulenc,0.32810719726926685
1181,debt_price,poulenc,0.32889589978489436
1929,firmly,poulenc,0.3291337956498281
2607,lt_plus,poulenc,0.3311308748276982
2397,leadership,poulenc,0.3361785011483353
1671,earnings,poulenc,0.3382375845551003
2342,journal,poulenc,0.3391055143112707
3374,poulenc,technically,0.3397290782400699
3363,poulenc,sabah,0.34039691716742215
1536,dole,poulenc,0.34211757696298006
54,4p,poulenc,0.34304218634657485
3382,poulenc,wale,0.3430799052151102
396,belt,poulenc,0.3437561148845555
1604,dominant,poulenc,0.34397049401805313
879,coalition,poulenc,0.3466201800276928
3102,nonperforming,poulenc,0.3509760402070232
141,75p,poulenc,0.3515672058551999
1991,foresee,poulenc,0.35197644861024463
3141,nothing,poulenc,0.3523200362876707
3372,poulenc,stream,0.35271365668852006
3369,poulenc,slack,0.3560534046781364
3380,poulenc,voiced,0.36076100263100874
3362,poulenc,ryan,0.3610173564738321
3357,poulenc,propose,0.3622852185241736
2979,merger,poulenc,0.3623203474084514
956,controversy,poulenc,0.3633620540538508
1326,departure,poulenc,0.3642866800537861
3356,poulenc,productivity,0.36592256962178943
3373,poulenc,sustainable,0.3672355286189278
561,boycott,poulenc,0.3688276728942085
3365,poulenc,sao,0.3694011009018772
2892,mechanically,poulenc,0.3695772613603282
3377,poulenc,upturn,0.3704207624849645
2657,lumber,poulenc,0.372359241325701
1378,dibona,lt,0.37358115099610384
2152,heyman,lt,0.3759010015108582
2052,fort,poulenc,0.3790901987913774
2801,massachusetts,poulenc,0.3819008944142187
3361,poulenc,roach,0.3833069013718655
1847,federal_gain,lt,0.38352325208888816
2549,lt,nonperforming,0.38381631914683206
1718,estimate_trading,lt,0.38451884592507946
1254,delors,poulenc,0.3851489012237307
2570,lt,shrs_earnings,0.3858717937331537
2286,issuance,poulenc,0.38680526065797904
3385,poulenc,wtc,0.3874719303060829
2093,grain_estimate,lt,0.38872719889567575
3364,poulenc,salt,0.38926201525640497
3367,poulenc,shipper,0.3894818088074868
2936,mees,poulenc,0.3910178712806306
2589,lt,year_debt,0.3912745655924303
3371,poulenc,southeastern,0.391747793853511
3355,poulenc,prev,0.3932551843295983
1397,dibona,poulenc,0.39333560024892394
227,alliance,poulenc,0.3936802868797479
1162,debt_price,lt,0.39381321868986563
2182,heyman,sao,0.39597362664303465
2451,libya,poulenc,0.3971643635182045
1088,debt_march,lt,0.3983353667285288
642,brace,poulenc,0.39843458288135947
479,bow,poulenc,0.4013246007834369
3375,poulenc,troy,0.40395381228353455
2580,lt,use_propose,0.40644996135501765
2588,lt,year,0.40668996520816153
3113,nonperforming,sao,0.4070068039615719
1467,distortion,poulenc,0.4074177762043829
3216,ortner,poulenc,0.40816018466539783
3376,poulenc,tunisia,0.4094170059631933
2210,inc_consumer,lt,0.4105713329191526
3384,poulenc,willy,0.41068192764620454
3676,sao,v_shrs,0.41079789232545866
733,celanese,sao,0.41163307697544116
2581,lt,v_shrs,0.412851620668124
2706,m3,poulenc,0.41296844829894375
3252,penn,poulenc,0.41310106259973217
1748,estimate_trading,sao,0.41620676487678604
722,celanese,poulenc,0.41716885592882186
3675,sao,use_propose,0.419277235076174
1802,exploratory,poulenc,0.41972261107783354
3021,minn,poulenc,0.4203510104472024
3665,sao,shrs_earnings,0.4205973954190915
122,75p,lt,0.4214266249307109
2240,inc_consumer,sao,0.4231676586373483
3683,sao,year,0.423844661235384
3370,poulenc,slim,0.4249241733021011
152,75p,sao,0.42501524818562975
2504,lombard,poulenc,0.428425240798032
3684,sao,year_debt,0.4295976453565516
3359,poulenc,reuter,0.4317784447281947
1877,federal_gain,sao,0.43182608244778453
2543,lt,matheson,0.43210695861129383
173,75p,year,0.4338738342839886
2123,grain_estimate,sao,0.43464435866493056
2002,foresee,sao,0.43488103435384506
2618,lt_plus,sao,0.43546634510649546
2432,libya,lt,0.43638455779186014
1032,cuban,poulenc,0.43767141045271046
115,75p,heyman,0.4386035665168535
2183,heyman,secondary,0.43915360238506385
2545,lt,mees,0.4391967081435344
1813,exploratory,sao,0.43975949604511033
2169,heyman,percent,0.440570429922177
65,4p,sao,0.44199241309188847
1972,foresee,lt,0.4439956328328979
1783,exploratory,lt,0.4470288538473737
1192,debt_price,sao,0.44810494345123286
3680,sao,warplane,0.4490446921109629
754,celanese,year,0.449056873688359
2754,margoshes,poulenc,0.4499431729999226
312,automobile,poulenc,0.45036906794857634
716,celanese,nothing,0.4520231514033113
2541,lt,margoshes,0.45212123058019466
3383,poulenc,warplane,0.45373774800207634
2297,issuance,sao,0.4538222270551268
2147,heyman,issuance,0.454143317980953
2847,matheson,poulenc,0.45597832314005404
1118,debt_march,sao,0.4562703338554209
1517,dole,lt,0.45698709894361345
3062,modern,poulenc,0.4571700665721533
1081,debt_march,heyman,0.4583298179460158
3542,rise_lt,sao,0.4591776991114883
2563,lt,roach,0.459456212931857
2203,heyman,year,0.459964438716583
2565,lt,sabah,0.460066727213961
2476,libya,v_shrs,0.46061327299103977
2578,lt,tunisia,0.4610319574950364
94,75p,celanese,0.46190926949175154
2584,lt,wale,0.4627156421433881
1645,earnings,heyman,0.46301284608175824
35,4p,lt,0.465008090029168
595,brace,celanese,0.4659609722497974
2170,heyman,play,0.46622522010057177
3852,tunisia,v_shrs,0.4675946165388408
1547,dole,sao,0.4676577928362424
3568,roach,sao,0.4678353029811593
729,celanese,roach,0.4702568734935641
1834,exploratory,year,0.4718038108169411
720,celanese,percent,0.47210374098052427
2175,heyman,purely,0.4723259011112588
1781,exploratory,libya,0.4727076585273956
28,4p,heyman,0.47300736635236873
2311,issuance,v_shrs,0.47338034925425887
165,75p,use_propose,0.4734267962221327
120,75p,libya,0.473604714743917
2196,heyman,v_shrs,0.47549298846956317
2538,lt,lt_plus,0.4759772740537931
2585,lt,warplane,0.4771713877952377
2185,heyman,shrs_earnings,0.47735071420312003
2267,issuance,lt,0.4779094143143271
2195,heyman,use_propose,0.4783412348333883
2576,lt,technically,0.4793486597886671
1840,federal_gain,heyman,0.479661201190574
744,celanese,tunisia,0.47987584259437477
163,75p,tunisia,0.4820951528157363
3679,sao,wale,0.48227243861529684
2858,matheson,sao,0.4831826196676583
3908,warplane,year,0.4832037227329242
1965,foresee,heyman,0.48357534490540593
2150,heyman,libya,0.4845780671786349
1711,estimate_trading,heyman,0.4848838075629341
696,celanese,heyman,0.4849885662876802
1578,dominant,heyman,0.4852075529979657
2542,lt,massachusetts,0.48579741997195125
2579,lt,upturn,0.4868028797499216
3682,sao,wtc,0.4868808376791196
148,75p,roach,0.48689239607895685
2165,heyman,nothing,0.4869735299057971
734,celanese,secondary,0.4874881537292789
2293,issuance,roach,0.48771861909208114
701,celanese,libya,0.4877242802287508
2190,heyman,sustainable,0.48786729974921805
2200,heyman,warplane,0.48802116988320626
2204,heyman,year_debt,0.4881018830347192
2275,issuance,mees,0.48849282004596745
103,75p,dibona,0.48880893630198174
2177,heyman,rise_lt,0.4888173492170848
432,bow,celanese,0.48924475344166474
134,75p,nonperforming,0.48964926190118074
3671,sao,technically,0.4899049524345287
2193,heyman,tunisia,0.4899630433464626
2174,heyman,propose,0.48999118236600636
