,Row,Column,Value
7366268,indication,indicator,0.9369176052314105
4829758,disruption,peripheral,0.936928480876592
802147,analysis,evaluation,0.9369569477064114
10575766,weak,weakness,0.936973029421712
9348416,peripheral,synthetic,0.9369813695392414
4828091,disruption,exceeds,0.9369830675328359
9971622,restrictive,sugarcane,0.9370661012696241
1836198,behalf,downward,0.9370839911153332
6887227,hardship,intention,0.9370884873976846
6429298,ftc,nmic,0.9370891585032777
6896931,harold,kenneth,0.9371410429365947
4079925,credibility,fiber,0.9371471120893735
7013458,henry,thomas,0.9371747552599642
920756,apparent,disruption,0.937190924766268
4192741,curb,stretch,0.9372414359950747
5000862,downward,regain,0.9373345699914041
4987707,douglas,ross,0.9373688462955386
3783401,container,delivery,0.9373819342339069
1940838,billion,million,0.9373907506034491
46255,absorb,sentiment,0.9373952643030885
3842157,contrary,stance,0.9374371383857127
7512925,intention,stance,0.9375104954127778
1213760,assessment,measurement,0.9375555547713605
8744108,morgan,murphy,0.9376972490129067
8133738,limitation,significant,0.9377158969203412
6047766,fifth,sixth,0.9378956047704763
9348345,peripheral,strict,0.9379437716004373
7531010,interfere,intervene,0.9379553852572604
10053453,ross,stewart,0.9379597130603885
5826698,extremely,relatively,0.9380553909346862
2676552,carrier,strict,0.9381253500100944
8704754,monday,wednesday,0.9381276153239136
6894541,harmful,limitation,0.9381317091521233
4828791,disruption,intention,0.9381630807339091
4251324,daily,weekly,0.9382063243946281
4831224,disruption,vegetable,0.9382938926751232
8476959,mechanism,resin,0.9382972267813936
5447959,enormous,suburban,0.9383165689153329
3784143,container,grain,0.938391179142011
8099626,licensing,regulatory,0.9384158184521563
2274746,broker,container,0.9384371048878801
3707170,considerable,gallon,0.9384517857430652
7659761,jackson,jordan,0.9384810421670683
10073898,rumor,unexpected,0.9385820747837652
9582280,pricing,transition,0.9386329524610135
9838147,recover,revive,0.9386683608386351
4183723,cuban,venezuelan,0.9386875918648085
6694850,grain,grocery,0.9387538580543813
3708931,considerable,significantly,0.9387689974401864
2674678,carrier,keen,0.9387862707089863
4634337,deterioration,janeiro,0.938935452920469
6889386,hardship,vegetable,0.9389496546855137
10037659,robert,thomas,0.9389950370537935
2673904,carrier,facilitate,0.939042906812202
3539173,comprises,consists,0.9391198529847169
6029972,fiber,plastic,0.9391323449173812
4453714,deficit,exceeds,0.9391695548498091
5827188,extremely,suburban,0.9392016143972575
3709952,considerably,dramatically,0.9392990996127961
2676335,carrier,significantly,0.9393449132307192
5790482,extend,extends,0.9394067221272306
1878572,berlin,vienna,0.9394068321008463
920733,apparent,dipped,0.939461944269198
7012572,henry,philip,0.9394858399320732
9838035,recover,regain,0.9394984357283349
3456520,comparable,significant,0.9395177343886136
8417503,massive,suburban,0.9395306041231866
10407185,suburban,synthetic,0.9395563951442938
6887480,hardship,limitation,0.9396166126178945
7511697,intention,limitation,0.9397116814014166
5269758,effectively,essentially,0.9397364327943354
3786966,container,warehouse,0.9397514642549263
36683,absence,presence,0.9398286576319862
7564095,intervention,suggestion,0.9398448032720826
5156306,easily,fully,0.9399202507248912
4140806,crucial,significant,0.9399324621575439
920969,apparent,exceeds,0.9399777702865839
6368721,franklin,ross,0.9399801626683087
43566,absorb,convenience,0.9400115633676631
3221373,closely,strictly,0.9401359714839871
5827170,extremely,strictly,0.9401849126705385
9556766,presence,vegetable,0.9402917462334809
964179,appropriate,suitable,0.9403623520373561
1119498,arrival,arrive,0.9403761397091708
8041125,lending,mechanism,0.94038337999863
6428678,ftc,ibc,0.9404269580408033
9627460,productive,profitable,0.9404979395458486
9861850,regain,revive,0.9405175337713029
1011367,arbitrage,arbitrager,0.9405436818401104
2673268,carrier,contrary,0.9405575464070098
2651025,carl,karl,0.940571445844588
10517373,transport,transportation,0.9406738090171031
46489,absorb,stick,0.9410179403049413
1951085,binding,delivery,0.94117559179074
4000910,counterpart,revive,0.9412209822294848
3864823,convenience,sentiment,0.9412653981590111
3706769,considerable,dramatically,0.9412763375772863
9876449,regulatory,structural,0.9413056776742521
5730470,expectation,stance,0.9413336294336387
6874719,harbor,harbour,0.9414544036425215
1676461,barnes,howard,0.9415177630296618
989541,april_record,record_march,0.9415403215711904
922406,apparent,plea,0.9418199301426449
1212797,assessment,evaluation,0.9418787923019339
3750533,constitute,sustain,0.9419716536604306
5729956,expectation,regain,0.9420254928224465
522316,albert,carl,0.9420449474147143
7191387,huge,suburban,0.9420830002447008
9797518,reaction,response,0.9421614078029977
920187,apparent,bros,0.9423578360447793
9637431,program,project,0.9423645546494964
7170785,howard,morgan,0.9425011716057308
9458754,plea,stance,0.9426308809868519
8710871,money_market,money_supply,0.9427835061090649
7584383,involve,involves,0.9427922472631117
6366923,franklin,harris,0.9429026195130785
4513019,delivery,shipment,0.943237348107445
9348360,peripheral,suburban,0.9432905377117282
7964125,last_week,last_year,0.9435068980831935
43829,absorb,dismiss,0.943583137157233
9155157,ottawa,toronto,0.9436662423349614
9247717,partially,partly,0.9438822674805079
9541763,prediction,pricing,0.9439040326701591
8566108,michael,thomas,0.9439343915090623
10394256,strict,suburban,0.9441341712678569
9390717,philip,robert,0.9441343390612444
6087016,finance_minister,finance_ministry,0.944156871210552
5730052,expectation,restrictive,0.9443005073556833
10232112,shortage,subsidy,0.944321114632373
921212,apparent,gallon,0.9444504625803897
2673090,carrier,closely,0.9447735000437203
4175009,ctc,pcc,0.9449027676253996
9347928,peripheral,residual,0.9451672512775368
924166,apparently,clearly,0.9453185522021433
4766313,disappointed,pleased,0.9453533428106893
6888446,hardship,regain,0.9455350997764175
10482378,therefore,thus,0.945549540565068
10395091,strictly,unusually,0.9455596720967026
3708930,considerable,significant,0.9456988605801429
5640305,examine,investigate,0.9459054972235976
1838325,behalf,stance,0.9459280212028593
5650360,exceeds,regain,0.9460315587870636
10349172,stabilisation,stabilise,0.9462042446579522
7170496,howard,leonard,0.9462991385696236
8565196,michael,philip,0.9463292045181309
46519,absorb,stretch,0.94634906765023
8291267,mainly,primarily,0.9464941678609955
6888778,hardship,shortage,0.9465148902208063
1952145,binding,lending,0.9466786559121974
2179460,breakup,recession,0.9468588137789662
8966180,normally,usually,0.9472036809250988
4455584,deficit,regain,0.9476256184282761
5674675,exchange_rate,interest_rate,0.9477908183012074
8133426,limitation,restrict,0.9482526540540106
8982634,northwest,southwest,0.948509907204386
8133427,limitation,restriction,0.948567835546434
2675942,carrier,relatively,0.948637543410422
920090,apparent,behalf,0.9486810910428911
6028371,fiber,fibre,0.9486942608440647
5722835,expand,extend,0.9487071097054394
5338079,eleven,ten,0.9487966584909893
8237965,lower,upper,0.9489196406037717
10497036,told_news,told_reporter,0.949125785268191
7262013,iii,iv,0.9493715028247738
10013802,richard,robert,0.9494845776554264
5697105,exclusively,primarily,0.9495622442075666
7400632,inflow,outflow,0.9495847789290953
8979178,northeast,southeast,0.9498405258717268
10414402,sugarcane,tackle,0.9501571815744674
6141936,first_half,second_half,0.9503911147686734
6398067,friday,thursday,0.9506875917952531
2785293,ccc,ctc,0.9507176654406932
5024175,dramatically,significantly,0.9508754305892902
10544451,unidentified,unnamed,0.9508963861750874
10251890,significantly,strictly,0.952306303355694
10251909,significantly,substantially,0.9525550994669318
989540,april_record,record_april,0.9526538955465896
10394238,strict,strictly,0.9527955761264889
3709107,considerable,substantial,0.9528117929326241
3712543,considerably,substantially,0.9528388655892512
9254502,particularly,specifically,0.9529704463512864
2298799,brother,sister,0.9534126221490117
8704542,monday,tuesday,0.953446673017302
10307939,southeast,southwest,0.953722092649433
3335091,colombian,venezuelan,0.9540879242089169
10251116,significant,substantial,0.9550940110562558
9637429,program,programme,0.9556647639262671
4828538,disruption,hardship,0.9559331739359714
10250910,significant,significantly,0.9559760986003326
5022070,dramatically,greatly,0.9561005032028416
8207695,long_term,short_term,0.9570218803588909
3706452,considerable,considerably,0.9571755205868163
3712336,considerably,significantly,0.9582968386626475
7949993,largely,primarily,0.9584394845250539
4824593,disrupt,disruption,0.9585002098141628
926156,apparently,obviously,0.9602392883215006
3707241,considerable,greatly,0.9629794436586904
7959721,last_month,last_week,0.9652548015681583
3710474,considerably,greatly,0.966069141191634
3180905,clearly,obviously,0.9682737514428101
