,Row,Column,Value
137,caesar_world,coniston,0.40380796121804363
268,coniston,resort,0.4277860605827706
578,resort,sosnoff,0.43944300597210345
224,cheung,coniston,0.4457092900851646
258,coniston,hilton,0.45612662841608786
106,caesar,coniston,0.4591659651477035
257,coniston,gluck,0.4608431310655658
271,coniston,sm,0.47071149397454753
259,coniston,hotel,0.4719778325168527
262,coniston,ksz,0.47475277514397646
275,coniston,trump,0.4750236150399272
272,coniston,sosnoff,0.4754960987621776
255,coniston,ferris,0.47589503986292814
263,coniston,mt,0.4779464587464505
470,insured,sosnoff,0.4788408405927567
74,barbara,coniston,0.48007926363260417
277,coniston,vms,0.4823642291566398
265,coniston,pilot,0.48513537297674136
261,coniston,kong,0.4853261221033807
158,caesar_world,sosnoff,0.48647029118096874
518,mt,sosnoff,0.48866374509464305
253,coniston,donald,0.49402306710866617
167,casino,coniston,0.5004947121217598
409,gluck,resort,0.5009053259362005
267,coniston,puerto,0.5012617330028913
260,coniston,insured,0.5019008427476159
568,puerto,sosnoff,0.5020032588301659
270,coniston,showboat,0.5030828758593
503,ksz,sosnoff,0.5031803626183929
127,caesar,sosnoff,0.5076429473327706
276,coniston,ual,0.5078838122732934
487,kong,sosnoff,0.5117045467221752
188,casino,sosnoff,0.5120426664779527
452,hotel,sosnoff,0.5128593002026375
7,allegis,coniston,0.513499950727242
433,hilton,sosnoff,0.5138141426430324
245,cheung,sosnoff,0.5139535446841839
217,caw,sosnoff,0.514440541461038
401,gluck,insured,0.516419591799353
254,coniston,evergo,0.5165946706078636
264,coniston,mthly,0.5187444949876711
274,coniston,transworld,0.5196323164747058
41,bally,coniston,0.5210703281653501
595,showboat,sosnoff,0.5214947421823098
62,bally,sosnoff,0.5229276177803731
252,coniston,crosby,0.5243868046915902
532,mthly,sosnoff,0.5265431021671322
602,sm,sosnoff,0.5277420705871145
95,barbara,sosnoff,0.5286114911881286
611,sosnoff,trump,0.5304807982487395
613,sosnoff,vms,0.5305386223105232
545,pilot,sosnoff,0.5337941387387019
196,caw,coniston,0.5340118554495896
266,coniston,pratt,0.5341524060050289
506,ksz,trump,0.5352738498973195
612,sosnoff,ual,0.5377037330688856
413,gluck,sosnoff,0.5380205994265101
117,caesar,ksz,0.5414298093523946
609,sosnoff,southmark,0.5415518531568765
28,allegis,sosnoff,0.5428153990071946
146,caesar_world,insured,0.5450057146844404
557,pratt,sosnoff,0.5471021156376593
70,barbara,caesar_world,0.5481176090486931
269,coniston,rico,0.5482987450720039
610,sosnoff,transworld,0.5495388686115934
323,donald,sosnoff,0.5508101987502954
24,allegis,resort,0.5513005513132072
460,insured,ksz,0.5523145820722741
498,ksz,puerto,0.5559363834652038
273,coniston,southmark,0.5579787677322554
14,allegis,hilton,0.5581458085890537
423,hilton,ksz,0.559013542677411
235,cheung,ksz,0.5598698958738293
132,caesar,vms,0.5615297582185854
392,franklin,sosnoff,0.5619557170111412
298,crosby,sosnoff,0.5630618855559182
278,coniston,westin,0.5638538114497267
499,ksz,resort,0.5643872174595632
614,sosnoff,westin,0.5657358826409855
337,evergo,ksz,0.5659835589472874
31,allegis,trump,0.5686240940695486
587,rico,sosnoff,0.5700618783626742
404,gluck,mt,0.570207192463132
16,allegis,insured,0.5708573196027538
399,gluck,hilton,0.5713288464941414
213,caw,resort,0.5735921491023911
313,donald,ksz,0.5737839934535144
408,gluck,puerto,0.5739287061135459
477,kong,ksz,0.5768498731874684
583,resort,vms,0.5769106130083298
173,casino,gluck,0.5776157413268472
405,gluck,mthly,0.5804443103717168
403,gluck,ksz,0.5814613182010999
573,puerto,vms,0.5821213966774456
347,evergo,sosnoff,0.5838769342023838
370,ferris,sosnoff,0.5851224049189359
123,caesar,resort,0.5855706436835477
143,caesar_world,gluck,0.586123470360907
50,bally,insured,0.5863349420190338
148,caesar_world,ksz,0.5874953202129315
18,allegis,ksz,0.587803020794192
58,bally,resort,0.5880818067437685
85,barbara,ksz,0.5887847757288722
625,trump,vms,0.5894042266295333
406,gluck,pilot,0.590521328669332
343,evergo,resort,0.591501712036
496,ksz,pilot,0.5923177019274739
400,gluck,hotel,0.5923351938364324
17,allegis,kong,0.5926612579822326
1,allegis,barbara,0.5940640134636369
360,ferris,ksz,0.5943428740406208
149,caesar_world,mt,0.594467352844769
112,caesar,gluck,0.5950853457512336
100,barbara,vms,0.5960241083952298
475,insured,vms,0.5963147078896188
256,coniston,franklin,0.5973571938228502
136,caesar_world,cheung,0.5976063556358072
8,allegis,crosby,0.5979562146199912
418,gluck,vms,0.5980785257078408
250,cheung,vms,0.5984420252784395
288,crosby,ksz,0.5993330110137723
355,ferris,gluck,0.6000239859627238
438,hilton,vms,0.6010070656149982
410,gluck,rico,0.6011901056166032
205,caw,insured,0.6019324242242263
6,allegis,cheung,0.6022590546613164
80,barbara,gluck,0.6027939836817889
492,kong,vms,0.6034160928380607
202,caw,gluck,0.6050536216951509
19,allegis,mt,0.6068940614946883
494,ksz,mt,0.6072927114200679
421,hilton,insured,0.6079443650858857
501,ksz,showboat,0.6088054059912312
23,allegis,puerto,0.6102875924234767
495,ksz,mthly,0.6104851485498886
412,gluck,sm,0.6112407037042027
153,caesar_world,puerto,0.6125408056880909
504,ksz,southmark,0.6142083984935379
303,crosby,vms,0.6142819564442731
178,casino,ksz,0.6147051583014768
500,ksz,rico,0.6152273459223018
283,crosby,gluck,0.6156735072407036
91,barbara,resort,0.6165069357216452
2,allegis,caesar,0.6166228188127922
144,caesar_world,hilton,0.6168730938029098
416,gluck,trump,0.616876206261255
163,caesar_world,vms,0.6170552083467792
497,ksz,pratt,0.6173552812416054
461,insured,mt,0.6181097275784316
157,caesar_world,sm,0.6184566863951406
104,caesar,caw,0.6187141397610444
335,evergo,insured,0.6190555660163352
466,insured,resort,0.6191754334865167
474,insured,ual,0.6192458669688984
138,caesar_world,crosby,0.6196174269741942
469,insured,sm,0.6203650715906938
52,bally,ksz,0.6211772931373561
77,barbara,evergo,0.6213359211824127
509,ksz,westin,0.6214354359679133
230,cheung,gluck,0.6220204393522661
161,caesar_world,trump,0.6224795981868395
468,insured,showboat,0.622829803279032
294,crosby,resort,0.6229116877811354
9,allegis,donald,0.623722127859738
581,resort,trump,0.6240937455930194
505,ksz,transworld,0.6245254545484153
83,barbara,insured,0.6257476316889821
382,franklin,ksz,0.6257776143768973
241,cheung,resort,0.6261344600304205
483,kong,resort,0.626533016822435
462,insured,mthly,0.6273235205254735
402,gluck,kong,0.6286205721654144
502,ksz,sm,0.6286292859359975
36,bally,caesar,0.6286446573429206
328,donald,vms,0.6291368004390705
139,caesar_world,donald,0.6294985517387216
20,allegis,mthly,0.6295219207091757
417,gluck,ual,0.6302696225908558
411,gluck,showboat,0.6305295270030977
308,donald,gluck,0.6310850243803482
147,caesar_world,kong,0.6311490411908598
4,allegis,casino,0.631545053612292
375,ferris,vms,0.6317944948613161
584,resort,westin,0.6320081533396346
27,allegis,sm,0.6322918821530283
366,ferris,resort,0.6339039459655411
333,evergo,hilton,0.6340183226528172
523,mt,vms,0.6344218369863027
200,caw,ferris,0.636237692186455
197,caw,crosby,0.6363251996435325
407,gluck,pratt,0.6363500193830312
93,barbara,showboat,0.6372104262447831
141,caesar_world,ferris,0.6374643369487861
48,bally,hilton,0.6374955193262768
476,insured,westin,0.6378110888380699
582,resort,ual,0.6386927352531135
115,caesar,insured,0.6398943406390887
352,evergo,vms,0.6399192527337628
193,casino,vms,0.6400506167419164
99,barbara,ual,0.6401285638880896
