,Row,Column,Value
1916757,ben,cash,0.9368397844769231
7367341,indication,indicator,0.9369176052314105
4891112,disruption,peripheral,0.936928480876592
10533316,weak,weakness,0.936973029421712
9334237,peripheral,synthetic,0.9369813695392414
4889607,disruption,exceeds,0.9369830675328359
1891215,behalf,downward,0.9370839911153332
6898067,harold,kenneth,0.9371410429365947
4102059,credibility,fiber,0.9371471120893735
7012845,henry,thomas,0.9371747552599642
1007061,apparent,disruption,0.937190924766268
2740556,carrier,divide,0.937215709876434
4214415,curb,stretch,0.9372414359950747
9835588,regain,retains,0.937321462604962
2032695,binding,mechanism,0.9373335263148348
5064176,downward,regain,0.9373345699914041
5048764,douglas,ross,0.9373688462955386
3805768,container,delivery,0.9373819342339069
2021032,billion,million,0.9373907506034491
54505,absorb,sentiment,0.9373952643030885
1384851,attempt,stance,0.937432561315592
3855121,contrary,stance,0.9374371383857127
900536,andrew,peter,0.9375032515287245
7503694,intention,stance,0.9375104954127778
1293699,assessment,measurement,0.9375555547713605
9834531,refuse,resist,0.937579616954336
3132417,circle,symbol,0.9376040941716846
8704349,morgan,murphy,0.9376972490129067
10512560,upward,upwards,0.9377020280197468
10432640,ten,twelve,0.9377298978822133
2743441,carrier,weigh,0.9378318571941942
9334147,peripheral,strict,0.9379437716004373
7522537,interfere,intervene,0.9379553852572604
10032462,ross,stewart,0.9379597130603885
900546,andrew,philip,0.937998183008694
5862147,extremely,relatively,0.9380553909346862
8218376,louis,pierre,0.9380560934681144
2743013,carrier,strict,0.9381253500100944
4890246,disruption,intention,0.9381630807339091
4261457,daily,weekly,0.9382063243946281
5487582,enormous,suburban,0.9383165689153329
3806446,container,grain,0.938391179142011
882232,analysis,assessment,0.9384163448363158
2356001,broker,container,0.9384371048878801
3731531,considerable,gallon,0.9384517857430652
7643923,jackson,jordan,0.9384810421670683
4889887,disruption,garment,0.938493190346787
10145738,selective,synthetic,0.9387041790675775
3733382,considerable,significantly,0.9387689974401864
2741458,carrier,keen,0.9387862707089863
1006231,apparent,attempt,0.9388415575341114
4662309,deterioration,janeiro,0.938935452920469
584328,albert,walter,0.9389447120211994
3512682,complain,deliver,0.9389490168186422
10019659,robert,thomas,0.9389950370537935
5507615,entertain,reinforce,0.9390296207266947
8123616,limitation,relate,0.9390405499143225
2740814,carrier,facilitate,0.939042906812202
3565958,comprises,consists,0.9391198529847169
4467481,deficit,exceeds,0.9391695548498091
5862668,extremely,suburban,0.9392016143972575
4521088,deliver,divide,0.939344623905672
2742848,carrier,significantly,0.9393449132307192
1891655,behalf,garment,0.9393979965093009
1947123,berlin,vienna,0.9394068321008463
1007032,apparent,dipped,0.939461944269198
7011800,henry,philip,0.9394858399320732
9803543,recover,regain,0.9394984357283349
3477100,comparable,significant,0.9395177343886136
8393604,massive,suburban,0.9395306041231866
10375631,suburban,synthetic,0.9395563951442938
6519059,garment,regain,0.9395890208030873
7502215,intention,limitation,0.9397116814014166
4354099,deadline,mechanism,0.9397269681875887
3808979,container,warehouse,0.9397514642549263
5205993,easily,fully,0.9399202507248912
4170017,crucial,significant,0.9399324621575439
1007271,apparent,exceeds,0.9399777702865839
6389711,franklin,ross,0.9399801626683087
51885,absorb,convenience,0.9400115633676631
2743208,carrier,tractor,0.9401878870941327
4467507,deficit,expectation,0.9402221314253459
5406724,emphasize,insist,0.940253140575088
4682932,develop,develops,0.9403017712300812
8025159,lending,mechanism,0.94038337999863
9746604,rapidly,steadily,0.9404042599990572
5370004,eleven,six,0.9404346526829689
1384388,attempt,regain,0.9404398609442801
9597071,productive,profitable,0.9404979395458486
