,Row,Column,Value
7109,dsp,hour,0.22385053462039226
7220,dsp,week_week,0.2304588689803471
3779,chapter,dsp,0.24216638277411456
7170,dsp,read_chapter,0.2468113528864478
7213,dsp,tuesdai_thursdai,0.2496130642255222
7144,dsp,offic_hour,0.250597719507504
7187,dsp,sieg,0.25218144665100567
1517,arithmet,dsp,0.2583463509399285
7135,dsp,mondai_wednesdai,0.26626663392932653
7116,dsp,late_assign,0.27054672891591813
12084,isbn,midterm_final,0.27136431751296614
7189,dsp,solut_homework,0.2740232881933856
7095,dsp,frequent_ask,0.2751561691687617
2582,assign_due,dsp,0.27618850088881297
787,answer_question,dsp,0.2764236514063515
7160,dsp,prentic_hall,0.276818940469865
7139,dsp,noon,0.277033603650143
5087,common_lisp,dsp,0.27879283487117246
7152,dsp,permiss,0.28009762678126343
7221,dsp,weekli,0.28276058367006535
4441,class_meet,dsp,0.28367615393746476
7209,dsp,topic_cover,0.2852129502005922
7183,dsp,section_section,0.2860269910495922
7133,dsp,mon,0.28762190493036865
7107,dsp,homework_homework,0.28787859331595644
7126,dsp,meet_time,0.2878956610925357
2407,assign_assign,dsp,0.28844832871805337
7198,dsp,teach_assist,0.2888859726838872
7090,dsp,fall_instructor,0.29038635234046617
7151,dsp,penalti,0.2905925003649912
7201,dsp,term_project,0.29127406599459427
7212,dsp,tuesdai,0.291946215849431
7077,dsp,due,0.2929812403913296
6929,drop,dsp,0.29328629935392936
7219,dsp,week,0.2959096067250788
7078,dsp,due_date,0.2959263454400262
7851,emphas,midterm_final,0.2997145908200223
602,answer,dsp,0.3013156552211082
7106,dsp,homework_due,0.30160629208830725
7134,dsp,mondai,0.3039451454577097
7140,dsp,notat,0.3045028883094325
7205,dsp,thur,0.3048898829669049
7157,dsp,postscript_version,0.3053842817048481
7084,dsp,equival,0.3055241627349704
7176,dsp,regularli,0.30633392085418687
13732,midterm_final,sieg,0.3071803302979231
7119,dsp,lectur_note,0.30738590106743424
7162,dsp,prerequisit,0.3095970538400328
2054,assembl_languag,dsp,0.30960133780750826
7118,dsp,lectur,0.3098805399334219
7091,dsp,familiar,0.3100906604896966
7153,dsp,phone_offic,0.3107521324883415
7165,dsp,problem_set,0.3110174960938721
7093,dsp,final_exam,0.3111883072178872
229,addison_weslei,dsp,0.3126555153557765
7211,dsp,tue,0.31298170552480586
7108,dsp,homework_solut,0.3139071440247234
7137,dsp,new_group,0.314103202604982
3101,audio_latex,dsp,0.3145781073209739
1876,ask,dsp,0.3161163878198434
7196,dsp,ta,0.31623985177306596
7104,dsp,homework,0.31820021012393096
2929,attend,dsp,0.31881220743887023
7184,dsp,semest,0.3188350299701652
7218,dsp,wednesdai,0.3199802527624275
7204,dsp,thu,0.3200502898489297
9403,final,sieg,0.3207396396393319
7193,dsp,sundai,0.32243246756291566
6482,deadlin,dsp,0.32245672305871165
7217,dsp,wed,0.3226484605374019
7146,dsp,outlin,0.32294896404167106
6781,discus_section,dsp,0.32503005452557737
7105,dsp,homework_assign,0.3252142601680883
7094,dsp,final_grade,0.32542695173772807
7082,dsp,encourag,0.32545046224695073
7188,dsp,solut,0.3255389665968991
7166,dsp,question,0.3257992937551479
4821,co,midterm_final,0.3259933174365282
7132,dsp,minut,0.326926060385601
3272,autumn,dsp,0.32772852823894827
13678,midterm_final,mon,0.328446714766658
7103,dsp,handout,0.32864711969325144
7156,dsp,postscript_format,0.32882326130620865
7214,dsp,turn,0.3313133317013971
7192,dsp,submiss,0.3319959105696562
7200,dsp,tent,0.3325880706450986
