,Row,Column,Value
1036935,joseph,paul,0.9150728830362661
1426997,telephon_fax,voic_fax,0.9151391384627595
711125,entertain,fit,0.9151754737309081
60539,alan,stephen,0.915214566332707
1442242,updat_octob,user_interfac,0.915311197194051
694803,employ,layer,0.9153740930160367
1064245,layer,notion,0.9154339382829957
33989,adam,daniel,0.9154716607843763
830004,franklin,martin,0.9156147223340008
83721,andrew,brian,0.9156268281395825
1284639,predict,prevent,0.9156340607253693
973245,indiana_univers,univers_utah,0.9157168538143161
1090742,load_balanc,program_languag,0.9157251624004707
84283,andrew,matthew,0.9157466163768301
208982,ben,homework,0.9157661733984193
730676,evolut,solut,0.9157948426225423
558139,david,scott,0.9159268849564568
806699,fit,symbol,0.9160642102051206
398369,cognit_scienc,scienc_foundat,0.9161177305936148
627742,distinguish,prevent,0.9163585774087895
155361,attack,move,0.9164635786844642
878755,graphic,visual,0.9166510194486719
342965,cheat,persist,0.9169514978381621
1250301,paul,scott,0.9170025013821299
1415139,subject,topic,0.9170653825172039
1154340,michael,william,0.9170714398176513
306858,carl,robert,0.9170908473852238
883563,grow,persist,0.9171628948159929
830796,franklin,wilson,0.9173466662414077
343115,cheat,restrict,0.9175093866297956
1256490,permiss,transmiss,0.9175751744985579
417258,commit,persist,0.9176222811457792
496789,core,meta,0.9176856380561942
558110,david,robert,0.9178350080322246
410609,columbia_univers,univers_michigan,0.9180255555456298
252247,brian,michael,0.918111704099412
410605,columbia_univers,univers_florida,0.9182510927408729
252123,brian,jeff,0.9183004970813707
1036110,jonathan,peter,0.918363991171393
1136210,matthew,peter,0.9183696451094165
720868,eric,jonathan,0.9183791214901718
1081156,lin,yang,0.9183881769882769
878796,graphic_user,graphic_visual,0.9185140383617101
256771,broad,wide,0.9185506187355197
59148,alan,andrew,0.9186261547900679
1035973,jonathan,michael,0.9186478048233215
1237110,page_construct,tabl_content,0.9187439484859528
711925,entertain,symbol,0.9188364405837021
444097,comput_biologi,comput_machineri,0.9188495832552247
1225174,oper_system,sourc_code,0.9189403061772146
1426431,tel_fax,telephon_fax,0.9190461916115993
66164,alpha,fit,0.9192207959226927
39656,addit_inform,comput_aid,0.9193340513197645
1342425,relat_link,tabl_content,0.9195822656373047
1440769,univers_illinoi,univers_texa,0.9197121921628941
34124,adam,eric,0.9198261293286497
1260080,peter,tom,0.9198328395717925
168279,austin,phoenix,0.9198376741353362
829903,franklin,johnson,0.9200294698805717
1360853,robert,stephen,0.920157227429488
1250082,paul,peter,0.9202193117621984
252384,brian,peter,0.9204035642547621
155017,attack,grow,0.9204915540267907
830056,franklin,miller,0.920497176093158
546711,daniel,kevin,0.9206538106620742
40130,addit_inform,knowledg_represent,0.9207646123863875
1441425,univers_southern,univers_texa,0.9207784628883621
410607,columbia_univers,univers_maryland,0.9207914751553905
1358777,richard,william,0.9208218333849619
581704,demand,reach,0.921460613269624
1440675,univers_florida,univers_mexico,0.9217839399410992
179224,autumn,summer,0.9221648555578091
1387166,shop,store,0.9222911085249577
1354947,restrict,scope,0.9226072276002082
95632,appl,applic,0.9226688062503359
1051026,knowledg_base,relat_link,0.922787624841729
410604,columbia_univers,univers_arizona,0.922789747625343
1028656,jim,kevin,0.9229259646241689
209073,ben,jeff,0.9230753252870039
1161901,miller,taylor,0.9231400874587543
1046227,kevin,peter,0.9234787589683553
806444,fit,reach,0.9234865503063122
1355998,resum,volum,0.9235151016207498
821528,forum,workshop,0.9235179045771614
103863,approach,argument,0.9238410168952238
1378396,seminar,symposium,0.9238895400170807
776349,fast,quick,0.9240191833251881
711333,entertain,layer,0.9240318800944769
395372,code_gener,genet_algorithm,0.9240662155738617
543047,dan,kevin,0.9243282559327962
1350365,research_group,research_interest,0.9244388541746822
59252,alan,brian,0.924466575865721
1444576,virtual_memori,virtual_realiti,0.924739748388864
1250272,paul,robert,0.9249033238108962
84558,andrew,robert,0.9249744031830552
156495,attempt,entertain,0.9250686351252788
1210874,notion,symbol,0.9251463263270288
63697,allen,franklin,0.9253163093580761
448391,comput_scienc,scienc_foundat,0.9253531934434406
1031531,john,richard,0.9255308960614284
155596,attack,reach,0.9255640431226234
950133,icon,symbol,0.9256269974046469
1046212,kevin,paul,0.9259213443097039
1081158,lin,zhang,0.9259980268920941
794685,fill,reach,0.9263697097695102
1046093,kevin,michael,0.9263904139753733
1441586,univers_utah,univers_wisconsin,0.9266182310828965
941901,huang,zhang,0.926756869262066
1033283,johnson,taylor,0.9267669667626193
1393149,size,weight,0.9270332053343239
711561,entertain,persist,0.927259113344306
1410631,steve,tim,0.9272874221443786
1438443,ucsb,ucsd,0.9274343501423896
558106,david,richard,0.9277262353761544
