,Row,Column,Value
37308,statist,wait,0.2557691989479018
29657,long,statist,0.29455855591120117
17335,easili,natur,0.29562971696553736
37291,statist,suffici,0.29630077222706735
37309,statist,wait_period,0.29964705024731997
17207,easi,statist,0.30017518577090657
31816,natur,suffici,0.3065520791916917
37284,statist,step,0.3104220017605552
6287,bear_arm,statist,0.31339578897178105
30612,massachusett,quot,0.31444797491996734
31664,nation,recogn,0.31822007366909966
29060,liberti,natur,0.3187636114481589
37285,statist,stop,0.31989257460292075
18728,england,natur,0.3203597187958175
30678,massachusett,wait,0.3211132385343441
10885,claim,statist,0.32235144226443924
17612,easy,statist,0.32316250503065386
8993,case,statist,0.324601465908969
29785,longer,statist,0.3296517128131635
16385,differ,statist,0.3301539477635664
7778,bui,statist,0.3302067796036132
31674,nation,resid,0.33037217824072607
26210,illinoi,natur,0.33076780191125926
29572,long,massachusett,0.3308782532173497
30580,massachusett,number,0.33103716898254815
29837,loui,natur,0.33210851168728983
23885,god,statist,0.33235089547190116
23800,god,massachusett,0.3325079034613676
31622,nation,natur,0.33304620906767257
31834,natur,wait_period,0.3331597037483924
16798,door,statist,0.33411803582005806
21718,fine,massachusett,0.3343614709108994
10183,choic,statist,0.3353587675374348
34987,quot,statist,0.335458317871018
37297,statist,think,0.3363900781951418
7210,bodi,natur,0.3377261932600451
23810,god,natur,0.338061787922924
31702,nation,studi,0.33814245302518703
22428,forc,massachusett,0.3387431028292236
37133,speak,statist,0.3393089120065944
36878,side,statist,0.33980309525353664
31358,moment,statist,0.339999071220737
37293,statist,survei,0.34003111020522725
4243,attempt,statist,0.3404638929338047
37303,statist,true,0.34058032292421336
19192,entitl,statist,0.34083816981819803
31823,natur,thoma_jefferson,0.341001598928787
21982,fit,statist,0.3410713045985667
30578,massachusett,natur,0.3412871783051105
30643,massachusett,side,0.34157214287052384
30642,massachusett,show,0.34310649444390323
10567,civil,massachusett,0.34312577210995043
31741,natur,pai,0.34319100119054313
25193,harri,statist,0.3432100956386104
17132,easi,natur,0.3433411765524575
21803,fine,statist,0.34378613195622293
16928,duti,natur,0.3439894907963874
37299,statist,time,0.3440925790934913
30817,mean,natur,0.34411189411595067
31755,natur,primarili,0.3451836357050867
18607,emploi,statist,0.34527186098265894
28512,lead,massachusett,0.34530461107462324
8677,carri,natur,0.34552000415465284
512,acknowledg,statist,0.34554499197078603
30587,massachusett,pas,0.345735837151085
28183,kind,statist,0.34590592635463624
31918,notion,statist,0.3463012915426404
26132,hold,statist,0.34705422038873285
18410,elimin,statist,0.3473526066004303
7703,bui,natur,0.3475229665436438
8023,call,statist,0.3476055832997259
32762,pas,statist,0.34774394117358365
16970,duti,recogn,0.34795630627364643
22777,found,massachusett,0.34843452200323777
31668,nation,rel,0.3492453270367636
36587,rule,statist,0.3492522038783092
11117,clear,statist,0.3496004438301458
6212,bear_arm,natur,0.3498456757876499
6035,bear,statist,0.34998097339639506
8908,case,massachusett,0.35009409303341166
10800,claim,massachusett,0.3502180244547454
30608,massachusett,prove,0.35074507916842074
30620,massachusett,recogn,0.3507559113011061
30773,matter,statist,0.3509624080595655
30570,massachusett,mean,0.351228251541479
16918,duti,massachusett,0.3513086812296904
7938,call,massachusett,0.3514697584672095
29292,licens,wait,0.3518582331016344
26047,hold,massachusett,0.3519085177086745
25118,harri,natur,0.3521006099393189
31818,natur,survei,0.3523980249034646
30609,massachusett,pub,0.35282708279653974
16921,duti,men,0.3531465196766608
29700,longer,massachusett,0.35366646588560074
37298,statist,thoma_jefferson,0.35409405502472346
3983,attack,statist,0.3542111903247787
13518,council,massachusett,0.35429998089897774
24383,gun,statist,0.35448111266588206
28098,kind,massachusett,0.3546608448350141
30582,massachusett,opinion,0.35483227477580265
37310,statist,walk,0.35501029224789504
24787,hand,massachusett,0.35512011316083403
30590,massachusett,percent,0.3557015265205508
35567,recogn,statist,0.35601872028821036
28658,left,natur,0.35615064676858316
31799,natur,simpli,0.35631380543502833
31786,natur,respect,0.3565441096092907
17737,econom,nation,0.3566876939427762
11493,commit,massachusett,0.35688930487886805
5453,bad,natur,0.3572663466183272
25435,heart,natur,0.35743936590567094
9872,child,natur,0.35798953144867396
20522,face,statist,0.3586644180765664
29135,liberti,statist,0.3586739319623381
7285,bodi,statist,0.3590626867214658
26588,increas,statist,0.35910738300330325
7532,break,statist,0.35916645746424286
31745,natur,percent,0.3596771132790488
30569,massachusett,matter,0.35997969695620136
12852,constant,massachusett,0.360063061290127
5273,avoid,statist,0.3604636220718261
30680,massachusett,walk,0.3605892354441472
24710,half,statist,0.3609060425438981
22862,found,statist,0.36095856574602514
35212,rate,statist,0.3612445215829954
19310,equal,natur,0.3612986169380388
8510,care,statist,0.36197456294176233
37319,statist,young,0.36241438907640977
26362,incomplet,natur,0.3626285907282228
29267,licens,statist,0.3627822175533439
27328,intent,statist,0.36287601636715167
30637,massachusett,rule,0.3629802755477495
17003,duti,statist,0.36316286015767757
28108,kind,natur,0.3633574311700949
31830,natur,unit_state,0.3635855749998615
