,Row,Column,Value
5569,assist,cc_neu,0.2215520654728201
5976,assist,year_graduat,0.22771338548453
5720,assist,john_hopkin,0.23119294234030008
64548,happi,www,0.23591130293582158
5640,assist,faculti_member,0.23990697241986159
5919,assist,undergradu_student,0.2405343878741616
5931,assist,univers_wisconsin,0.24261987622133077
5674,assist,graduat_student,0.24487606266559073
5841,assist,rutger_univers,0.24505080372125676
5978,assist,york_citi,0.24613764706498029
5616,assist,dayton_street,0.2463500523065656
5924,assist,univers_florida,0.24913934467653664
5915,assist,ultim,0.24935221201819285
5935,assist,updat_septemb,0.24943437644143027
5925,assist,univers_kentucki,0.24976582071375755
5930,assist,univers_washington,0.25093385327777923
5681,assist,happi,0.2517507508334495
5923,assist,univers_california,0.2522336879911297
5927,assist,univers_pittsburgh,0.25264626810338664
5936,assist,upson_hall,0.2533888633874096
5934,assist,updat_octob,0.2557026937253396
5633,assist,enjoi,0.25578865461775163
5685,assist,hobbi,0.2561566670226429
5755,assist,master_thesi,0.2563237942766737
5933,assist,updat_novemb,0.25653872133361416
5842,assist,san_diego,0.25790222772707727
5587,assist,columbia_univers,0.2615863854992089
5942,assist,vanderbilt_univers,0.2622132918990909
5802,assist,paul_rutger,0.2630197273499389
5531,assist,back_urc,0.2633262641459241
5753,assist,master_degre,0.26403254514911895
5822,assist,pretti,0.2656726500531309
5831,assist,relat_link,0.2664846193737063
5926,assist,univers_mexico,0.2673130843182155
5516,ascii,www,0.26747275699411766
5791,assist,oop,0.2694555146411453
5754,assist,master_engin,0.2697383541435511
5577,assist,chri,0.27096628436718523
5929,assist,univers_texa,0.2712240819140015
5641,assist,famili,0.2715571906665529
5657,assist,ftp_site,0.27156574543026935
4351,archiv,jersei,0.2721644321606763
100876,send_mail,univ,0.27289167704544676
5673,assist,graduat,0.2730631193592239
5660,assist,fun_stuff,0.2731772508946068
5922,assist,univers_alberta,0.2734820856470135
5974,assist,yale_univers,0.273703455228394
5668,assist,git,0.2742415106303305
5716,assist,jersei,0.2744488513834177
5895,assist,telephon,0.27485846476601994
5941,assist,utexa,0.2753063886123168
5578,assist,citi,0.2758154066109749
5710,assist,interest_includ,0.2761835476572309
5610,assist,curriculum_vita,0.27621840032461176
5879,assist,summer,0.2769404370490085
5949,assist,voic_fax,0.27707688958306603
5743,assist,madison_west,0.2773564597265372
5883,assist,tai_austin,0.2776586586440058
100623,send_comment,univ,0.27836207643615485
74298,jersei,univ,0.279175329506853
5900,assist,thought,0.279223378361773
5769,assist,modifi,0.27923219609556954
5975,assist,year,0.28050530326311746
5546,assist,boston_univers,0.2814261896499633
5602,assist,courant_institut,0.28162358864018633
5910,assist,ualberta,0.28163086972438434
5891,assist,technolog_atlanta,0.28217778474953165
5871,assist,state_univers,0.2828423613264965
5940,assist,usabl_center,0.28304682538708764
5556,assist,busi,0.28306078167419385
5604,assist,cp_msu,0.28360666995754713
5943,assist,virtual_librari,0.28371177780345735
5708,assist,institut_technolog,0.2837732578698088
5626,assist,electr_engin,0.2842731859420188
86856,modifi,www,0.2842738125106078
5730,assist,librari,0.28471955439677815
5599,assist,cornel_univers,0.28549547228206856
5772,assist,movi,0.28563710159953043
5528,assist,austin_austin,0.2857259017355843
5893,assist,tel_fax,0.2862049457612546
5783,assist,north_carolina,0.28671418073206156
5787,assist,offic_fax,0.28738967063252313
5794,assist,orlean,0.28745350475244974
5827,assist,pursu,0.2880924030243329
5629,assist,email_utexa,0.2883496432220636
5672,assist,grad_student,0.28915187345206117
5647,assist,financi,0.2893588267837645
5715,assist,java_applet,0.2894389083094226
5784,assist,northeastern_univers,0.2895640783415163
5808,assist,philosophi,0.2904210500593408
5914,assist,uiuc,0.29137185205076166
5792,assist,oracl,0.2914984386494375
5667,assist,georgia_tech,0.2918293941133957
5811,assist,phone_fax,0.2918869129495275
5548,assist,box_seattl,0.29225059011591675
102865,start_point,univ,0.29291799656363354
100750,send_email,univ,0.29324873907892
5585,assist,colloquium,0.2934386278926937
1403,advis,assist,0.29427017656853643
5812,assist,phone_number,0.2943820021371769
5788,assist,offic_phone,0.29505766361294755
5558,assist,california_institut,0.29632356198248544
5591,assist,comput_scienc,0.29701553267650677
74115,jersei,literatur,0.2976482529147798
106455,ualberta,www,0.29794342296725373
94555,phone_email,univ,0.29798370141348124
85746,mine,univ,0.29810088034685545
102310,spend_time,univ,0.298255174034262
5662,assist,gari,0.29833949736005744
5698,assist,ian,0.29975222946904295
5638,assist,excit,0.30051029923893613
5549,assist,brad,0.3008230559128966
81723,mail_address,univ,0.30093871305859615
65730,hobbi,www,0.3013245179621191
71691,institut,jersei,0.3014774661896132
5606,assist,creativ,0.3020402422076675
5678,assist,guess,0.30237578245302366
5865,assist,spend_time,0.30301781224795477
5928,assist,univers_rochest,0.30348481498191193
5639,assist,ey,0.3036088896792554
5542,assist,book,0.3042220966265089
74348,jersei,www,0.30425129727468303
5840,assist,rutger,0.30432795065325297
5721,assist,jolla,0.30447270541720656
5746,assist,mail_address,0.3045197315885315
5778,assist,netscap,0.3049340421423015
5239,ascii,http_www,0.30502659986200426
5644,assist,fax_email,0.30568902904425915
107073,univ,watch,0.30582254533837033
93700,person_inform,univ,0.3061351831240797
5805,assist,person_inform,0.3061650505244161
80310,lot,univ,0.3070593802720391
5851,assist,send_comment,0.3072385160451006
5704,assist,indian_institut,0.30738364081556246
64271,happi,http_www,0.307411360189741
8623,back_urc,univ,0.3077289138970422
5897,assist,tenni,0.3079146603601239
5958,assist,web_site,0.3083191523191819
5682,assist,high_school,0.30840282262718766
75648,jolla,www,0.3087141011790489
95760,pittsburgh,www,0.3090450597927652
85315,mike,univ,0.3095442694084967
3703,applet,assist,0.30955564917317696
5776,assist,navig,0.309570757010186
5921,assist,univers,0.309617072443661
3245,appl,assist,0.3097026017551672
5712,assist,irvin,0.3097170214123779
5832,assist,research_interest,0.3099100985247426
58030,fun_stuff,univ,0.30995951810279687
5957,assist,web_server,0.31003576952851736
5614,assist,data_mine,0.310101872868537
