,Row,Column,Value
304524,statist,wait,0.2557691989479018
303090,specif,storag_manag,0.27916153273742594
304532,statist,wide_rang,0.28275562745428867
55351,bodi,specif,0.29364596290231115
239814,long,statist,0.29455855591120117
149638,easili,natur,0.29562971696553736
304452,statist,suffici,0.29630077222706735
257504,natur,stage,0.29706420500462716
265827,overhead,statist,0.29749856802653607
304525,statist,wait_period,0.29964705024731997
257345,natur,point,0.29989518522764314
149297,easi,statist,0.30017518577090657
74237,challeng,statist,0.30102392527661254
238316,load_balanc,statist,0.30161951245868895
235259,lewi,specif,0.3018365601781402
149849,easili,specif,0.30486278436415576
249852,messag_pas,statist,0.305313887822505
223143,interact,princip,0.3057033119342313
257524,natur,suffici,0.3065520791916917
303080,specif,stage,0.30673459539309
215440,incorpor,natur,0.3067735810138202
160407,entir,statist,0.307113136607011
246698,measur,specif,0.30848020545221144
204068,hardwar_softwar,specif,0.3090773281563693
304440,statist,step,0.3104220017605552
230189,knowledg,statist,0.31103619595103216
49619,bear_arm,specif,0.311744262765112
300012,shore,statist,0.31188969266736644
303124,specif,thoma_jefferson,0.31223568293995607
260364,novemb,statist,0.3124104841295385
49632,bear_arm,statist,0.31339578897178105
246213,mean,princip,0.31345851766623734
52506,bershad,statist,0.3145216260898718
303180,specif,wide_rang,0.31514904765466495
257604,natur,wide_rang,0.31638506160252755
257395,natur,queri,0.3163912244423563
144728,dougla,specif,0.31645565168033124
6939,acquir,statist,0.3165321401472091
244572,march,statist,0.31656355405359
215664,incorpor,statist,0.3170510338099661
41633,audio_latex,specif,0.3175582495237502
236026,liberti,specif,0.31779115792595763
245066,match,navig,0.31781889776596367
249839,messag_pas,specif,0.31803296191602004
235815,liberti,natur,0.3187636114481589
266121,packag,statist,0.31928713590487584
262832,open,statist,0.3196400800276632
286388,queri,specif,0.32030552365986037
2256,accept,statist,0.3203059537570396
257362,natur,previous,0.3204705001268264
56787,bring,statist,0.32176033635182244
215404,incorpor,match,0.3217983646714257
206814,help,statist,0.3218782870258039
82391,claim,statist,0.32235144226443924
304523,statist,wai,0.3225648115682313
232947,layer,statist,0.3226702311569301
143003,distribut_share,specif,0.32291763907897075
150426,easy,statist,0.32316250503065386
198964,god,specif,0.3233045762372548
204526,harri,specif,0.3234426394442376
15431,aiken,statist,0.32402469541797596
159301,end,specif,0.32417414393821714
280018,princip,specif,0.3242744545516746
209064,highli,statist,0.32429047596686994
70106,case,statist,0.324601465908969
169007,experi,statist,0.3248649792736331
235048,lewi,natur,0.3250140980492594
215651,incorpor,specif,0.32565582792392445
280116,princip,wait,0.3258075656510313
271517,permiss,statist,0.3261376242277086
257514,natur,storag_manag,0.3262326079194874
303173,specif,wait_period,0.32631121233980553
304442,statist,storag_manag,0.32635890745749435
304477,statist,thread,0.32655381746168627
148731,earlier,statist,0.32702539393834296
226151,issu,specif,0.32705095266189316
20012,alpha,statist,0.3284116344477434
278798,previous,specif,0.32861529645027787
279975,princip,sci,0.32871632488969127
245269,match,sophist,0.329342798325063
240186,longer,statist,0.3296517128131635
79011,chip,statist,0.32980955894583003
238303,load_balanc,specif,0.33006934601567317
136614,differ,statist,0.3301539477635664
304492,statist,transmiss,0.3304131119222848
304499,statist,understand,0.33046284225373956
288064,real_world,specif,0.3304688056347067
147014,duti,specif,0.33055695158190584
109164,contribut,statist,0.33076621280115104
287037,rang,statist,0.3308662182189391
257359,natur,present,0.33123774236100867
301051,simpli,specif,0.3314139725749401
146767,duti,match,0.33155197165208183
204081,hardwar_softwar,statist,0.33157276710541406
298153,semant,specif,0.33172074770027976
223701,interconnect,statist,0.33186331824882376
248801,men,specif,0.33209330749517446
198977,god,statist,0.33235089547190116
144517,dougla,natur,0.3325305844827761
48898,basi,specif,0.33296678092496085
257597,natur,wait_period,0.3331597037483924
61736,cach,statist,0.3333276506509945
181919,feder,specif,0.33374473646262026
190140,fourth,natur,0.3337824426212215
228591,kei,statist,0.33382041123665684
122226,deal,statist,0.3340243987497655
107897,continu,statist,0.33415911835249423
23686,analysi,queri,0.3342240795583469
208392,high_level,natur,0.3345785261414192
235272,lewi,statist,0.33459953390965125
159090,end,natur,0.334629093794865
201299,gun_control,specif,0.335161418851623
304483,statist,trace,0.3353237454505195
79689,choic,statist,0.3353587675374348
235779,liberti,match,0.33549568104001226
245145,match,princip,0.33575034836264295
170064,explain,statist,0.33614151890399196
37226,atm_network,specif,0.3362898958751905
299181,sequenti,statist,0.3365780348423432
7456,acquisit,match,0.33695714964071843
304453,statist,suit,0.33750930449429484
215414,incorpor,men,0.33758599356534935
55140,bodi,natur,0.3377261932600451
198988,god,subscrib,0.33789164931167
198753,god,natur,0.338061787922924
240703,low_level,natur,0.3381851872804022
15418,aiken,specif,0.33834960151753657
303089,specif,storag,0.33883975599469096
248117,meet,statist,0.33930342300222666
302864,speak,statist,0.3393089120065944
152672,effici,statist,0.3393536548573293
246711,measur,statist,0.339463338258854
223451,interconnect,men,0.3395141052869832
263426,oper_system,specif,0.3395492011111105
159170,end,princip,0.33955730935943235
300414,side,statist,0.33980309525353664
304458,statist,survei,0.34003111020522725
286187,qualiti,statist,0.34033920045284705
226964,jame,specif,0.3403954485275855
38712,attempt,statist,0.3404638929338047
304494,statist,true,0.34058032292421336
29066,april,statist,0.34087960940214
257548,natur,thoma_jefferson,0.341001598928787
184941,fit,statist,0.3410713045985667
74224,challeng,specif,0.341960352245705
34281,ass,statist,0.34202102190567396
240914,low_level,specif,0.3421547221253287
