,Row,Column,Value
882143,imag_process,sourc_code,0.9138574707608366
1042290,matter,notion,0.9138833471796297
760590,franklin,taylor,0.9139260202024547
920419,intern,student,0.9139773545353265
366612,code_gener,gener_purpos,0.914004843379622
503870,daniel,matthew,0.9140460112360794
1327071,virtual_librari,virtual_realiti,0.9143414366105238
501737,danc,replac,0.9144155604801081
713215,favorit,finit,0.9144506729546408
575476,distinguish,restrict,0.9145805398096756
1243311,restrict,scan,0.9146024111243276
165800,avoid,prefer,0.9147872178356258
962906,kind,layer,0.9148688612769977
759300,frank,robert,0.9149060405561792
1293299,state_univers,univers_southern,0.9149993905956881
760159,franklin,paul,0.9150063260442207
1310238,telephon_fax,voic_fax,0.9151391384627595
651224,entertain,fit,0.9151754737309081
1324923,updat_octob,user_interfac,0.915311197194051
636010,employ,layer,0.9153740930160367
28482,adam,daniel,0.9154716607843763
759966,franklin,martin,0.9156147223340008
73758,andrew,brian,0.9156268281395825
1181038,predict,prevent,0.9156340607253693
74209,andrew,matthew,0.9157466163768301
190884,ben,homework,0.9157661733984193
669527,evolut,solut,0.9157948426225423
894639,indiana_univers,vanderbilt_univers,0.9158204471275807
894509,indiana_univers,state_univers,0.9159202474768386
1323422,univers_florida,univers_southern,0.9160914847463855
1281470,softwar_engin,updat_octob,0.9161318329994619
575418,distinguish,prevent,0.9163585774087895
140864,attack,move,0.9164635786844642
1031340,martin,paul,0.9166195842143139
806660,graphic,visual,0.9166510194486719
316001,cheat,persist,0.9169514978381621
1148263,paul,scott,0.9170025013821299
1299163,subject,topic,0.9170653825172039
283801,carl,robert,0.9170908473852238
811118,grow,persist,0.9171628948159929
760798,franklin,wilson,0.9173466662414077
316172,cheat,restrict,0.9175093866297956
1154437,permiss,transmiss,0.9175751744985579
386358,commit,persist,0.9176222811457792
380158,columbia_univers,univers_michigan,0.9180255555456298
1232274,relat_link,softwar_engin,0.9180563647065423
232183,brian,michael,0.918111704099412
232050,brian,jeff,0.9183004970813707
951079,jonathan,peter,0.918363991171393
1043187,matthew,peter,0.9183696451094165
660245,eric,jonathan,0.9183791214901718
992075,lin,yang,0.9183881769882769
950943,jonathan,michael,0.9186478048233215
1136551,page_construct,tabl_content,0.9187439484859528
894620,indiana_univers,univers_pittsburgh,0.9187642542476933
652048,entertain,symbol,0.9188364405837021
1125683,oper_system,sourc_code,0.9189403061772146
894278,indiana_univers,northeastern_univers,0.9190050002768244
1309687,tel_fax,telephon_fax,0.9190461916115993
34211,addit_inform,comput_aid,0.9193340513197645
1232362,relat_link,tabl_content,0.9195822656373047
104144,argument,notion,0.919706680260888
1323498,univers_illinoi,univers_texa,0.9197121921628941
28622,adam,eric,0.9198261293286497
1157715,peter,tom,0.9198328395717925
