,Row,Column,Value
5581,assist,cc_neu,0.2215520654728201
5989,assist,year_graduat,0.22771338548453
5732,assist,john_hopkin,0.23119294234030008
64717,happi,www,0.23591130293582158
5652,assist,faculti_member,0.23990697241986159
5932,assist,undergradu_student,0.2405343878741616
5944,assist,univers_wisconsin,0.24261987622133077
5686,assist,graduat_student,0.24487606266559073
5854,assist,rutger_univers,0.24505080372125676
5991,assist,york_citi,0.24613764706498029
5628,assist,dayton_street,0.2463500523065656
5937,assist,univers_florida,0.24913934467653664
5928,assist,ultim,0.24935221201819285
5948,assist,updat_septemb,0.24943437644143027
5938,assist,univers_kentucki,0.24976582071375755
5943,assist,univers_washington,0.25093385327777923
5693,assist,happi,0.2517507508334495
5936,assist,univers_california,0.2522336879911297
5940,assist,univers_pittsburgh,0.25264626810338664
5949,assist,upson_hall,0.2533888633874096
5947,assist,updat_octob,0.2557026937253396
5645,assist,enjoi,0.25578865461775163
5697,assist,hobbi,0.2561566670226429
5768,assist,master_thesi,0.2563237942766737
5946,assist,updat_novemb,0.25653872133361416
5855,assist,san_diego,0.25790222772707727
5599,assist,columbia_univers,0.2615863854992089
5955,assist,vanderbilt_univers,0.2622132918990909
5815,assist,paul_rutger,0.2630197273499389
5543,assist,back_urc,0.2633262641459241
5766,assist,master_degre,0.26403254514911895
5835,assist,pretti,0.2656726500531309
5844,assist,relat_link,0.2664846193737063
5939,assist,univers_mexico,0.2673130843182155
5528,ascii,www,0.26747275699411766
5804,assist,oop,0.2694555146411453
5767,assist,master_engin,0.2697383541435511
5589,assist,chri,0.27096628436718523
5942,assist,univers_texa,0.2712240819140015
5653,assist,famili,0.2715571906665529
5669,assist,ftp_site,0.27156574543026935
4360,archiv,jersei,0.2721644321606763
101343,send_mail,univ,0.27289167704544676
5685,assist,graduat,0.2730631193592239
5672,assist,fun_stuff,0.2731772508946068
5935,assist,univers_alberta,0.2734820856470135
5987,assist,yale_univers,0.273703455228394
5680,assist,git,0.2742415106303305
5728,assist,jersei,0.2744488513834177
5908,assist,telephon,0.27485846476601994
5954,assist,utexa,0.2753063886123168
5590,assist,citi,0.2758154066109749
5722,assist,interest_includ,0.2761835476572309
5622,assist,curriculum_vita,0.27621840032461176
5892,assist,summer,0.2769404370490085
5962,assist,voic_fax,0.27707688958306603
5756,assist,madison_west,0.2773564597265372
5896,assist,tai_austin,0.2776586586440058
101090,send_comment,univ,0.27836207643615485
74502,jersei,univ,0.279175329506853
5913,assist,thought,0.279223378361773
5782,assist,modifi,0.27923219609556954
5988,assist,year,0.28050530326311746
5558,assist,boston_univers,0.2814261896499633
5614,assist,courant_institut,0.28162358864018633
5923,assist,ualberta,0.28163086972438434
5904,assist,technolog_atlanta,0.28217778474953165
5884,assist,state_univers,0.2828423613264965
5953,assist,usabl_center,0.28304682538708764
5568,assist,busi,0.28306078167419385
5616,assist,cp_msu,0.28360666995754713
5956,assist,virtual_librari,0.28371177780345735
5720,assist,institut_technolog,0.2837732578698088
5638,assist,electr_engin,0.2842731859420188
87323,modifi,www,0.2842738125106078
5743,assist,librari,0.28471955439677815
5611,assist,cornel_univers,0.28549547228206856
5785,assist,movi,0.28563710159953043
5540,assist,austin_austin,0.2857259017355843
5906,assist,tel_fax,0.2862049457612546
5796,assist,north_carolina,0.28671418073206156
5800,assist,offic_fax,0.28738967063252313
5807,assist,orlean,0.28745350475244974
5840,assist,pursu,0.2880924030243329
5641,assist,email_utexa,0.2883496432220636
5684,assist,grad_student,0.28915187345206117
5659,assist,financi,0.2893588267837645
5727,assist,java_applet,0.2894389083094226
5797,assist,northeastern_univers,0.2895640783415163
5821,assist,philosophi,0.2904210500593408
5927,assist,uiuc,0.29137185205076166
5805,assist,oracl,0.2914984386494375
5679,assist,georgia_tech,0.2918293941133957
5824,assist,phone_fax,0.2918869129495275
5560,assist,box_seattl,0.29225059011591675
103332,start_point,univ,0.29291799656363354
101217,send_email,univ,0.29324873907892
5597,assist,colloquium,0.2934386278926937
1406,advis,assist,0.29427017656853643
5825,assist,phone_number,0.2943820021371769
5801,assist,offic_phone,0.29505766361294755
5570,assist,california_institut,0.29632356198248544
5603,assist,comput_scienc,0.29701553267650677
74319,jersei,literatur,0.2976482529147798
106922,ualberta,www,0.29794342296725373
95022,phone_email,univ,0.29798370141348124
86213,mine,univ,0.29810088034685545
102777,spend_time,univ,0.298255174034262
5674,assist,gari,0.29833949736005744
5710,assist,ian,0.29975222946904295
5650,assist,excit,0.30051029923893613
5561,assist,brad,0.3008230559128966
82190,mail_address,univ,0.30093871305859615
65903,hobbi,www,0.3013245179621191
71885,institut,jersei,0.3014774661896132
5618,assist,creativ,0.3020402422076675
5690,assist,guess,0.30237578245302366
5878,assist,spend_time,0.30301781224795477
5941,assist,univers_rochest,0.30348481498191193
5651,assist,ey,0.3036088896792554
5554,assist,book,0.3042220966265089
74552,jersei,www,0.30425129727468303
5853,assist,rutger,0.30432795065325297
5733,assist,jolla,0.30447270541720656
5759,assist,mail_address,0.3045197315885315
5791,assist,netscap,0.3049340421423015
5250,ascii,http_www,0.30502659986200426
5656,assist,fax_email,0.30568902904425915
107540,univ,watch,0.30582254533837033
94167,person_inform,univ,0.3061351831240797
5818,assist,person_inform,0.3061650505244161
80777,lot,univ,0.3070593802720391
5864,assist,send_comment,0.3072385160451006
5716,assist,indian_institut,0.30738364081556246
64439,happi,http_www,0.307411360189741
