,Row,Column,Value
4185296,enormous,unexpected,0.9377050304780342
6364917,limitation,significant,0.9377158969203412
513822,allergic,intention,0.9377232821280013
8123692,ten,twelve,0.9377298978822133
5848860,infinite,marrow,0.9378013690242621
4120918,emphasizes,simplest,0.9378728729386672
3475255,destructive,separation,0.9379058168884944
1390515,behavioral,respiratory,0.9379217826279808
7102162,organic,structural,0.9379225309024853
1728591,bubble,circle,0.9379300014658483
6090625,involves,prevents,0.9379635072571124
3492502,deterioration,reactive,0.9380392731991389
4550188,extensively,significantly,0.9380513034408302
4573592,extremely,relatively,0.9380553909346862
7130343,outer,peripheral,0.9381623717834622
3209001,daily,weekly,0.9382063243946281
7730159,remarkable,unprecedented,0.9382537589746797
3473547,destructive,elastic,0.9382829609307082
6597821,mechanism,resin,0.9382972267813936
3474295,destructive,kinetic,0.9382994063838095
829699,apparent,outer,0.9383335576516617
1177219,autism,destructive,0.9383659745251604
654849,analysis,assessment,0.9384163448363158
6898391,newer,noticeable,0.9384341159443309
5233061,grouped,originate,0.938551016640915
7804817,ripple,worm,0.9385702380925631
512813,allergic,closely,0.9385994916587657
1421099,benign,sweep,0.9386659234114614
7876206,selective,synthetic,0.9387041790675775
6898110,newborn,transitional,0.9387599001613427
4369543,evident,rigid,0.9387859542144822
7954889,skeletal,unaware,0.9388045234174469
6598384,mechanism,unaware,0.9388206576316417
827981,apparent,attempt,0.9388415575341114
2831866,contrary,unaware,0.9388956550500597
6861442,neglect,strict,0.9388989758479507
6364686,limitation,relate,0.9390405499143225
1912883,carrier,facilitate,0.939042906812202
2545810,comprises,consists,0.9391198529847169
4548618,extensively,greatly,0.9391283127581838
4702733,fiber,plastic,0.9391323449173812
3299192,deficit,exceeds,0.9391695548498091
4146676,endeavor,sweep,0.9391834140370693
1460987,binding,neglect,0.9391855780140226
6075262,investigate,resemble,0.9392151204289021
244679,adequately,considerable,0.9392195816586946
4183247,enormous,extremely,0.9392609481867784
4082638,eleven,fifteen,0.9392878583375374
4461565,expectation,traumatic,0.9393372634210073
830658,apparent,unaware,0.9394410937374372
1390441,behavioral,reactive,0.9394478478703183
513937,allergic,layer,0.939479823808248
4461017,expectation,respiratory,0.9394829809225055
1225713,avoid,prevent,0.9394861048289175
2426491,commonly,rarely,0.939509613338047
6900721,newly,unaware,0.9395943803966955
938834,arises,arose,0.939624957921495
4437746,exhaust,pulmonary,0.9396829513299232
7750527,resemble,unaware,0.9396833771449016
5862431,influx,ripple,0.9396860045876321
5975933,intention,limitation,0.9397116814014166
3998110,effectively,essentially,0.9397364327943354
246975,adequately,sufficiently,0.9397718947819683
4369325,evident,productive,0.9397823664751689
6310574,lending,neglect,0.9398178982074165
2854858,convenience,neglect,0.93983502545936
6025573,intervention,suggestion,0.9398448032720826
3087539,crucial,significant,0.9399324621575439
7935544,significantly,unusually,0.9399566786514049
6240338,laid,swept,0.9399592363846783
828758,apparent,exceeds,0.9399777702865839
3475603,destructive,therapeutic,0.9400680208587837
950254,arose,originate,0.9400738665251878
4732269,fifteen,twelve,0.9401176755612338
2831334,contrary,rigid,0.9401287496059644
2290784,closely,strictly,0.9401359714839871
4573945,extremely,strictly,0.9401849126705385
3847032,downward,focal,0.9402093261636255
3299213,deficit,expectation,0.9402221314253459
1230988,avoids,inhibitor,0.9403556731220146
869416,appropriate,suitable,0.9403623520373561
6310447,lending,mechanism,0.94038337999863
2623349,conditioning,lending,0.940400365502535
1406356,bending,binding,0.9404382550126771
2714136,considerable,extensively,0.9405331497351954
3491230,deterioration,focal,0.9405577371461363
6774592,morphological,structural,0.9405929234222228
8162061,transport,transportation,0.9406738090171031
4572327,extremely,highly,0.9407744458951071
1914172,carrier,retrieve,0.9407975262543342
673155,analyze,investigate,0.9408461277045661
7199950,particular,specific,0.9409538766935162
3588909,differentiate,transitional,0.9413478056998263
1914720,carrier,unaware,0.9414294714244695
7176140,paradox,vortex,0.9414654332017208
6280188,layer,newer,0.9415810358964108
2831219,contrary,readily,0.9416476189412014
1390714,behavioral,skeletal,0.9418661598049549
6358227,likely,probably,0.9418792720891379
930222,argument,disagreement,0.9419659588661499
1914188,carrier,rigid,0.942032851539816
912874,architectural,organic,0.9420748724359451
245797,adequately,layer,0.942085031711366
1232136,avoids,simplest,0.9421221180359952
1229832,avoids,calf,0.9421364675465568
4120242,emphasizes,newer,0.9421483711761245
3639682,dioxide,nitrogen,0.9421610916782117
6914502,nineteen,sixteen,0.9422117725169468
8184064,uniquely,unusually,0.942315310100812
1388880,behavioral,downward,0.9424970906114345
4368793,evident,limitation,0.9425460504784903
6603047,medical,nursing,0.9428000429579001
512631,allergic,behavioral,0.9428868743578652
