,Row,Column,Value
5837750,infinite,marrow,0.9378013690242621
3500347,developmental,morphological,0.9378540274787905
3461233,destructive,separation,0.9379058168884944
1393733,behavioral,respiratory,0.9379217826279808
7088025,organic,structural,0.9379225309024853
7245255,peripheral,strict,0.9379437716004373
6077179,involves,prevents,0.9379635072571124
516817,allergic,newly,0.9379977132651323
3478305,deterioration,reactive,0.9380392731991389
4528594,extensively,significantly,0.9380513034408302
4553091,extremely,relatively,0.9380553909346862
7116188,outer,peripheral,0.9381623717834622
3195702,daily,weekly,0.9382063243946281
7709680,remarkable,unprecedented,0.9382537589746797
3459677,destructive,elastic,0.9382829609307082
6581894,mechanism,resin,0.9382972267813936
3460366,destructive,kinetic,0.9382994063838095
839540,apparent,outer,0.9383335576516617
1182109,autism,destructive,0.9383659745251604
1333091,basal,carrier,0.9384330777476928
6886026,newer,noticeable,0.9384341159443309
5211875,grouped,originate,0.938551016640915
7784176,ripple,worm,0.9385702380925631
515322,allergic,closely,0.9385994916587657
1423600,benign,sweep,0.9386659234114614
7854419,selective,synthetic,0.9387041790675775
6885729,newborn,transitional,0.9387599001613427
2709490,considerable,significantly,0.9387689974401864
4352809,evident,rigid,0.9387859542144822
7933193,skeletal,unaware,0.9388045234174469
6582515,mechanism,unaware,0.9388206576316417
2823740,contrary,unaware,0.9388956550500597
6847658,neglect,strict,0.9388989758479507
2543517,comprises,consists,0.9391198529847169
4527023,extensively,greatly,0.9391283127581838
4681487,fiber,plastic,0.9391323449173812
3284681,deficit,exceeds,0.9391695548498091
4129908,endeavor,sweep,0.9391834140370693
1463620,binding,neglect,0.9391855780140226
6062253,investigate,resemble,0.9392151204289021
4167221,enormous,extremely,0.9392609481867784
4066883,eleven,fifteen,0.9392878583375374
4443277,expectation,traumatic,0.9393372634210073
1917707,carrier,significantly,0.9393449132307192
1393667,behavioral,reactive,0.9394478478703183
516548,allergic,layer,0.939479823808248
4442781,expectation,respiratory,0.9394829809225055
2426790,commonly,rarely,0.939509613338047
2442519,comparable,significant,0.9395177343886136
946927,arises,arose,0.939624957921495
4419882,exhaust,pulmonary,0.9396829513299232
7729481,resemble,unaware,0.9396833771449016
5851417,influx,ripple,0.9396860045876321
3983668,effectively,essentially,0.9397364327943354
1917085,carrier,newborn,0.9397490642333328
248764,adequately,sufficiently,0.9397718947819683
4352568,evident,productive,0.9397823664751689
6295338,lending,neglect,0.9398178982074165
48105,absence,presence,0.9398286576319862
2845574,convenience,neglect,0.93983502545936
7913918,significantly,unusually,0.9399566786514049
6226281,laid,swept,0.9399592363846783
4549295,extreme,fusion,0.9399705070304436
838540,apparent,exceeds,0.9399777702865839
3461550,destructive,therapeutic,0.9400680208587837
957636,arose,originate,0.9400738665251878
4906378,fourteen,nineteen,0.9400909314615602
2823156,contrary,rigid,0.9401287496059644
6265312,layer,limitation,0.9401308690429314
2294664,closely,strictly,0.9401359714839871
4553443,extremely,strictly,0.9401849126705385
3833362,downward,focal,0.9402093261636255
3284704,deficit,expectation,0.9402221314253459
1235284,avoids,inhibitor,0.9403556731220146
6295220,lending,mechanism,0.94038337999863
2618120,conditioning,lending,0.940400365502535
6885130,newborn,relatively,0.940423450802197
1408614,bending,binding,0.9404382550126771
2708012,considerable,extensively,0.9405331497351954
