,Row,Column,Value
521020,farnborough,rm,0.22683881550530077
130741,ax,farnborough,0.23058364506349938
18286,additional,farnborough,0.23511397522756053
135855,axially,farnborough,0.23547456343037418
151412,behave,millisecond,0.23587318401175814
520724,farnborough,longitudinal,0.23946465977048073
521045,farnborough,sec,0.2403706931643061
521099,farnborough,slab,0.2406609459028673
521025,farnborough,rotary,0.24208612550570457
151101,behave,farnborough,0.2443572489263905
521345,farnborough,von,0.24503990043893822
521007,farnborough,rev,0.24746579896632054
520768,farnborough,mix,0.2506274187755282
521269,farnborough,transverse,0.2507105240071033
520460,farnborough,fig,0.2512706706561603
429871,downward,farnborough,0.2514290690025704
520747,farnborough,mar,0.25167243809073203
520764,farnborough,millisecond,0.2521857746695699
520926,farnborough,presence,0.25244234317116554
382936,determine,farnborough,0.25314747180749647
218237,cease,millisecond,0.2532793018906662
520691,farnborough,layer,0.253954792624481
520636,farnborough,interact,0.2542564635253731
520778,farnborough,molecular,0.25547170966541427
520652,farnborough,investigate,0.25609333084497193
520632,farnborough,instrumentation,0.25642976329733513
219136,cent,farnborough,0.25800015259051184
73431,analogous,farnborough,0.2590609294830891
451081,elliptic,farnborough,0.2601247167159398
521027,farnborough,rotational,0.26039902061530745
520774,farnborough,moderately,0.26073583813986123
521224,farnborough,tech,0.2612452566596235
761018,millisecond,presence,0.26132904826709086
258505,comparable,farnborough,0.2615064939423609
521019,farnborough,rise,0.26193547248642995
339827,critical,millisecond,0.2622739293522547
521092,farnborough,sinking,0.26277215936089565
520646,farnborough,introduce,0.26320086602165466
520978,farnborough,reciprocal,0.26365111560573806
542736,flight,millisecond,0.2642192227163548
520685,farnborough,lateral,0.26425358889815453
144766,band,farnborough,0.26434541945819345
681147,introduce,millisecond,0.2655130744872372
10075,account,farnborough,0.2656555553586722
505485,exponential,farnborough,0.26710174896629485
343419,cropped,schubauer,0.2673722934236766
234775,chord,farnborough,0.2675309311385366
246690,closely,farnborough,0.26769034842970263
521186,farnborough,successive,0.26795912767628266
753386,mean,millisecond,0.26824981647612745
110125,arises,farnborough,0.26833086577482124
761087,millisecond,remain,0.2685360131647912
520896,farnborough,plant,0.26872388693263594
520601,farnborough,incidence,0.2688356875194823
520751,farnborough,maximum,0.268992998549019
243126,climb,farnborough,0.2690256725235582
520993,farnborough,relates,0.2693646973468988
761442,millisecond,wake,0.2696363413467346
761320,millisecond,tends,0.2696731243723201
521179,farnborough,structural,0.269779465556077
250245,coincide,farnborough,0.2698240061908341
217926,cease,farnborough,0.2701564048961457
520773,farnborough,moderate,0.2702384319752527
520733,farnborough,mach,0.27029974230040926
521016,farnborough,rigorous,0.2709120435923349
58801,alloy,farnborough,0.27092297024448225
761119,millisecond,rotational,0.27114296784495473
354895,customary,farnborough,0.27151683439783914
520742,farnborough,maintain,0.27158850962378717
695637,jet,millisecond,0.2716157513210854
395650,digital,farnborough,0.271647198915941
521202,farnborough,susceptible,0.27179910820450887
521082,farnborough,simplest,0.2718701072478955
520690,farnborough,law,0.272154907154264
520677,farnborough,kinetic,0.27268566453676735
110436,arises,millisecond,0.272830891433388
521088,farnborough,simulated,0.2730836512509359
216715,case,farnborough,0.2731815161286386
520725,farnborough,longitudinally,0.273353170080921
520490,farnborough,forebody,0.2734183669872252
520653,farnborough,investigation,0.2735385124200977
520760,farnborough,mi,0.27356110202445266
521073,farnborough,show,0.27378182544184376
761453,millisecond,wherein,0.27390963685938396
520899,farnborough,plate,0.27394517048621886
198741,buckle,millisecond,0.2740062001932262
747051,maintain,millisecond,0.2742119827700285
520996,farnborough,resemblance,0.2743301578327708
520461,farnborough,fin,0.27434555737528254
520945,farnborough,proportional,0.274490298158369
521318,farnborough,van,0.2745117415195031
521228,farnborough,tends,0.2746740521486797
521334,farnborough,verify,0.27476888653106607
430182,downward,millisecond,0.2751584921890958
520936,farnborough,proceed,0.2752227826369257
