,Row,Column,Value
4277508,divide,retrieve,0.9389387695822833
4508222,effectively,properly,0.9389635211206729
2160736,carrier,facilitate,0.939042906812202
4257652,disturb,resemble,0.9390521982872735
2700980,commonly,typically,0.9390926956741888
5283604,fiber,plastic,0.9391323449173812
4256934,disturb,newer,0.9391332733999669
3707622,deficit,exceeds,0.9391695548498091
4696623,endeavor,sweep,0.9391834140370693
1695081,binding,neglect,0.9391855780140226
6763785,investigate,resemble,0.9392151204289021
321596,adequately,considerable,0.9392195816586946
4733818,enormous,extremely,0.9392609481867784
4601441,eleven,fifteen,0.9392878583375374
5019526,expectation,traumatic,0.9393372634210073
2162369,carrier,significantly,0.9393449132307192
3383264,cow,neighbor,0.9393654573502935
2982212,confront,expose,0.9394028429583706
2510147,classify,grouped,0.9394047912153077
1603648,behavioral,reactive,0.9394478478703183
322243,adequately,fitting,0.9394790088346308
5018952,expectation,respiratory,0.9394829809225055
4257662,disturb,resonance,0.9395070443722744
322332,adequately,fundamentally,0.9395183629647991
6742393,intrinsic,residual,0.9396210900945596
1104585,arises,arose,0.939624957921495
7310625,markedly,restrictive,0.9396278648599429
4994704,exhaust,pulmonary,0.9396829513299232
4506742,effectively,essentially,0.9397364327943354
2161659,carrier,newborn,0.9397490642333328
324122,adequately,sufficiently,0.9397718947819683
4912291,evident,productive,0.9397823664751689
7024059,lending,neglect,0.9398178982074165
75031,absence,presence,0.9398286576319862
3185767,convenience,neglect,0.93983502545936
8686081,respiratory,restrictive,0.9398462921821452
5577799,frequent,rarely,0.9398575629256223
6947140,laid,swept,0.9399592363846783
5139713,extreme,fusion,0.9399705070304436
3920951,destructive,therapeutic,0.9400680208587837
1116583,arose,originate,0.9400738665251878
5301758,fifteen,twelve,0.9401176755612338
3163122,contrary,rigid,0.9401287496059644
6991483,layer,limitation,0.9401308690429314
4256970,disturb,noticeable,0.9401482416107778
3707652,deficit,expectation,0.9402221314253459
6524412,informally,uniformly,0.9402310054085904
4257681,disturb,restrictive,0.9403074889076931
1444651,avoids,inhibitor,0.9403556731220146
1135511,arrival,arrive,0.9403761397091708
7023919,lending,mechanism,0.94038337999863
7718915,newborn,relatively,0.940423450802197
4603256,eleven,six,0.9404346526829689
1624246,bending,binding,0.9404382550126771
8697976,restrictive,rotational,0.9404612079845821
6339088,impetus,utilize,0.9405100597639486
3943748,deterioration,focal,0.9405577371461363
7567251,morphological,structural,0.9405929234222228
143951,accommodate,resemble,0.9406251981639375
3163080,contrary,resemble,0.9407352098971633
2162219,carrier,retrieve,0.9407975262543342
800747,analyze,investigate,0.9408461277045661
7719339,newborn,strict,0.9409087592022201
2350352,chick,neighbor,0.9409140857942319
1693851,binding,delivery,0.94117559179074
4058515,differentiate,transitional,0.9413478056998263
975282,apparent,benign,0.9414114168778371
8022847,paradox,vortex,0.9414654332017208
143054,accommodate,layer,0.9414696615636479
2511499,classify,restrict,0.9415172983991846
6991826,layer,newer,0.9415810358964108
5160694,facilitate,relate,0.9418066244794834
7737237,nine,twelve,0.9418533221947094
1603965,behavioral,skeletal,0.9418661598049549
142127,accommodate,disturb,0.9418732137860762
1224303,assessment,evaluation,0.9418787923019339
3162364,contrary,marrow,0.9419226082331336
4546007,eight,twelve,0.9419239779352501
1098733,argument,disagreement,0.9419659588661499
975872,apparent,disturb,0.9419938906030743
8547866,reactive,respiratory,0.942020732077875
2162234,carrier,rigid,0.942032851539816
8708278,retrieve,transforms,0.942072281147257
322835,adequately,layer,0.942085031711366
8698119,restrictive,skeletal,0.9421056221775606
9128883,typically,usually,0.9421134750998126
1443502,avoids,calf,0.9421364675465568
4651056,emphasizes,newer,0.9421483711761245
4112533,dioxide,nitrogen,0.9421610916782117
8547014,reaction,response,0.9421614078029977
7394541,melt,retrieve,0.9422087355337292
7684809,neighbor,sweep,0.9423616542129962
4557615,elastic,pricing,0.9424600592394838
