,Row,Column,Value
438039,discard,shelve,0.2074926004988925
127125,assist,shelve,0.22246911299653394
127346,assist,wiswesser,0.22386045642802127
127192,assist,substructure,0.22871276918578032
14680,accessibility,shelve,0.23289985702840632
127288,assist,unambiguous,0.23447204378153616
453890,draw,unambiguous,0.2385753415988612
126812,assist,nonrecursive,0.2425399040488683
438116,discard,surprisingly,0.24452564722150613
126868,assist,paper_describes,0.2501175571126727
437488,discard,ifla,0.2511333797853185
126364,assist,dictate,0.2545008365299399
437772,discard,overhead,0.2565508245118191
126665,assist,kuhn,0.2584521852679039
127212,assist,syntactic,0.25959558891688356
126810,assist,nondeterministic,0.2599450267143609
126921,assist,pragmatic,0.2599493260458482
126116,assist,axiomatic,0.26052439561161683
126574,assist,ifla,0.26341523041277626
438264,discard,workingset,0.26346225749106134
126559,assist,highlevel,0.26387654391183196
438260,discard,wiswesser,0.26407774342990303
127350,assist,workingset,0.26503578618400403
437782,discard,paper_describes,0.26540282464505704
453948,draw,wiswesser,0.26621304976067073
126800,assist,neliac,0.26708431433992363
189560,brings,discard,0.26711100557351103
127213,assist,syntactical,0.2687445390193061
904306,source,substructure,0.26899366133615743
437504,discard,indeed,0.26928829953860034
679919,key,substructure,0.27036521014202275
126706,assist,machineindependent,0.2711307919227194
126456,assist,exemplify,0.27132955612065685
14275,accessibility,manmachine,0.27162556067804317
438250,discard,way,0.2717071066126934
437878,discard,program_language,0.2720338893227379
126590,assist,indeed,0.2733568574135863
127193,assist,subsystem,0.27376104788477207
438246,discard,voice,0.27406958194614833
126964,assist,program_language,0.275143361676803
437839,discard,precisely,0.2755616149579551
438130,discard,system360,0.27589740432204
437827,discard,polyphase,0.27595557737469056
127039,assist,relevancy,0.27627967414076765
438001,discard,science_technology,0.27667169759638677
126786,assist,multidimensional,0.2767414829023352
126626,assist,interconnection,0.27693799631083127
127197,assist,summer,0.2769404370490085
127253,assist,timeconsuming,0.27712027353245694
126182,assist,chapter,0.2772269322718631
126251,assist,concludes,0.27759197791589685
437596,discard,like,0.2780024680991089
453710,draw,semaphore,0.27804685030963466
384531,currently,discard,0.27830818769451116
438223,discard,us,0.2784321444630451
363537,corrigendum,draw,0.2787058571874872
453386,draw,multiaccess,0.27942212586413157
126299,assist,corrigendum,0.2799369955410021
127243,assist,theoremproving,0.28013011558616746
127186,assist,subprogram,0.2803078641224315
126447,assist,ever,0.2805326500820961
453308,draw,machineindependent,0.2807179932224461
232598,chapter,discard,0.2808444637161264
437361,discard,ever,0.28099894230485156
766777,nation,substructure,0.28151314759665935
437520,discard,information_science,0.28170942328684256
438159,discard,thing,0.2817374052465076
126340,assist,deducom,0.28208163156050237
438202,discard,unambiguous,0.28209561681371953
126720,assist,manmachine,0.28247846742703264
76311,angloamerican,draw,0.2826740753335114
126542,assist,halflife,0.2828561124907783
433357,dijkstra,education,0.28295915091853757
438209,discard,union,0.28298142982183083
438256,discard,whatever,0.28339390380407237
438262,discard,word,0.2838062937028128
126629,assist,interlibrary,0.2840566466213938
