,Row,Column,Value
594411,semiinfinite,streamwise,0.2794707147843764
473297,knudsen,streamwise,0.2827628465143272
616884,streamwise,weightstrength,0.28851400017835477
313649,end,thermodynamics,0.28982202998077794
558501,pohlhausen,streamwise,0.2899058166769988
616793,streamwise,tollmienschlichting,0.29150383418249204
390636,galerkin,streamwise,0.2928785612623029
625617,thermodynamics,wingtip,0.2929767107505743
616840,streamwise,unyawed,0.29424655953451495
105806,axially,free_stream,0.2964127311710444
496238,longitudinally,tollmienschlichting,0.296774733435529
386496,ft,thermodynamics,0.2973905157348006
317577,entire,streamwise,0.29859003278214835
371523,forebody,thermodynamics,0.2988233720485645
592722,schlieren,streamwise,0.2988958328100396
106136,axially,pohlhausen,0.30317442509812065
588042,ringstiffened,streamwise,0.3036836918881894
106238,axially,schlieren,0.3038352443317013
454867,instrumentation,yaw,0.3039680186885779
473862,lagrangian,streamwise,0.30433772806739867
106413,axially,tollmienschlichting,0.30501761306388864
454586,instrumentation,schlieren,0.30505571755985683
548114,perigee,streamwise,0.3055261398914854
106504,axially,weightstrength,0.30620819074975486
32656,aileron,herein,0.30911365473291197
230185,critical,oscillate,0.30942373950078633
105812,axially,freestream_mach,0.30952755461508935
612339,stable,thermodynamics,0.3105677013227429
400971,good_agreement,streamwise,0.31085144681024224
313258,end,magnetohydrodynamic,0.3119462224917806
127677,blowing,streamwise,0.3122773983797786
124959,blast,curvilinear,0.3129955989268526
106519,axially,yaw,0.3132086277305676
616899,streamwise,yaw,0.313314365651322
498252,lubrication,streamwise,0.31368015226033114
558944,point,thermodynamics,0.3149168621938454
616870,streamwise,viscositytemperature,0.3150524607646178
200277,confirms,streamwise,0.3155463837890994
123940,blasius,critical,0.31579172393514204
417039,herein,streamwise,0.316729889991239
495961,longitudinally,pohlhausen,0.31719331147428714
30939,agrees,streamwise,0.3181735580105675
566031,preston,streamwise,0.3182431897338905
45122,also,streamwise,0.31846744109823993
600096,show,thermodynamics,0.3192916148831018
102284,ax,thermodynamics,0.3195487014903995
496223,longitudinally,thermodynamics,0.31972999939201624
397608,give,thermodynamics,0.3200363624815815
613292,standoff,streamwise,0.3203695778830271
79314,approximately,streamwise,0.32130934174328085
452892,inside,streamwise,0.32152484670583065
