,Row,Column,Value
4402,appreciate,compuserve,0.21494523649095082
15575,compuserve,wrap,0.2167531774778463
15316,compuserve,do,0.22066470631511073
15295,compuserve,crystal,0.2216977757123368
15536,compuserve,thank,0.22184440523330037
15442,compuserve,overhead,0.2229317471643639
15542,compuserve,ti,0.22504282584655885
15355,compuserve,greeting,0.22822271700690552
15535,compuserve,th,0.22879193275744986
15507,compuserve,size,0.230879010225152
15462,compuserve,prefer,0.23445037290382514
15299,compuserve,daniel,0.23794077947230963
2413,alpha,compuserve,0.2382149750489319
15357,compuserve,grey,0.24298932989499872
15307,compuserve,detect,0.24484434497760857
15375,compuserve,ian,0.2449550822713229
15427,compuserve,need,0.24511321397317715
15502,compuserve,ship,0.24633432791000098
15543,compuserve,trace,0.247523190398483
15329,compuserve,enhance,0.25018438642174484
15473,compuserve,ran,0.2516724123600108
7955,bb,compuserve,0.25185492388973096
15367,compuserve,helpful,0.252059895829177
15519,compuserve,subject,0.25391406551601126
15376,compuserve,id,0.254029139903879
15305,compuserve,derek,0.25414421770763224
15494,compuserve,sean,0.2546295089272042
15551,compuserve,us,0.25621451869076783
14402,combination,compuserve,0.2565754827953869
15379,compuserve,inch,0.2570468822619648
15338,compuserve,fast,0.25716502017416676
15463,compuserve,preferably,0.257204311960095
15564,compuserve,voice,0.25787454118185665
15368,compuserve,hi,0.25845591106753835
47,able,compuserve,0.2591779631206877
11998,carsonuwashingtonedu,compuserve,0.2599624581908899
15377,compuserve,ii,0.26079983278615115
13208,cheer,compuserve,0.26106101601436893
15492,compuserve,satisfied,0.2619223792427076
15459,compuserve,plus,0.26229125609898285
15454,compuserve,please,0.264309268577567
15354,compuserve,gray,0.26468120376257925
15366,compuserve,help,0.2654389810760706
15370,compuserve,hint,0.2674453234610312
9530,bought,compuserve,0.2675873342836598
15441,compuserve,originator,0.2690869922457331
15500,compuserve,sharp,0.2693639672868113
15439,compuserve,organization,0.2704013519010088
15372,compuserve,hour_day,0.2712202252472531
15296,compuserve,currently,0.27181799093065073
12605,cheap,compuserve,0.27243289943159427
9217,blank,compuserve,0.27284051482664284
15308,compuserve,detection,0.2729774914677965
15501,compuserve,sheet,0.27418043265931896
15505,compuserve,simultaneously,0.2743774191634938
15503,compuserve,si,0.2751806567371265
15549,compuserve,unknown,0.27559722514193175
15487,compuserve,ross,0.27641388029616587
15404,compuserve,location,0.2767345425401415
15545,compuserve,type,0.27701378158957723
13508,chris,compuserve,0.2783217161041577
11693,capability,compuserve,0.2783686110275989
15380,compuserve,include,0.27838913008352334
15415,compuserve,master,0.27904005476363153
15530,compuserve,technology,0.2793132572323089
15406,compuserve,look,0.27935697006843696
15537,compuserve,thanks,0.27976308533936123
15447,compuserve,path,0.28117492945197425
15437,compuserve,option,0.2813268646428912
8272,beast,compuserve,0.28163076118602437
6998,ave,compuserve,0.2818502318338082
15504,compuserve,signal,0.2824449172504301
2078,allows,compuserve,0.2825324179765965
15489,compuserve,rumour,0.28281586443061757
15532,compuserve,tel,0.28283841339746096
15521,compuserve,suitable,0.28326890522503656
15333,compuserve,etc,0.2833207677928796
15386,compuserve,instruction,0.28358549775899994
15364,compuserve,height,0.28360202356133574
15291,compuserve,connection,0.28424155347811214
15472,compuserve,quit,0.2844813349294954
15510,compuserve,solution,0.2845495951850135
15480,compuserve,replacement,0.2849529821042588
15555,compuserve,uunet,0.28506664760831996
8588,bit,compuserve,0.285835599503526
15541,compuserve,thu_apr,0.28644393243811367
10153,brand,compuserve,0.28818764273372593
15298,compuserve,da,0.2881966531267275
15516,compuserve,standard,0.28826197810940196
15417,compuserve,max,0.2882625421878868
14105,clip,compuserve,0.2884493110621258
15317,compuserve,doc,0.2898488831934747
15572,compuserve,would_appreciate,0.29008232590750166
3080,anybody,compuserve,0.29010374795968424
15563,compuserve,victor,0.2903183389586698
15445,compuserve,panel,0.29066645175782646
15514,compuserve,speed,0.2906946413855965
10463,bug,compuserve,0.29104078523851085
15348,compuserve,frequency,0.29109235980821313
15490,compuserve,run,0.2913202923198971
15482,compuserve,replyto,0.2914378658133775
13807,ci,compuserve,0.2919206864974363
15475,compuserve,recommendation,0.2924039755064443
15568,compuserve,wire,0.29248174935064336
15328,compuserve,engineering,0.2937780268946547
15360,compuserve,handle,0.2938762992013732
728,add,compuserve,0.29394084923322705
15547,compuserve,unit,0.2948543605878853
3743,anyone,compuserve,0.29499886017517196
15419,compuserve,mg,0.2951339590413858
15426,compuserve,ncr,0.2953794995965451
15310,compuserve,dial,0.29620265593083894
15443,compuserve,packet,0.2964620828593527
15352,compuserve,generic,0.2969017984067496
15567,compuserve,wed_apr,0.297205791343682
12046,carsonuwashingtonedu,ext,0.2973307542920486
15520,compuserve,suggestion,0.2975153169652466
15570,compuserve,work,0.2976447908951199
1067,address,compuserve,0.29804760395303226
15342,compuserve,fidonet,0.2980937164718967
15522,compuserve,suite,0.29833453943768945
15488,compuserve,rotate,0.2983484599798984
15431,compuserve,new_mexico,0.2985098830637209
15509,compuserve,slow,0.29854411612121134
15432,compuserve,new_zealand,0.2990003091980637
15573,compuserve,would_greatly,0.29922582917403656
15325,compuserve,electronics,0.29925998202285387
15569,compuserve,wonder_anyone,0.30045872262989315
15466,compuserve,problem,0.30111064499753293
15314,compuserve,distribution,0.30188874113719766
15481,compuserve,reply,0.30262381348226547
15566,compuserve,wa,0.30286085110488525
15420,compuserve,mi,0.3031771806454037
15540,compuserve,thomas,0.30323478869676845
12907,checked,compuserve,0.3037783638832303
15435,compuserve,oak,0.30469222965698484
15448,compuserve,performance,0.30497971620576114
15353,compuserve,gordon,0.3054132381207945
15414,compuserve,martin,0.30554368087491907
15365,compuserve,hello,0.30613102765970823
9842,box,compuserve,0.3065877436758842
11080,built,compuserve,0.30728136440857107
15498,compuserve,separately,0.3073287916510973
15450,compuserve,philip,0.30791430289734645
15345,compuserve,fl,0.3079754899837485
15467,compuserve,product,0.30852979658042523
15318,compuserve,double,0.3087097671991236
15408,compuserve,ltd,0.3087452490839399
15525,compuserve,sw,0.30905632340696615
15413,compuserve,marc,0.3093510806580552
15293,compuserve,correctly,0.3099619044422045
15389,compuserve,ip,0.3100004820736994
15512,compuserve,special,0.31066130803063247
15465,compuserve,pro,0.3107488068115368
15385,compuserve,insert,0.31089719620396766
15344,compuserve,fix,0.3109177124210227
15359,compuserve,hal,0.3109507947324345
15405,compuserve,logo,0.31123578412199515
15478,compuserve,release,0.31125281803258953
15486,compuserve,richard,0.3115733368950673
15453,compuserve,picture,0.3117799847121128
15340,compuserve,feature,0.3118911067991568
15479,compuserve,remote,0.3120045405126843
15395,compuserve,laser,0.312982107119057
15381,compuserve,industrial,0.31386531847370314
15391,compuserve,joel,0.313910694800748
15451,compuserve,phone,0.3154755819976597
15548,compuserve,university,0.3155475317212463
15574,compuserve,would_like,0.3156463443993188
15411,compuserve,maker,0.3159739879810742
15371,compuserve,hope_help,0.31651705623133164
7637,bandwidth,compuserve,0.3165400713696763
15511,compuserve,something_like,0.31672739681626827
15394,compuserve,laboratory,0.31717153417044475
15321,compuserve,el,0.31717156829121085
5057,assembly,compuserve,0.3179943360118932
15346,compuserve,float,0.3182413543261345
15497,compuserve,send,0.3183745425001238
15515,compuserve,stack,0.3183818691162891
15320,compuserve,edge,0.3184454664437359
15334,compuserve,experimental,0.3188837844486892
15483,compuserve,repost,0.31913224503961596
15341,compuserve,feedback,0.3192854389744886
12302,channel,compuserve,0.3210395116614109
15546,compuserve,uk,0.3212571591349756
15297,compuserve,custom,0.3217419657324867
15425,compuserve,mon_apr,0.3221557539028995
15470,compuserve,purchase,0.3228229993493997
15499,compuserve,set,0.32294034872709004
14993,component,compuserve,0.3230226008597612
15361,compuserve,handy,0.32327367669933477
6355,availability,compuserve,0.32331023313470836
15526,compuserve,system,0.32396687003271796
28372,ext,ontario_canada,0.3244092067027202
15423,compuserve,modification,0.3250008127990103
15362,compuserve,hang,0.3251030216748959
5383,austinibmcom,compuserve,0.3258409942315044
15294,compuserve,could_someone,0.3263322013722073
15330,compuserve,environment,0.32650993191531813
15438,compuserve,optional,0.3265883319923689
