,Row,Column,Value
6312150,harvey,norman,0.9372249451445491
7357896,launcher,neighbor,0.9372714855531928
661387,allow,allows,0.9372850545770608
5662782,forgot,forgotten,0.9373181540989222
1879931,binding,mechanism,0.9373335263148348
4568573,douglas,ross,0.9373688462955386
1872889,billion,million,0.9373907506034491
3490678,contrary,receiver,0.937483976710969
823617,andrew,peter,0.9375032515287245
6143663,greg,tony,0.9375043490613042
6183711,guest_line,service_guest,0.9375271876866718
2863105,circle,symbol,0.9376040941716846
8046551,morgan,murphy,0.9376972490129067
7484055,limitation,significant,0.9377158969203412
649559,allergic,intention,0.9377232821280013
7358550,launcher,receiver,0.9377831560907713
6005742,glenn,ross,0.9378502654136172
1663439,batter,carrier,0.937918529839547
9327191,ross,stewart,0.9379597130603885
823627,andrew,philip,0.937998183008694
5312769,extremely,relatively,0.9380553909346862
8214836,neighbor,retrieve,0.9380642087229738
6296415,harmful,limitation,0.9381317091521233
8215204,neighbor,stove,0.9381557085854108
3875334,daily,weekly,0.9382063243946281
6301454,harry,larry,0.9382541906720301
2077706,bought,gotten,0.938255504137154
650097,allergic,mistaken,0.9382582964395767
992793,apparent,outer,0.9383335576516617
1880482,binding,puzzle,0.9384405692412014
3706944,crazy,ridiculous,0.9384460824651908
7022383,jackson,jordan,0.9384810421670683
948405,anything_else,something_else,0.9385869738285131
648201,allergic,closely,0.9385994916587657
8214314,neighbor,newer,0.9387271523791808
4609512,drinking,spending,0.9388605935860347
4485059,divide,retrieve,0.9389387695822833
937769,anyone_else,someone_else,0.93893992883279
612812,albert,walter,0.9389447120211994
3228502,complain,deliver,0.9389490168186422
4780748,effectively,properly,0.9389635211206729
7483766,limitation,relate,0.9390405499143225
5955873,germany_line,usa_line,0.9390673205476038
9046444,puzzle,trouble,0.9390859719117683
340893,accuse,complain,0.939173872706387
1665352,batter,neighbor,0.9392977769052298
8276690,nicely,strictly,0.9393050627367439
4099536,deliver,divide,0.939344623905672
2523500,carrier,significantly,0.9393449132307192
649782,allergic,layer,0.939479823808248
6393329,henry,philip,0.9394858399320732
1472042,avoid,prevent,0.9394861048289175
3176057,commonly,rarely,0.939509613338047
3201718,comparable,significant,0.9395177343886136
3966229,dbd_urartusdpaorg,geb_cadredslpittedu,0.9395419541108219
2811204,chris,pete,0.9396170894058405
6894199,intention,limitation,0.9397116814014166
4778829,effectively,essentially,0.9397364327943354
6927219,intervention,suggestion,0.9398448032720826
5744072,frequent,rarely,0.9398575629256223
7369710,layer,outer,0.939875825976041
2862531,circle,puzzle,0.9398788707605394
4697955,easily,fully,0.9399202507248912
6563974,huge,obvious,0.9400885965889358
7369171,layer,limitation,0.9401308690429314
3007000,closely,strictly,0.9401359714839871
6013342,glove,strictly,0.9401832259903697
5313187,extremely,strictly,0.9401849126705385
6312339,harvey,philip,0.9402361146132845
1040009,appropriate,suitable,0.9403623520373561
8297765,nntppostinghost_accessdigexnet,world_nntppostinghost,0.9403814961742956
650023,allergic,mechanism,0.9405520011247653
2520829,carrier,contrary,0.9405575464070098
7160780,junk,stretch,0.9405832459893192
5311674,extremely,highly,0.9407744458951071
6004131,glenn,gordon,0.9407839944206491
2523252,carrier,retrieve,0.9407975262543342
946367,anything_else,everything_else,0.940860915832369
6393816,henry,robert,0.9408867511789217
8624905,particular,specific,0.9409538766935162
1795564,ben,harry,0.9410974393002688
1878886,binding,delivery,0.94117559179074
9446252,seizure,sweep,0.9412058083489407
6301710,harry,michael,0.9413583515137622
1027492,appreciate,deserve,0.941490195282396
2917352,classify,restrict,0.9415172983991846
7369541,layer,newer,0.9415810358964108
836449,andy,pete,0.94164353356356
3490667,contrary,readily,0.9416476189412014
5412741,favorite,junk,0.941649095023548
9414008,scratch,treat,0.94167449748658
6311448,harvard,yale,0.9416919312297294
8429092,often,sometimes,0.9418146337462637
7479538,likely,probably,0.9418792720891379
609252,albert,carl,0.9420449474147143
9622031,spy,sweep,0.9420584126854467
823177,andrew,michael,0.9421239645131168
837539,andy,tommy,0.9421283340195457
9135879,reaction,response,0.9421614078029977
5409854,favor,favorite,0.9422498766538224
2154423,brent,brett,0.9423432927199702
2159387,brett,eric,0.9423442250466302
8215270,neighbor,sweep,0.9423616542129962
8977717,program,project,0.9423645546494964
6549985,howard,morgan,0.9425011716057308
802210,analyze,retrieve,0.9425107082751165
822342,andrew,gary,0.9426473781350018
8215154,neighbor,spy,0.9427184397925854
6950665,involve,involves,0.9427922472631117
5742292,frequent,frequently,0.9433965412642052
9359092,s1,s6,0.9434222573209019
647662,allergic,apparent,0.9437441159468872
9361215,s3,s6,0.943832695680882
6011996,glove,mechanism,0.9438835641526758
8502704,organization_express,organization_netcom,0.9438946606512832
7906530,michael,thomas,0.9439343915090623
9227650,replyto_serum,world_replyto,0.9440730521335375
8721885,philip,robert,0.9441343390612444
992312,apparent,layer,0.944158952012122
1795517,ben,greg,0.9443534850494595
9682903,substantial,sufficient,0.9443754416137633
7369522,layer,neighbor,0.9444965323249637
9818500,university_california,university_illinois,0.94453592788862
2520696,carrier,closely,0.9447735000437203
6311493,harvey,henry,0.9448771196121224
226685,able,unable,0.9449283754691745
5374363,fancy,junk,0.944937989009512
4101843,deliver,retrieve,0.9449477454980235
994560,apparently,clearly,0.9453185522021433
5746688,frequently,regularly,0.9454676239250344
7841594,mechanism,setup,0.9456712625890297
650914,allergic,receiver,0.9456943314534099
9667026,strictly,supposedly,0.9458270577979431
4603932,drink,eat,0.9459492428520825
5565865,five,seven,0.9464030523922522
7672806,mainly,primarily,0.9464941678609955
8507609,organization_indiana,organization_purdue,0.9466146947669176
7370675,layer,stove,0.9469438389124907
9263070,restrict,restriction,0.946956581243027
8313496,normally,usually,0.9472036809250988
4099798,deliver,expose,0.9474277141530565
8214775,neighbor,receiver,0.9476368842303421
6064591,gordon,stewart,0.9477245130074807
9818744,university_georgia,university_illinois,0.9478246045725528
8916737,presumably,supposedly,0.9482190970364935
2810525,chris,kevin,0.9482509962557214
7483820,limitation,restrict,0.9482526540540106
7483821,limitation,restriction,0.948567835546434
2523186,carrier,relatively,0.948637543410422
4880841,emission,limitation,0.9488280091449759
6655664,iii,iv,0.9493715028247738
9286749,richard,robert,0.9494845776554264
2522527,carrier,neighbor,0.949687626902039
4803566,eight,six,0.9498265885457516
991976,apparent,habit,0.9499358717021085
6394818,henry,william,0.9505595488414328
7500457,line_nntppostinghost,nntppostinghost_accessdigexnet,0.9506286108734053
8358154,numerous,various,0.9506839989097062
9853270,week_ago,year_ago,0.950833949944452
119741,4t,6t,0.9517980014700532
9524255,significantly,strictly,0.952306303355694
8626114,particularly,specifically,0.9529704463512864
109986,3t,4t,0.9529798764965358
8158368,na_nntppostinghost,usa_nntppostinghost,0.953024404903079
8158591,na_nntppostinghost,world_nntppostinghost,0.9537195398932299
650233,allergic,neighbor,0.9541987906242847
648068,allergic,carrier,0.9542413330514616
7182816,keep,kept,0.9557074668232545
7114340,jonathan,simon,0.9559058453970389
3294708,computer_inc,system_inc,0.955937060384312
9523169,significant,significantly,0.9559760986003326
5120543,everybody,everyone,0.9566154665884494
1484823,awful,horrible,0.9566767979963081
8034987,month_ago,year_ago,0.9569966982493929
6267874,happen,happens,0.9571585050904481
9575890,somebody,someone,0.9582088085858744
3400748,considerably,significantly,0.9582968386626475
7332791,last_month,last_year,0.9595327347736177
1487105,awful,terrible,0.9600021706892375
996720,apparently,obviously,0.9602392883215006
5746645,frequently,rarely,0.9603172900920547
4802829,eight,nine,0.9605101866178999
3294736,computer_inc,technology_inc,0.960889941191173
8283234,nine,seven,0.961395858147103
648349,allergic,contrary,0.9614188801877329
9662613,strange,weird,0.9623490554970323
7500387,line_nntppostinghost,na_nntppostinghost,0.9633653224734098
7332790,last_month,last_week,0.9652548015681583
9359091,s1,s3,0.9653121604467306
9484242,seven,six,0.9656861030703556
8500861,organization_california,organization_indiana,0.9660241756067135
3398730,considerably,greatly,0.966069141191634
303575,accessdigexcom,accessdigexnet,0.9663536960186496
9164648,recover,retrieve,0.966510785260722
8500864,organization_california,organization_ohio,0.9693667135639019
8500859,organization_california,organization_georgia,0.9696954537097575
6563624,huge,massive,0.9717214564762359
9239814,research_center,research_institute,0.9728074056260932
8504451,organization_georgia,organization_ohio,0.9741909358157458
8507608,organization_indiana,organization_ohio,0.9822386662979352
