,Row,Column,Value
18926,except,public_key,0.3329185846571413
6126,bd,compuservecom,0.34258783209109633
27551,probably,public_key,0.3470263807989361
6378,blast,encrypt,0.3517665589647059
12447,compuservecom,stove,0.35334383905269473
12369,compuservecom,kept,0.3560294465558703
13534,could,public_key,0.3573264897512202
22804,identical,public_key,0.35791263391554473
20684,feustel,public_key,0.3579420630585116
12370,compuservecom,key,0.3583076339325318
17957,encrypt,knock,0.36107432340241374
7858,building,compuservecom,0.36147174363848744
12384,compuservecom,n1,0.36197972334235157
2351,already,public_key,0.3625389776894724
13349,correspond,public_key,0.36337918333072483
24355,key,scicrypt,0.3634274996246448
27989,public_key,waco,0.3649208029216835
9439,carl,public_key,0.36521189145381094
25504,metzger,public_key,0.3655004531982649
10654,clipper,public_key,0.36635156751435777
12352,compuservecom,harmful,0.3668649306680737
6901,brad,public_key,0.36866499959176
13448,could,encrypt,0.3687362633872028
1393,agency,public_key,0.3690793533624118
12373,compuservecom,knock,0.3701314711052211
12455,compuservecom,suspect,0.3703579249212561
27962,public_key,steven,0.37096815091968643
6783,brad,compuservecom,0.3710007445159401
12462,compuservecom,texas,0.3715502286339308
12329,compuservecom,except,0.3720597313905244
12357,compuservecom,identical,0.37231819386815174
6464,blast,public_key,0.37231935003588223
24411,key,xnewsreader,0.37318451287582766
4101,approve,compuservecom,0.3732258533077746
7763,brent,public_key,0.3732721094268122
12350,compuservecom,half,0.3739043539422558
12297,compuservecom,could,0.3742787542803823
8700,burning,compuservecom,0.37443247805658136
27979,public_key,texas,0.3749652704736183
7645,brent,compuservecom,0.3750274703143442
27953,public_key,silverucsindianaedu,0.37515999669365296
12293,compuservecom,confidence,0.3761897256397598
22679,hughes,public_key,0.37674415786362403
1033,administration,compuservecom,0.3778630862019936
55,4t,compuservecom,0.37856603576487985
12343,compuservecom,fire,0.3787324750413429
17935,encrypt,happens,0.3794750415052369
12439,compuservecom,smoke,0.379996327266492
6346,blast,compuservecom,0.3799978229918187
12388,compuservecom,outlaw,0.3801306961831391
12309,compuservecom,detect,0.380989399250827
27939,public_key,rubin,0.3822502383157408
12410,compuservecom,puzzle,0.38232823830425466
1516,agent,compuservecom,0.38262905838069866
27985,public_key,unless,0.3828340209185873
16693,douglas,public_key,0.38318974424967056
12318,compuservecom,easy,0.3833927272993469
24113,karl,public_key,0.3838580998357748
22039,happens,public_key,0.38405771704492553
2265,already,encrypt,0.38426542518148027
12423,compuservecom,s1,0.3843309490863516
24365,key,silverucsindianaedu,0.3843874046592797
12366,compuservecom,investigation,0.38473952277244516
27932,public_key,reno,0.3851106540048289
12379,compuservecom,manufacture,0.38556188055351875
23884,investigation,public_key,0.3865833801552314
12360,compuservecom,impossible,0.3870698248481328
12400,compuservecom,prevent,0.3876480167168771
24407,key,wiretap,0.387822113773795
11326,collapse,compuservecom,0.38806941005717177
2233,already,compuservecom,0.3881309351637455
24408,key,wiretap_chip,0.38891574647787475
24379,key,strnlght_netcomcom,0.38953782843657436
12351,compuservecom,happens,0.3896889185513459
12474,compuservecom,weakness,0.3906690227066578
17913,encrypt,except,0.39075382481945675
27956,public_key,smoke,0.39097034857157287
4676,arthur,public_key,0.39098326437466685
9644,cent,public_key,0.3910514897245455
6244,bd,public_key,0.3912828204491103
26899,powerful,public_key,0.3919190713049817
24989,le,public_key,0.3919419859799687
5011,assure,compuservecom,0.3923748111668538
12407,compuservecom,protect,0.3924902094502442
27937,public_key,ripem,0.39287512060094326
23533,initiative,public_key,0.393241534600356
12416,compuservecom,reputation,0.3932432947945629
17188,easy,public_key,0.3933374770446143
12390,compuservecom,permission,0.39348911372484724
12420,compuservecom,ripem,0.3944345992266314
26183,outlaw,public_key,0.3945153213327186
18619,escrow,public_key,0.39487000134243605
12404,compuservecom,probably,0.39492724958456327
27980,public_key,tim,0.395031343973456
4785,assault,compuservecom,0.39515400012517626
1548,agent,encrypt,0.3951576292562876
6815,brad,encrypt,0.3955714915391335
27978,public_key,tempest,0.3961503763885533
6565,block,compuservecom,0.3963116621345679
12449,compuservecom,strictly,0.39655950556728164
11715,compound,compuservecom,0.3967658713922892
27963,public_key,stewart,0.3969206539018855
625,accessdigexcom,key,0.39696747206826355
12294,compuservecom,conversation,0.3971889689494591
27966,public_key,strictly,0.39743106790916505
