,Row,Column,Value
1882405,binding,enforce,0.9355597317942693
9916012,xnewsreader,xnewsreader_tin,0.9355703267137668
9609434,slightly,somewhat,0.9355714128901781
4440314,discuss,discussion,0.9356503955090159
2188912,brings,brought,0.9356665932266944
7399693,layer,sweep,0.9356721379806204
638375,allergic,investigation,0.9357487140650416
6650795,idiot,stupid,0.9358017310093077
1663038,batter,receiver,0.9358401188862318
8447866,occasionally,often,0.9358527286806421
6650338,idiot,ridiculous,0.9358888581456197
7242936,kevin,terry,0.935911516712068
5914876,generic,specific,0.93592493764314
8771869,philip,richard,0.9359296944491106
1795848,ben,brett,0.9359348260291562
6858073,install,restore,0.936018727759
6821315,initiative,project,0.9360280545951118
2739720,charge,glove,0.9360401608613341
1796910,ben,jonathan,0.9360710233185445
5631848,follower,presence,0.9360759953796917
4021456,dean,greg,0.9361594473148458
1797136,ben,max,0.9362615369197638
4021511,dean,harry,0.9363031104629451
4022213,dean,michael,0.936384723857232
8259405,neighbor,pixel,0.9365121388731887
9703826,steveh_thoriscbrcom,strnlght_netcomcom,0.9366059830493706
8377718,notion,puzzle,0.9366158622512261
7216650,keith,larry,0.9366321783638866
5582804,flaw,outer,0.9367123836218805
2540677,carrier,glove,0.9367394102863926
9719535,stretch,wheel,0.9367830818316296
1795922,ben,cash,0.9368397844769231
5376319,fancy,stretch,0.9368667684628023
893448,anthony,michael,0.9368688974111806
6780121,indication,indicator,0.9369176052314105
4800972,effectively,supposedly,0.9369444136872975
9134645,r3,r4,0.9369922519903886
9311536,restrict,retrieve,0.9371096143417655
6315486,harvey,norman,0.9372249451445491
7387093,launcher,neighbor,0.9372714855531928
647601,allow,allows,0.9372850545770608
1883546,binding,mechanism,0.9373335263148348
4597653,douglas,ross,0.9373688462955386
5858408,gary,terry,0.9373739908829218
1875422,billion,million,0.9373907506034491
3524975,contrary,receiver,0.937483976710969
6148724,greg,tony,0.9375043490613042
6185016,guest_line,service_guest,0.9375271876866718
2886371,circle,symbol,0.9376040941716846
8089369,morgan,murphy,0.9376972490129067
7513694,limitation,significant,0.9377158969203412
638363,allergic,intention,0.9377232821280013
7387774,launcher,receiver,0.9377831560907713
6007331,glenn,ross,0.9378502654136172
1660295,batter,carrier,0.937918529839547
9376413,ross,stewart,0.9379597130603885
801738,andrew,philip,0.937998183008694
8259644,neighbor,retrieve,0.9380642087229738
6299020,harmful,limitation,0.9381317091521233
8259969,neighbor,stove,0.9381557085854108
3907285,daily,weekly,0.9382063243946281
6304622,harry,larry,0.9382541906720301
2092180,bought,gotten,0.938255504137154
968123,apparent,outer,0.9383335576516617
893910,anthony,philip,0.9383590813719828
1884298,binding,puzzle,0.9384405692412014
7038334,jackson,jordan,0.9384810421670683
8259175,neighbor,newer,0.9387271523791808
5163728,examine,regulate,0.9388316464630915
4638784,drinking,spending,0.9388605935860347
4513244,divide,retrieve,0.9389387695822833
914937,anyone_else,someone_else,0.93893992883279
605893,albert,walter,0.9389447120211994
4800172,effectively,properly,0.9389635211206729
7513345,limitation,relate,0.9390405499143225
9099455,puzzle,trouble,0.9390859719117683
1662399,batter,neighbor,0.9392977769052298
4785787,edward,richard,0.9393314917596748
6399128,henry,philip,0.9394858399320732
3995239,dbd_urartusdpaorg,geb_cadredslpittedu,0.9395419541108219
2829722,chris,pete,0.9396170894058405
6900766,intention,limitation,0.9397116814014166
4798223,effectively,essentially,0.9397364327943354
234286,absence,presence,0.9398286576319862
6935900,intervention,suggestion,0.9398448032720826
7398972,layer,outer,0.939875825976041
2885882,circle,puzzle,0.9398788707605394
