,Row,Column,Value
186953,attempt,unable,0.9168245427895194
1481079,tear,window,0.9168733135753123
349636,burn,burning,0.9168830435402657
386493,carry,fill,0.9169133294127058
387336,carry,spread,0.916965125300528
1306721,paul,scott,0.9170025013821299
907177,giant,tiny,0.9170456928206135
95438,analysis,theory,0.9170540147340716
1473464,subject,topic,0.9170653825172039
1201485,michael,william,0.9170714398176513
919048,gotten,huge,0.9170952676406089
95164,analysis,prediction,0.9171176833408031
430927,circle,favor,0.9171358191818063
432003,circle,wheel,0.9171431842240185
1345984,possibility,suggestion,0.9171633151131997
389059,catch,favorite,0.9171693144422169
660850,directly,properly,0.9172293971623745
1421710,rumor,tear,0.9173796519946006
379359,car,vehicle,0.9173882665371509
1474358,suggest,suggestion,0.9174637639965226
1246141,neighbor,plastic,0.9174638552534444
431083,circle,huge,0.9175228831489609
301709,booster,suggestion,0.9175602536371503
507102,connection,interface,0.9176780787140988
600802,david,robert,0.9178350080322246
1286484,original,originally,0.9178825682477146
431924,circle,trouble,0.9179073552184962
1331585,plastic,texture,0.9179630253014991
227498,balloon,circle,0.9180935137933501
323636,brian,michael,0.918111704099412
386592,carry,handle,0.9181863832607334
431398,circle,obvious,0.9181944666305268
406218,certain,significant,0.9182267687842164
389900,catch,seem,0.9183379754005152
827939,fill,grab,0.9184099968589109
1306643,paul,ray,0.9185109782163441
1391820,reach,tear,0.9185182429393788
809497,favor,neighbor,0.9186610722183661
227378,balloon,batter,0.9187755973365832
927503,greatly,launcher,0.9188493135040534
287366,blow,drop,0.9188941472996649
921057,grab,grip,0.9190104159673629
919482,gotten,picked,0.9190224092824472
1079995,joke,tear,0.9191250670160518
1276177,ok,okay,0.9191471362129982
1188490,mechanism,rotation,0.9191904231363864
1246510,neighbor,the,0.91928546392263
431691,circle,seem,0.9193079669313419
1322492,picked,thrown,0.9193788370052347
406130,certain,relatively,0.9194317527092889
630927,demand,require,0.9194913422405375
1051995,investigation,suggestion,0.9195080501186905
810370,favorite,neighbor,0.9195979024848877
301563,booster,scan,0.9196334440693078
1067395,james,robert,0.9196529463590655
287548,blow,grab,0.9196701405973344
902349,george,john,0.9197881619986841
1316291,peter,tom,0.9198328395717925
415054,charge,tear,0.9198385722195198
288469,blow,wheel,0.9198830343183177
1268523,obvious,visible,0.9199926138535873
186254,attempt,launcher,0.9200876233527
1306532,paul,peter,0.9202193117621984
1421735,rumor,threw,0.9202897481545153
323817,brian,peter,0.9204035642547621
431713,circle,shift,0.9204394722303291
1443383,shift,tear,0.9205580475580775
243764,batter,mechanism,0.920645757851279
302947,boot,tear,0.9206965068126707
787649,extremely,obvious,0.9207711201400308
301313,booster,outline,0.9208322407958152
903278,george,william,0.9208433780195389
1246521,neighbor,thrown,0.9209058395278293
301024,booster,investigation,0.920979225000667
1473315,style,type,0.9210456521664536
300825,booster,filter,0.9211119967548814
431592,circle,reach,0.9212504854081638
1246332,neighbor,seem,0.9212919980720315
1330506,planning,training,0.9213936633549875
147481,argument,statement,0.9214219285276307
630896,demand,reach,0.921460613269624
301369,booster,pixel,0.9215795149995064
1302227,particular,significant,0.9216364777573565
1243250,necessarily,significant,0.9216682195359256
1319396,photo,photograph,0.9216786561260119
1330145,planning,processing,0.9218198672591869
427621,choose,pick,0.9218374797541182
287470,blow,fill,0.9220171352335442
288080,blow,reach,0.9220311121945572
1216921,monday,sunday,0.922079399680774
787237,extremely,fully,0.9220805049890665
1365748,processing,training,0.9220916844908896
287122,blow,boot,0.9222308689835399
903906,gerard,robert,0.9222705944646997
1444067,shop,store,0.9222911085249577
3681,able,attempt,0.9225047940688851
1477220,surprise,surprised,0.9225980304164985
147514,argument,suggestion,0.9226484096742745
431804,circle,stick,0.9226923646112668
390167,catch,unable,0.9226953607339581
1352299,prediction,simulation,0.9229574656290295
1017892,important,useful,0.923026618422997
1017727,important,significant,0.9231211293539954
430948,circle,fit,0.9231637613624072
1115329,launcher,pixel,0.9234004274560279
1246265,neighbor,relatively,0.9234619574990315
1105396,lack,neighbor,0.9235471798129185
867582,frank,michael,0.9237508113792656
706284,east,north,0.9238274633290843
131809,approach,argument,0.9238410168952238
300635,booster,cub,0.9239560657206978
1188192,mechanism,neighbor,0.9239864571151816
804576,fast,quick,0.9240191833251881
146393,argument,discussion,0.9242046236373911
4373,able,neighbor,0.9242392420318892
1494510,unable,victim,0.9243011221389029
244132,batter,relatively,0.9243603576877113
1322490,picked,threw,0.9245106001963288
928024,greatly,significant,0.9246549805065231
389541,catch,neighbor,0.9247479756504141
146391,argument,disagree,0.924772000529888
1306690,paul,robert,0.9249033238108962
186243,attempt,lack,0.9250722970782037
414892,charge,require,0.9250907584263773
1306859,paul,thomas,0.9251835982035153
431069,circle,homeland,0.9252305856862647
1358910,primarily,specifically,0.9253943844019141
356463,buying,gotten,0.9253954499602669
1246571,neighbor,unable,0.9253960888454456
1188801,mechanism,victim,0.9254697877567808
