,Row,Column,Value
11,nogales,propose,0.3929221232165651
0,anglo,nogales,0.4389750142063761
12,nogales,rockwell,0.44235209009973475
14,nogales,waterway,0.46886305715760823
9,nogales,play,0.47284643571683055
10,nogales,prev,0.47546268105348444
13,nogales,secondary,0.4856298131158397
8,nogales,philip,0.48899636006225117
6,anglo,secondary,0.5918138072603023
33,rockwell,secondary,0.5961627577034775
23,play,rockwell,0.618881663287752
35,secondary,waterway,0.6243994357154098
2,anglo,play,0.6271763781699313
31,propose,secondary,0.6307543594035085
29,prev,waterway,0.6391496017424285
19,philip,secondary,0.6487051210749936
28,prev,secondary,0.6538653611854764
27,prev,rockwell,0.6636284302927863
24,play,secondary,0.6646971041732709
25,play,waterway,0.6669031788569302
3,anglo,prev,0.6734284916181257
21,play,prev,0.6929465640881143
15,philip,play,0.6982351750047676
26,prev,propose,0.7000836469039078
32,propose,waterway,0.7138565091017961
16,philip,prev,0.7240137174867494
22,play,propose,0.7326311798500882
4,anglo,propose,0.7608790090670579
7,anglo,waterway,0.7674996434284767
34,rockwell,waterway,0.7705651607477577
30,propose,rockwell,0.7734510114398785
20,philip,waterway,0.7752039687715012
17,philip,propose,0.7772619563380522
1,anglo,philip,0.8254934369037287
18,philip,rockwell,0.8398460271232457
5,anglo,rockwell,0.8552822764599901
