,Row,Column,Value
9652223,mechanism,resin,0.9382972267813936
6204590,enormous,suburban,0.9383165689153329
3188924,ccr,hpr,0.9383849289972492
4323630,container,grain,0.938391179142011
10967927,productive,subsidy,0.9384130988782289
9222702,licensing,regulatory,0.9384158184521563
929881,analysis,assessment,0.9384163448363158
2596107,broker,container,0.9384371048878801
4238445,considerable,gallon,0.9384517857430652
8719072,jackson,jordan,0.9384810421670683
11480853,rumor,unexpected,0.9385820747837652
10913530,pricing,transition,0.9386329524610135
11209395,recover,revive,0.9386683608386351
4773450,cuban,venezuelan,0.9386875918648085
11594330,selective,synthetic,0.9387041790675775
7621514,grain,grocery,0.9387538580543813
4240563,considerable,significantly,0.9387689974401864
3051559,carrier,keen,0.9387862707089863
1064140,apparent,attempt,0.9388415575341114
5284483,deterioration,janeiro,0.938935452920469
605304,albert,walter,0.9389447120211994
7839573,hardship,vegetable,0.9389496546855137
3050795,carrier,facilitate,0.939042906812202
4046538,comprises,consists,0.9391198529847169
6873004,fiber,plastic,0.9391323449173812
5079955,deficit,exceeds,0.9391695548498091
6642890,extremely,suburban,0.9392016143972575
6201999,enormous,extremely,0.9392609481867784
4241779,considerably,dramatically,0.9392990996127961
5989825,edward,richard,0.9393314917596748
3053195,carrier,significantly,0.9393449132307192
6601305,extend,extends,0.9394067221272306
2147803,berlin,vienna,0.9394068321008463
1065046,apparent,dipped,0.939461944269198
7980302,henry,philip,0.9394858399320732
11209270,recover,regain,0.9394984357283349
3951259,comparable,significant,0.9395177343886136
9582994,massive,suburban,0.9395306041231866
11863096,suburban,synthetic,0.9395563951442938
7837521,hardship,limitation,0.9396166126178945
4955392,deadline,mechanism,0.9397269681875887
6001439,effectively,essentially,0.9397364327943354
4326436,container,warehouse,0.9397514642549263
41682,absence,presence,0.9398286576319862
10776914,plunge,tackle,0.9398434385193818
8610173,intervention,suggestion,0.9398448032720826
5873649,easily,fully,0.9399202507248912
4726878,crucial,significant,0.9399324621575439
11683866,significantly,unusually,0.9399566786514049
1065327,apparent,exceeds,0.9399777702865839
7253803,franklin,ross,0.9399801626683087
48916,absorb,convenience,0.9400115633676631
5729491,drastic,unexpected,0.9400665057806745
8181048,huge,obvious,0.9400885965889358
3678646,closely,strictly,0.9401359714839871
6642867,extremely,strictly,0.9401849126705385
5079982,deficit,expectation,0.9402221314253459
10883711,presence,vegetable,0.9402917462334809
1294344,arrival,arrive,0.9403761397091708
9153142,lending,mechanism,0.94038337999863
10776755,plunge,stance,0.9404108086335032
7319261,ftc,ibc,0.9404269580408033
1488139,attempt,regain,0.9404398609442801
10967119,productive,profitable,0.9404979395458486
11236446,regain,revive,0.9405175337713029
1170143,arbitrage,arbitrager,0.9405436818401104
3050165,carrier,contrary,0.9405575464070098
