,Row,Column,Value
925,aqazadeh,gcc,0.28860838813840356
2762,espinosa,gcc,0.31791000135851016
2834,fahd,gcc,0.3179794079099635
3085,gcc,petrobras,0.31924948394918573
3104,gcc,subroto,0.3407101166072736
3045,gcc,grisanti,0.3435182561716465
3025,fishing,riyal,0.34649968795305197
2833,fahd,fishing,0.34699971300864063
3067,gcc,liftings,0.3470244599357958
3063,gcc,lago,0.3539796539347736
2871,fahd,opec,0.35886915522304585
1562,balao,gcc,0.3613880521991427
3092,gcc,rilwanu,0.36326167995550873
3065,gcc,lend,0.36371461564645524
3069,gcc,lukman,0.3640816290490908
1524,bahrain,riyal,0.36621160525500324
2689,escort,gcc,0.3686491698046945
4879,oilfield,riyal,0.3725642575450023
3070,gcc,mees,0.37262291418406834
3094,gcc,riyal,0.3770249716539998
5089,platform,riyal,0.37858853140176574
3082,gcc,overproduction,0.37898751926686286
2461,ecuadorean,fahd,0.37971214201379083
3295,harmful,riyal,0.3800425286865096
3101,gcc,silkworm,0.38057706601126334
2359,earthquake,riyal,0.3809418540842969
2615,emirate,gcc,0.3816487983459377
1385,aziz,gcc,0.38619540510277756
3071,gcc,mideast,0.3864769610353906
3093,gcc,riyadh,0.3901975693501738
4975,overproduction,riyal,0.3904397021175713
2905,fernando,gcc,0.39062164526288634
2861,fahd,mideast,0.3913349165685205
213,adhere,aqazadeh,0.3913379668688207
3057,gcc,javier,0.39226055791933145
2869,fahd,oilfield,0.39257728784683427
340,agrio,gcc,0.3932056339561444
289,adhere,riyal,0.39417348269075986
3051,gcc,hormuz,0.39529875526455016
1295,attack,gcc,0.39533155314965407
962,aqazadeh,opec,0.3953772462648713
3180,grisanti,warship,0.3954268374477352
236,adhere,fahd,0.3963583236139064
4579,mideast,riyal,0.3964658215807515
4620,military,riyal,0.396707565242544
2872,fahd,overproduction,0.39671003043597985
3107,gcc,tehran,0.3968834212721232
2837,fahd,harmful,0.39739119939487544
5270,riyal,sabah,0.3979160578209624
3049,gcc,hernandez,0.3979525259515852
2812,espinosa,riyal,0.39846416523349654
3113,gcc,wattari,0.4003898242683025
1204,arturo,gcc,0.4005424556886914
924,aqazadeh,fishing,0.403871612247689
3050,gcc,hisham,0.40418381087487065
