,Row,Column,Value
52,samjens,stanley,0.5574811383211695
49,lawyer,samjens,0.5614242916785004
53,samjens,winner,0.5618136610456889
42,injunction,samjens,0.5671061393955389
1,ammeen,burlington,0.5766203506606498
46,judge,samjens,0.5905865754311335
24,burlington,samjens,0.590662223517857
16,asher,samjens,0.5935434680137405
6,ammeen,lawyer,0.5936216610191274
36,edelman,lawyer,0.6008142490205997
9,ammeen,winner,0.6070627527598021
34,edelman,injunction,0.610726557454996
4,ammeen,injunction,0.6109875307252424
39,edelman,winner,0.6182352118029867
35,edelman,judge,0.6236527481546303
8,ammeen,stanley,0.6243671243259098
37,edelman,samjens,0.629234622380948
18,asher,winner,0.6331620388208663
31,dominion,samjens,0.6354037968333068
12,asher,edelman,0.6367461938788739
26,burlington,winner,0.6396205893397623
5,ammeen,judge,0.6472083197465612
27,dominion,edelman,0.6604088049882126
25,burlington,stanley,0.6615916279112605
21,burlington,injunction,0.6628952636978295
20,burlington,edelman,0.6674607892900968
51,lawyer,winner,0.6679173544073302
54,stanley,winner,0.6687380060718424
23,burlington,lawyer,0.6693200970776365
10,asher,burlington,0.6758452143002774
33,dominion,winner,0.6775493992943726
2,ammeen,dominion,0.6814343678962262
13,asher,injunction,0.6835704717593938
0,ammeen,asher,0.6858671170335332
44,injunction,winner,0.6871096004018321
15,asher,lawyer,0.6872876653219577
22,burlington,judge,0.6892220285054373
3,ammeen,edelman,0.6903225743800966
50,lawyer,stanley,0.6953934150668617
17,asher,stanley,0.7036036074865908
38,edelman,stanley,0.7166824942612923
30,dominion,lawyer,0.7173896773752775
14,asher,judge,0.7196213404481543
19,burlington,dominion,0.7379526922214416
41,injunction,lawyer,0.7397220519852519
48,judge,winner,0.7514002208665362
47,judge,stanley,0.75338160095344
7,ammeen,samjens,0.7614295559979847
43,injunction,stanley,0.767719898840242
11,asher,dominion,0.7810916567957679
28,dominion,injunction,0.800048406587783
29,dominion,judge,0.8003810775085572
32,dominion,stanley,0.8128298452758352
45,judge,lawyer,0.8199419207666645
40,injunction,judge,0.8382030805289146
