,Row,Column,Value
9789113,thomas,william,0.9358887930934014
6148494,generic,specific,0.93592493764314
8771701,philip,richard,0.9359296944491106
8001432,michael,robert,0.9359622025372497
4187000,deficit,shortage,0.9360227718619876
6943808,initiative,project,0.9360280545951118
7561127,licence,license,0.9360596181609961
9222312,regulate,regulatory,0.93611326138453
8988296,productive,significant,0.9361312108034119
7918099,mechanism,unrelated,0.9361501558327938
6079131,gallon,stance,0.936255674472677
7918071,mechanism,unable,0.936278360873107
9225128,regulatory,restriction,0.9363262166799977
4096352,dean,michael,0.936384723857232
5680533,fifth,fourth,0.9364256987317843
2577231,carrier,stance,0.9364468741087922
5974554,franklin,leonard,0.9365423418647254
1731305,bbl,sgl,0.9365784991275645
6457036,harris,ross,0.9367538757506055
5477781,extremely,heavily,0.9368246380134977
1799312,ben,cash,0.9368397844769231
4580928,disruption,peripheral,0.936928480876592
820608,analysis,evaluation,0.9369569477064114
9868517,weak,weakness,0.936973029421712
8737699,peripheral,synthetic,0.9369813695392414
4579473,disruption,exceeds,0.9369830675328359
1776254,behalf,downward,0.9370839911153332
6560001,henry,thomas,0.9371747552599642
943317,apparent,disruption,0.937190924766268
2574536,carrier,divide,0.937215709876434
3950692,curb,stretch,0.9372414359950747
626016,allow,allows,0.9372850545770608
9211308,regain,retains,0.937321462604962
1908422,binding,mechanism,0.9373335263148348
4729073,douglas,ross,0.9373688462955386
1897090,billion,million,0.9373907506034491
3614259,contrary,stance,0.9374371383857127
837834,andrew,peter,0.9375032515287245
7019475,intention,stance,0.9375104954127778
1214031,assessment,measurement,0.9375555547713605
9210196,refuse,resist,0.937579616954336
8146750,morgan,murphy,0.9376972490129067
9848873,upward,upwards,0.9377020280197468
7600166,limitation,significant,0.9377158969203412
9773227,ten,twelve,0.9377298978822133
2577769,carrier,weigh,0.9378318571941942
8737627,peripheral,strict,0.9379437716004373
7036012,interfere,intervene,0.9379553852572604
9247074,relieve,weaken,0.9381235809157045
2577290,carrier,strict,0.9381253500100944
4580093,disruption,intention,0.9381630807339091
3992301,daily,weekly,0.9382063243946281
5136433,enormous,suburban,0.9383165689153329
7567348,licensing,regulatory,0.9384158184521563
819447,analysis,assessment,0.9384163448363158
2214842,broker,container,0.9384371048878801
3496682,considerable,gallon,0.9384517857430652
7151846,jackson,jordan,0.9384810421670683
4579743,disruption,garment,0.938493190346787
9505610,selective,synthetic,0.9387041790675775
3498569,considerable,significantly,0.9387689974401864
2575539,carrier,keen,0.9387862707089863
4367422,deterioration,janeiro,0.938935452920469
3294019,complain,deliver,0.9389490168186422
9383756,robert,thomas,0.9389950370537935
