,Row,Column,Value
6182,assist,cc_neu,0.2215520654728201
6568,assist,year_graduat,0.22771338548453
58187,happi,www,0.23591130293582158
6522,assist,univers_wisconsin,0.24261987622133077
6275,assist,graduat_student,0.24487606266559073
6444,assist,rutger_univers,0.24505080372125676
6569,assist,york_citi,0.24613764706498029
6226,assist,dayton_street,0.2463500523065656
6249,assist,fall_semest,0.24902851036150356
6512,assist,ultim,0.24935221201819285
6527,assist,updat_septemb,0.24943437644143027
6516,assist,univers_kentucki,0.24976582071375755
6521,assist,univers_washington,0.25093385327777923
6282,assist,happi,0.2517507508334495
6518,assist,univers_pittsburgh,0.25264626810338664
6528,assist,upson_hall,0.2533888633874096
6526,assist,updat_octob,0.2557026937253396
6242,assist,enjoi,0.25578865461775163
6288,assist,hobbi,0.2561566670226429
6525,assist,updat_novemb,0.25653872133361416
6236,assist,electron_mail,0.26119045621878934
6204,assist,columbia_univers,0.2615863854992089
6534,assist,vanderbilt_univers,0.2622132918990909
6406,assist,paul_rutger,0.2630197273499389
6144,assist,back_urc,0.2633262641459241
6361,assist,master_degre,0.26403254514911895
6426,assist,pretti,0.2656726500531309
6435,assist,relat_link,0.2664846193737063
6517,assist,univers_mexico,0.2673130843182155
6132,ascii,www,0.26747275699411766
6398,assist,oop,0.2694555146411453
6362,assist,master_engin,0.2697383541435511
6190,assist,chri,0.27096628436718523
6520,assist,univers_texa,0.2712240819140015
6250,assist,famili,0.2715571906665529
6264,assist,ftp_site,0.27156574543026935
5027,archiv,jersei,0.2721644321606763
6274,assist,graduat,0.2730631193592239
6267,assist,fun_stuff,0.2731772508946068
6515,assist,univers_alberta,0.2734820856470135
6389,assist,night,0.2735883642626952
6269,assist,git,0.2742415106303305
6323,assist,jersei,0.2744488513834177
6295,assist,hous,0.2745308674531864
6494,assist,telephon,0.27485846476601994
6532,assist,utexa,0.2753063886123168
6194,assist,citi,0.2758154066109749
6315,assist,interest_includ,0.2761835476572309
6484,assist,summer,0.2769404370490085
6350,assist,madison_west,0.2773564597265372
6488,assist,tai_austin,0.2776586586440058
6499,assist,thought,0.279223378361773
6375,assist,modifi,0.27923219609556954
6567,assist,year,0.28050530326311746
6162,assist,boston_univers,0.2814261896499633
6509,assist,ualberta,0.28163086972438434
6310,assist,indiana_univers,0.2829195097402273
6172,assist,busi,0.28306078167419385
6535,assist,virtual_librari,0.28371177780345735
80507,modifi,www,0.2842738125106078
6335,assist,librari,0.28471955439677815
6215,assist,cornel_univers,0.28549547228206856
6380,assist,movi,0.28563710159953043
6141,assist,austin_austin,0.2857259017355843
6394,assist,offic_fax,0.28738967063252313
6429,assist,pursu,0.2880924030243329
6239,assist,email_utexa,0.2883496432220636
6276,assist,great,0.28898260430255507
6273,assist,grad_student,0.28915187345206117
6171,assist,bui,0.2893799643898014
6321,assist,java_applet,0.2894389083094226
6391,assist,northeastern_univers,0.2895640783415163
6253,assist,feb,0.290088069005444
6400,assist,oracl,0.2914984386494375
6164,assist,box_seattl,0.29225059011591675
6201,assist,colloquium,0.2934386278926937
1783,advis,assist,0.29427017656853643
6414,assist,phone_number,0.2943820021371769
6395,assist,offic_phone,0.29505766361294755
6139,assist,aug,0.29574404704135565
6207,assist,comput_scienc,0.29701553267650677
68871,jersei,literatur,0.2976482529147798
97458,ualberta,www,0.29794342296725373
6183,assist,chanc,0.2981822051636667
6303,assist,ian,0.29975222946904295
6432,assist,quot,0.3004384840166949
6247,assist,excit,0.30051029923893613
6165,assist,brad,0.3008230559128966
59888,hobbi,www,0.3013245179621191
6219,assist,creativ,0.3020402422076675
6343,assist,locat,0.3023470025945785
6524,assist,updat,0.3023754902002096
6278,assist,guess,0.30237578245302366
6466,assist,spend_time,0.30301781224795477
6519,assist,univers_rochest,0.30348481498191193
6158,assist,book,0.3042220966265089
69093,jersei,www,0.30425129727468303
6443,assist,rutger,0.30432795065325297
6353,assist,mail_address,0.3045197315885315
6385,assist,netscap,0.3049340421423015
5867,ascii,http_www,0.30502659986200426
6409,assist,person_inform,0.3061650505244161
11703,bibliographi,christian,0.30710616138772046
6452,assist,send_comment,0.3072385160451006
6309,assist,indian_institut,0.30738364081556246
57922,happi,http_www,0.307411360189741
6496,assist,tenni,0.3079146603601239
6487,assist,tabl_content,0.30829802981123544
6548,assist,web_site,0.3083191523191819
6284,assist,high_school,0.30840282262718766
6498,assist,think,0.30883221778743053
88202,pittsburgh,www,0.3090450597927652
4408,applet,assist,0.30955564917317696
3973,appl,assist,0.3097026017551672
6547,assist,web_server,0.31003576952851736
6333,assist,leav,0.3110968578305451
6384,assist,net,0.311477028481544
6217,assist,cours,0.3115640896875044
6559,assist,word,0.3118408835886529
11835,bibliographi,jersei,0.31308627118315197
27975,christian,www,0.31337513556874724
6266,assist,fun,0.3135347650344809
6467,assist,spent,0.3143792812196071
6564,assist,www_server,0.3144793148294227
6431,assist,quarter,0.3146629947620534
6405,assist,past,0.3147896823451938
99217,www,year,0.31498497426348576
6448,assist,search_engin,0.3153106211158892
6495,assist,televis,0.31550109640770835
11781,bibliographi,git,0.3156123993005512
6497,assist,thing,0.3156397784383389
6449,assist,seattl,0.31623734911009505
6523,assist,unm,0.31636592906862476
98562,utexa,www,0.3166491914122635
6412,assist,phone_email,0.31667980028808634
11876,bibliographi,matt,0.31730554209181017
6173,assist,caltech,0.3179705188557038
11984,bibliographi,start,0.3181317943021788
6174,assist,campu,0.3186481133154361
6437,assist,resum,0.31956623330251743
6251,assist,favorit,0.3201566920012932
6549,assist,webmast,0.32074312131654964
21413,campu,www,0.3208712968203121
62403,http_www,jersei,0.3210056192587218
6193,assist,ci,0.32101325622485327
6346,assist,lot,0.32118609197499215
6430,assist,put,0.32164071346565604
6152,assist,big,0.32179231035247463
470,adam,bibliographi,0.32243657587054686
11770,bibliographi,finish,0.32355279791018876
6283,assist,hear,0.32357033666734847
6238,assist,email_address,0.3236037336331945
6156,assist,blue,0.3237903787304116
6410,assist,phd_student,0.3243863483322209
6271,assist,good,0.32507608591543424
6397,assist,onlin,0.3252020051670433
6376,assist,moment,0.32525229296273556
11677,bibliographi,brad,0.32555321003237236
6291,assist,homepag,0.3256821099451974
6231,assist,depart,0.3264611597800213
11801,bibliographi,home,0.32665789492251895
20622,busi,www,0.3266654256458972
11747,bibliographi,earth,0.32697733667373324
6530,assist,url_http,0.32700667913692016
11880,bibliographi,mike,0.327044775166415
6265,assist,full,0.32734601139419006
11883,bibliographi,mine,0.327396012843362
12079,bibliographi,year,0.3276717627240175
89075,pretti,www,0.3278316646101896
11976,bibliographi,south,0.3281009218738458
6508,assist,tuft,0.32835106285355087
6533,assist,van,0.3285074256117806
6148,assist,beauti,0.3285918852815924
6154,assist,bit,0.32879941139568675
6298,assist,http_www,0.32902760494884997
6200,assist,colleg,0.32930101927016
6146,assist,bad,0.3299483473282895
11790,bibliographi,guess,0.330022393044782
6255,assist,feel_free,0.33005983744490136
6453,assist,send_email,0.33052638439604143
69097,jersei,year,0.3305498349157759
62500,http_www,pittsburgh,0.33079152931262834
6387,assist,newspap,0.33083259985728597
6366,assist,mention,0.3310399597894304
6465,assist,spend,0.3315822792441158
6370,assist,mind,0.3316261496469984
6341,assist,literatur,0.331644268097217
55863,graduat,www,0.33169422953480654
6328,assist,jun,0.3324604246502224
6403,assist,page_maintain,0.3325950672829661
11815,bibliographi,ian,0.33264710115707297
83118,night,www,0.33307351872284774
6413,assist,phone_mail,0.33312706169775863
6349,assist,madison,0.3331420052488605
11954,bibliographi,rock,0.333235150135412
6157,assist,bob,0.33324195300612575
27710,christian,http_www,0.3334004647922375
6502,assist,toni,0.333744646100017
6562,assist,world_wide,0.3338982138884122
69073,jersei,watch,0.3339800113058906
