,Row,Column,Value
1022810,intern,student,0.9139773545353265
403981,code_gener,gener_purpos,0.914004843379622
557384,daniel,matthew,0.9140460112360794
318779,carter,miller,0.9140791722296285
1134000,mail_address,send_mail,0.9141729005255809
1473167,virtual_librari,virtual_realiti,0.9143414366105238
555196,danc,replac,0.9144155604801081
797252,favorit,finit,0.9144506729546408
737331,eric,michael,0.9144637799181314
473223,connect,fix,0.9145416038238428
642131,distinguish,restrict,0.9145805398096756
1382457,restrict,scan,0.9146024111243276
188835,avoid,prefer,0.9147872178356258
650554,donald,robert,0.9148055641569696
1336164,program_languag,special_issu,0.9148237319033069
1071378,kind,layer,0.9148688612769977
847908,frank,robert,0.9149060405561792
848709,franklin,paul,0.9150063260442207
87209,andrew,steven,0.9150601451753183
1455346,telephon_fax,voic_fax,0.9151391384627595
727222,entertain,fit,0.9151754737309081
1470837,updat_octob,user_interfac,0.915311197194051
710433,employ,layer,0.9153740930160367
34749,adam,daniel,0.9154716607843763
452875,comput_aid,comput_machineri,0.9155070208991805
978733,imag_process,oper_system,0.9155570846541696
848533,franklin,martin,0.9156147223340008
85978,andrew,brian,0.9156268281395825
1311074,predict,prevent,0.9156340607253693
993429,indiana_univers,univers_utah,0.9157168538143161
1114374,load_balanc,program_languag,0.9157251624004707
86703,andrew,matthew,0.9157466163768301
214578,ben,homework,0.9157661733984193
747274,evolut,solut,0.9157948426225423
998971,inform_retriev,receiv_degre,0.9158066091706352
569464,david,scott,0.9159268849564568
824951,fit,symbol,0.9160642102051206
407050,cognit_scienc,scienc_foundat,0.9161177305936148
1413614,shape,size,0.9161295046434828
642037,distinguish,prevent,0.9163585774087895
897610,graphic,visual,0.9166510194486719
1187101,miller,wilson,0.916900094102279
351317,cheat,persist,0.9169514978381621
1276493,paul,scott,0.9170025013821299
1443405,subject,topic,0.9170653825172039
1178914,michael,william,0.9170714398176513
313774,carl,robert,0.9170908473852238
902605,grow,persist,0.9171628948159929
849294,franklin,wilson,0.9173466662414077
351470,cheat,restrict,0.9175093866297956
1282676,permiss,transmiss,0.9175751744985579
426197,commit,persist,0.9176222811457792
569434,david,robert,0.9178350080322246
258449,brian,michael,0.918111704099412
258328,brian,jeff,0.9183004970813707
1058306,jonathan,peter,0.918363991171393
1159968,matthew,peter,0.9183696451094165
1104400,lin,yang,0.9183881769882769
60742,alan,andrew,0.9186261547900679
1058163,jonathan,michael,0.9186478048233215
1263087,page_construct,tabl_content,0.9187439484859528
728015,entertain,symbol,0.9188364405837021
1251080,oper_system,sourc_code,0.9189403061772146
1454778,tel_fax,telephon_fax,0.9190461916115993
68044,alpha,fit,0.9192207959226927
40544,addit_inform,comput_aid,0.9193340513197645
1369694,relat_link,tabl_content,0.9195822656373047
87053,andrew,richard,0.919618431726048
120647,argument,notion,0.919706680260888
1286286,peter,tom,0.9198328395717925
173649,austin,phoenix,0.9198376741353362
848439,franklin,johnson,0.9200294698805717
1388452,robert,stephen,0.920157227429488
1276271,paul,peter,0.9202193117621984
258592,brian,peter,0.9204035642547621
160114,attack,grow,0.9204915540267907
557290,daniel,kevin,0.9206538106620742
41027,addit_inform,knowledg_represent,0.9207646123863875
419341,columbia_univers,univers_maryland,0.9207914751553905
1386418,richard,william,0.9208218333849619
593893,demand,reach,0.921460613269624
184824,autumn,summer,0.9221648555578091
1415160,shop,store,0.9222911085249577
1382467,restrict,scope,0.9226072276002082
99274,appl,applic,0.9226688062503359
1073264,knowledg_base,relat_link,0.922787624841729
419340,columbia_univers,univers_arizona,0.922789747625343
214664,ben,jeff,0.9230753252870039
1186910,miller,taylor,0.9231400874587543
1377384,research_focus,research_scientist,0.9232616034805443
1054926,johnson,miller,0.9232619799835433
1068318,kevin,peter,0.9234787589683553
824700,fit,reach,0.9234865503063122
1383509,resum,volum,0.9235151016207498
839817,forum,workshop,0.9235179045771614
979044,imag_process,signal_process,0.9236231048866059
107583,approach,argument,0.9238410168952238
1406390,seminar,symposium,0.9238895400170807
794082,fast,quick,0.9240191833251881
727424,entertain,layer,0.9240318800944769
403983,code_gener,genet_algorithm,0.9240662155738617
60831,alan,brian,0.924466575865721
1473211,virtual_memori,virtual_realiti,0.924739748388864
1276463,paul,robert,0.9249033238108962
1469173,univers_arizona,univers_southern,0.9249312258273914
161525,attempt,entertain,0.9250686351252788
458471,comput_scienc,scienc_foundat,0.9253531934434406
1053583,john,richard,0.9255308960614284
160661,attack,reach,0.9255640431226234
1295492,piec,sourc,0.9255996544380962
970031,icon,symbol,0.9256269974046469
1104402,lin,zhang,0.9259980268920941
812876,fill,reach,0.9263697097695102
1068175,kevin,michael,0.9263904139753733
1470175,univers_utah,univers_wisconsin,0.9266182310828965
961602,huang,zhang,0.926756869262066
1053979,john,william,0.9267904982546465
727657,entertain,persist,0.927259113344306
1438865,steve,tim,0.9272874221443786
1467146,ucsb,ucsd,0.9274343501423896
569430,david,richard,0.9277262353761544
836419,formal_method,parallel_process,0.9281994995918927
759329,expand,restrict,0.9283703313396632
1048277,jeff,kevin,0.9286045569440495
683562,edward,william,0.9286478683706811
847744,frank,paul,0.9286653342604732
814850,filter,restrict,0.928689199127214
451294,compress_postscript,postscript_file,0.9292544890052661
87207,andrew,stephen,0.9293440091892062
1290032,phone_email,phone_mail,0.9293904219172323
993428,indiana_univers,univers_maryland,0.9294017382276396
1190785,minut,resolut,0.9295375334879333
993427,indiana_univers,univers_arizona,0.9296002345047032
190225,award,prize,0.9305545003329447
900516,greg,jeff,0.930640791852287
770188,extend,restrict,0.9307218005723255
1388694,robert,william,0.9308538216805686
149985,associ_editor,associ_professor,0.9316775310344877
1380107,resolut,solut,0.9317570825775604
86189,andrew,david,0.9317653754414273
161848,attempt,layer,0.9320807046009758
98823,answer_question,question_comment,0.9322845867135676
86865,andrew,paul,0.9325075714979126
1178442,michael,paul,0.9325459844900202
555042,danc,piec,0.9325713576164989
961600,huang,yang,0.9326872535901184
900637,greg,michael,0.9327950827751169
214302,ben,dean,0.9330204133604917
214785,ben,michael,0.9338525927799386
86609,andrew,kevin,0.9343196163915457
1090223,learn,teach,0.9348071392805885
1178606,michael,robert,0.9359622025372497
555321,danc,sourc,0.9360947284797532
574566,dean,greg,0.9361594473148458
836242,formal_method,logic_program,0.9361818044032597
574847,dean,michael,0.936384723857232
434288,comp_sci,comput_scienc,0.9373850206333629
86879,andrew,peter,0.9375032515287245
1473166,virtual_librari,virtual_memori,0.9376592607549694
701780,email_utexa,email_wisc,0.9380657956202991
1245579,offic_fax,offic_phone,0.9390577786997257
683166,edward,richard,0.9393314917596748
451296,compress_postscript,postscript_version,0.9405880575548118
921865,harvard,yale,0.9416919312297294
86727,andrew,michael,0.9421239645131168
1469878,univers_pittsburgh,univers_utah,0.9429769937141905
993027,indiana_univers,princeton_univers,0.9438733722326806
1469176,univers_arizona,univers_wisconsin,0.9440368876623395
1469089,univers_alberta,univers_maryland,0.9445352237698738
1377382,research_focus,research_group,0.9451864382848301
418940,columbia_univers,princeton_univers,0.947217249388808
1469570,univers_maryland,univers_wisconsin,0.9473547599043463
1407858,send_email,send_mail,0.9479500537859715
1386110,richard,robert,0.9494845776554264
1414408,share_memori,virtual_memori,0.9512887344618407
1453644,tech_report,technic_report,0.9531090963896467
1072931,knowledg_base,knowledg_represent,0.9535856242528151
1469171,univers_arizona,univers_pittsburgh,0.9536023443249108
1469565,univers_maryland,univers_pittsburgh,0.9537192789303788
1469804,univers_michigan,univers_utah,0.9539973076242698
1072930,knowledg_base,knowledg_discoveri,0.9546650147503712
1469263,univers_california,univers_utah,0.9573018821824082
1469088,univers_alberta,univers_arizona,0.9576704336135541
1469090,univers_alberta,univers_utah,0.9577814871974761
1071918,kind,sort,0.9580231738959126
1394561,san_diego,san_francisco,0.9590176952118342
1377383,research_focus,research_interest,0.9590385358040056
249206,boston_univers,princeton_univers,0.9623580165185468
1469338,univers_florida,univers_utah,0.962543379272814
