,Row,Column,Value
6184,assist,cc_neu,0.2215520654728201
6598,assist,year_graduat,0.22771338548453
6339,assist,john_hopkin,0.23119294234030008
67501,happi,www,0.23591130293582158
6544,assist,undergradu_student,0.2405343878741616
6553,assist,univers_wisconsin,0.24261987622133077
6286,assist,graduat_student,0.24487606266559073
6464,assist,rutger_univers,0.24505080372125676
6600,assist,york_citi,0.24613764706498029
6233,assist,dayton_street,0.2463500523065656
6540,assist,ultim,0.24935221201819285
6557,assist,updat_septemb,0.24943437644143027
6547,assist,univers_kentucki,0.24976582071375755
6552,assist,univers_washington,0.25093385327777923
6293,assist,happi,0.2517507508334495
6549,assist,univers_pittsburgh,0.25264626810338664
6558,assist,upson_hall,0.2533888633874096
6556,assist,updat_octob,0.2557026937253396
6251,assist,enjoi,0.25578865461775163
6300,assist,hobbi,0.2561566670226429
6379,assist,master_thesi,0.2563237942766737
6555,assist,updat_novemb,0.25653872133361416
6174,assist,cambridg,0.25751921535996986
6465,assist,san_diego,0.25790222772707727
6206,assist,columbia_univers,0.2615863854992089
6562,assist,vanderbilt_univers,0.2622132918990909
4269,appli_mathemat,assist,0.2624830677039627
6424,assist,paul_rutger,0.2630197273499389
6141,assist,back_urc,0.2633262641459241
6377,assist,master_degre,0.26403254514911895
6443,assist,pretti,0.2656726500531309
6454,assist,relat_link,0.2664846193737063
6548,assist,univers_mexico,0.2673130843182155
6267,assist,formal_method,0.2673967775226528
6127,ascii,www,0.26747275699411766
6378,assist,master_engin,0.2697383541435511
6551,assist,univers_texa,0.2712240819140015
6258,assist,famili,0.2715571906665529
6272,assist,ftp_site,0.27156574543026935
4937,archiv,jersei,0.2721644321606763
6244,assist,easi,0.2725040953589862
6285,assist,graduat,0.2730631193592239
6275,assist,fun_stuff,0.2731772508946068
6546,assist,univers_alberta,0.2734820856470135
6407,assist,night,0.2735883642626952
6596,assist,yale_univers,0.273703455228394
6280,assist,git,0.2742415106303305
6335,assist,jersei,0.2744488513834177
6306,assist,hous,0.2745308674531864
6519,assist,telephon,0.27485846476601994
6561,assist,utexa,0.2753063886123168
6195,assist,citi,0.2758154066109749
6327,assist,interest_includ,0.2761835476572309
6227,assist,curriculum_vita,0.27621840032461176
6504,assist,summer,0.2769404370490085
6570,assist,voic_fax,0.27707688958306603
6365,assist,madison_west,0.2773564597265372
6510,assist,tai_austin,0.2776586586440058
6525,assist,thought,0.279223378361773
6393,assist,modifi,0.27923219609556954
6597,assist,year,0.28050530326311746
6158,assist,boston_univers,0.2814261896499633
6219,assist,courant_institut,0.28162358864018633
6536,assist,ualberta,0.28163086972438434
6568,assist,vlsi_design,0.2820525667890628
