,Row,Column,Value
16097,massachusett,quot,0.31444797491996734
16775,nation,recogn,0.31822007366909966
16138,massachusett,wait,0.3211132385343441
16780,nation,resid,0.33037217824072607
15570,long,massachusett,0.3308782532173497
12322,god,massachusett,0.3325079034613676
11475,fine,massachusett,0.3343614709108994
11722,forc,massachusett,0.3387431028292236
16116,massachusett,side,0.34157214287052384
16104,massachusett,remain,0.34260945430149176
16115,massachusett,show,0.34310649444390323
6505,civil,massachusett,0.34312577210995043
16080,massachusett,pas,0.345735837151085
9530,duti,recogn,0.34795630627364643
11844,found,massachusett,0.34843452200323777
16778,nation,rel,0.3492453270367636
5029,case,massachusett,0.35009409303341166
6664,claim,massachusett,0.3502180244547454
16100,massachusett,recogn,0.3507559113011061
16067,massachusett,mean,0.351228251541479
9495,duti,massachusett,0.3513086812296904
15470,licens,wait,0.3518582331016344
13765,hold,massachusett,0.3519085177086745
9498,duti,men,0.3531465196766608
15655,longer,massachusett,0.35366646588560074
14760,kind,massachusett,0.3546608448350141
16077,massachusett,opinion,0.35483227477580265
13009,hand,massachusett,0.35512011316083403
16083,massachusett,percent,0.3557015265205508
9643,econom,nation,0.3566876939427762
6979,commit,massachusett,0.35688930487886805
16096,massachusett,put,0.35781180661009077
6057,christian,recogn,0.3593492665386514
16066,massachusett,matter,0.35997969695620136
16140,massachusett,walk,0.3605892354441472
13869,hous,massachusett,0.36223805290810346
16111,massachusett,rule,0.3629802755477495
15579,long,nation,0.3638258799103872
12555,great,massachusett,0.36454052982027885
13230,hear,massachusett,0.36483069213928543
15130,legal,massachusett,0.3650836334078337
16074,massachusett,nation,0.36516762201817105
310,adopt,massachusett,0.36530061625788357
12314,god,licens,0.36551025728831465
16130,massachusett,think,0.3657012930195611
2205,attempt,massachusett,0.36581992206073016
1843,articl,nation,0.36650346127333694
9504,duti,nation,0.36696395015650046
16334,men,recogn,0.366970949112569
16108,massachusett,restrict,0.36731137643172174
16068,massachusett,men,0.36753254225702237
16139,massachusett,wait_period,0.368200801564482
16803,nation,suffici,0.3682879369306642
16109,massachusett,right,0.36870178194865555
9909,elect,massachusett,0.36885157706182015
16093,massachusett,protect,0.36915544563865493
16122,massachusett,statement,0.3694313210853843
16119,massachusett,speak,0.37018606200851367
16101,massachusett,record,0.37025142777342746
6022,christian,massachusett,0.3702663070741338
16105,massachusett,resid,0.3704160474073178
15318,liberti,nation,0.37073219175304173
16076,massachusett,occur,0.3713751713909321
11350,feel,massachusett,0.3722037011243613
16070,massachusett,mind,0.37227696853702025
12547,great,licens,0.37246591130518275
2754,bad,massachusett,0.37305600660164606
16118,massachusett,social,0.37314631894597
16073,massachusett,month,0.37318243087245867
15739,love,massachusett,0.37327718695168005
15039,left,massachusett,0.37399446592077534
13339,heart,massachusett,0.3745255251695801
16071,massachusett,moment,0.37526419124644134
16134,massachusett,true,0.3763808154822483
8050,court,massachusett,0.3766370370781388
16143,massachusett,woman,0.3766860888962287
16102,massachusett,registr,0.37720924612799916
5695,child,massachusett,0.3773061162109162
1834,articl,massachusett,0.37743754210008684
15904,man,massachusett,0.37749049143779095
16110,massachusett,risk,0.3782172597760404
14481,judg,nation,0.3784961685623788
15397,licens,massachusett,0.37852745541396793
